Arizona, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,77.8,0.0
189608,77.3,-0.5
189708,79.0,1.2
189808,79.5,1.7
189908,76.0,-1.8
190008,75.0,-2.8
190108,79.6,1.8
190208,78.0,0.2
190308,79.6,1.8
190408,77.4,-0.4
190508,79.4,1.6
190608,75.8,-2.0
190708,76.8,-1.0
190808,77.3,-0.5
190908,76.8,-1.0
191008,79.3,1.5
191108,77.9,0.1
191208,75.7,-2.1
191308,77.6,-0.2
191408,78.4,0.6
191508,78.3,0.5
191608,75.6,-2.2
191708,77.5,-0.3
191808,75.3,-2.5
191908,78.4,0.6
192008,75.9,-1.9
192108,76.1,-1.7
192208,78.2,0.4
192308,75.6,-2.2
192408,78.5,0.7
192508,75.8,-2.0
192608,78.0,0.2
192708,76.5,-1.3
192808,77.1,-0.7
192908,77.5,-0.3
193008,77.2,-0.6
193108,77.2,-0.6
193208,78.6,0.8
193308,79.0,1.2
193408,78.6,0.8
193508,77.6,-0.2
193608,78.7,0.9
193708,80.0,2.2
193808,78.3,0.5
193908,78.9,1.1
194008,79.0,1.2
194108,75.6,-2.2
194208,77.5,-0.3
194308,77.6,-0.2
194408,79.0,1.2
194508,78.5,0.7
194608,77.9,0.1
194708,76.7,-1.1
194808,78.2,0.4
194908,76.7,-1.1
195008,77.0,-0.8
195108,76.9,-0.9
195208,79.1,1.3
195308,77.3,-0.5
195408,76.1,-1.7
195508,76.9,-0.9
195608,76.0,-1.8
195708,77.1,-0.7
195808,79.5,1.7
195908,76.5,-1.3
196008,79.3,1.5
196108,77.4,-0.4
196208,79.9,2.1
196308,76.7,-1.1
196408,76.7,-1.1
196508,77.9,0.1
196608,78.8,1.0
196708,78.1,0.3
196808,74.0,-3.8
196908,81.1,3.3
197008,79.3,1.5
197108,77.0,-0.8
197208,77.2,-0.6
197308,78.1,0.3
197408,76.8,-1.0
197508,77.8,0.0
197608,76.7,-1.1
197708,79.1,1.3
197808,77.5,-0.3
197908,75.6,-2.2
198008,77.9,0.1
198108,79.2,1.4
198208,78.2,0.4
198308,77.2,-0.6
198408,76.8,-1.0
198508,78.8,1.0
198608,79.4,1.6
198708,77.0,-0.8
198808,77.4,-0.4
198908,77.3,-0.5
199008,76.0,-1.8
199108,78.5,0.7
199208,77.5,-0.3
199308,77.5,-0.3
199408,81.3,3.5
199508,81.4,3.6
199608,80.2,2.4
199708,79.1,1.3
199808,80.4,2.6
199908,77.8,0.0
200008,79.4,1.6
200108,79.1,1.3
200208,79.8,2.0
200308,80.0,2.2
200408,77.7,-0.1
200508,77.5,-0.3
200608,77.9,0.1
200708,80.5,2.7
200808,79.3,1.5
200908,79.7,1.9
201008,79.0,1.2
201108,82.2,4.4
201208,80.5,2.7
201308,78.5,0.7
201408,76.5,-1.3
201508,80.6,2.8
201608,77.5,-0.3
201708,79.1,1.3
201808,80.2,2.4
201908,81.9,4.1
