Arkansas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,78.8,-0.5
189608,82.2,2.9
189708,78.9,-0.4
189808,78.9,-0.4
189908,82.2,2.9
190008,80.6,1.3
190108,80.3,1.0
190208,80.6,1.3
190308,78.4,-0.9
190408,77.7,-1.6
190508,78.8,-0.5
190608,77.7,-1.6
190708,81.8,2.5
190808,78.9,-0.4
190908,81.9,2.6
191008,78.7,-0.6
191108,77.7,-1.6
191208,78.3,-1.0
191308,81.5,2.2
191408,77.9,-1.4
191508,74.4,-4.9
191608,81.0,1.7
191708,76.7,-2.6
191808,82.2,2.9
191908,80.1,0.8
192008,76.1,-3.2
192108,81.0,1.7
192208,79.6,0.3
192308,81.1,1.8
192408,81.5,2.2
192508,79.4,0.1
192608,80.2,0.9
192708,76.0,-3.3
192808,80.8,1.5
192908,80.1,0.8
193008,81.2,1.9
193108,76.1,-3.2
193208,81.1,1.8
193308,78.4,-0.9
193408,84.2,4.9
193508,81.6,2.3
193608,84.0,4.7
193708,81.4,2.1
193808,82.5,3.2
193908,79.7,0.4
194008,77.3,-2.0
194108,80.4,1.1
194208,78.3,-1.0
194308,83.9,4.6
194408,79.7,0.4
194508,78.5,-0.8
194608,78.5,-0.8
194708,84.1,4.8
194808,78.0,-1.3
194908,77.6,-1.7
195008,75.5,-3.8
195108,81.5,2.2
195208,80.8,1.5
195308,79.2,-0.1
195408,84.8,5.5
195508,78.9,-0.4
195608,81.4,2.1
195708,78.1,-1.2
195808,78.6,-0.7
195908,79.5,0.2
196008,79.4,0.1
196108,76.0,-3.3
196208,79.5,0.2
196308,79.8,0.5
196408,78.4,-0.9
196508,78.2,-1.1
196608,75.6,-3.7
196708,74.8,-4.5
196808,79.0,-0.3
196908,77.6,-1.7
197008,79.3,0.0
197108,75.9,-3.4
197208,79.2,-0.1
197308,77.8,-1.5
197408,76.8,-2.5
197508,78.4,-0.9
197608,76.5,-2.8
197708,79.6,0.3
197808,79.7,0.4
197908,77.5,-1.8
198008,84.0,4.7
198108,77.5,-1.8
198208,79.4,0.1
198308,82.7,3.4
198408,77.6,-1.7
198508,79.0,-0.3
198608,76.7,-2.6
198708,82.0,2.7
198808,80.7,1.4
198908,78.0,-1.3
199008,79.2,-0.1
199108,78.2,-1.1
199208,74.0,-5.3
199308,81.3,2.0
199408,76.2,-3.1
199508,83.1,3.8
199608,77.6,-1.7
199708,77.4,-1.9
199808,80.9,1.6
199908,81.2,1.9
200008,83.8,4.5
200108,80.8,1.5
200208,79.9,0.6
200308,80.8,1.5
200408,75.3,-4.0
200508,82.2,2.9
200608,82.1,2.8
200708,83.7,4.4
200808,77.7,-1.6
200908,76.6,-2.7
201008,83.9,4.6
201108,83.1,3.8
201208,80.2,0.9
201308,78.4,-0.9
201408,78.7,-0.6
201508,78.1,-1.2
201608,80.0,0.7
201708,76.9,-2.4
201808,78.8,-0.5
201908,80.4,1.1
