Arkansas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,36.1,-3.2
189601,40.2,0.9
189701,37.7,-1.6
189801,43.8,4.5
189901,38.2,-1.1
190001,42.1,2.8
190101,44.0,4.7
190201,36.8,-2.5
190301,38.8,-0.5
190401,37.4,-1.9
190501,31.9,-7.4
190601,41.4,2.1
190701,48.4,9.1
190801,40.3,1.0
190901,42.8,3.5
191001,40.8,1.5
191101,46.3,7.0
191201,32.9,-6.4
191301,42.4,3.1
191401,44.7,5.4
191501,37.5,-1.8
191601,42.8,3.5
191701,42.3,3.0
191801,26.2,-13.1
191901,40.1,0.8
192001,38.2,-1.1
192101,45.5,6.2
192201,37.7,-1.6
192301,47.0,7.7
192401,34.7,-4.6
192501,39.0,-0.3
192601,39.3,0.0
192701,41.0,1.7
192801,41.0,1.7
192901,37.9,-1.4
193001,32.4,-6.9
193101,41.0,1.7
193201,45.0,5.7
193301,47.4,8.1
193401,43.3,4.0
193501,42.4,3.1
193601,35.8,-3.5
193701,40.6,1.3
193801,40.9,1.6
193901,44.1,4.8
194001,26.8,-12.5
194101,42.3,3.0
194201,36.9,-2.4
194301,40.8,1.5
194401,41.0,1.7
194501,39.0,-0.3
194601,40.0,0.7
194701,41.7,2.4
194801,32.4,-6.9
194901,41.3,2.0
195001,47.0,7.7
195101,40.7,1.4
195201,46.5,7.2
195301,44.4,5.1
195401,40.6,1.3
195501,40.4,1.1
195601,37.5,-1.8
195701,38.2,-1.1
195801,37.9,-1.4
195901,37.6,-1.7
196001,39.5,0.2
196101,36.0,-3.3
196201,35.3,-4.0
196301,32.9,-6.4
196401,40.3,1.0
196501,42.5,3.2
196601,34.7,-4.6
196701,41.4,2.1
196801,37.4,-1.9
196901,40.2,0.9
197001,33.7,-5.6
197101,39.4,0.1
197201,40.7,1.4
197301,37.9,-1.4
197401,40.6,1.3
197501,43.0,3.7
197601,38.3,-1.0
197701,27.5,-11.8
197801,29.4,-9.9
197901,27.6,-11.7
198001,40.5,1.2
198101,38.0,-1.3
198201,35.3,-4.0
198301,38.2,-1.1
198401,34.0,-5.3
198501,32.0,-7.3
198601,41.3,2.0
198701,38.5,-0.8
198801,34.8,-4.5
198901,44.3,5.0
199001,45.6,6.3
199101,37.2,-2.1
199201,40.8,1.5
199301,39.4,0.1
199401,36.6,-2.7
199501,41.1,1.8
199601,38.2,-1.1
199701,38.6,-0.7
199801,44.3,5.0
199901,42.6,3.3
200001,41.8,2.5
200101,37.0,-2.3
200201,42.5,3.2
200301,36.8,-2.5
200401,41.0,1.7
200501,44.7,5.4
200601,47.5,8.2
200701,39.9,0.6
200801,39.0,-0.3
200901,38.4,-0.9
201001,36.5,-2.8
201101,37.6,-1.7
201201,44.6,5.3
201301,42.1,2.8
201401,35.2,-4.1
201501,38.6,-0.7
201601,39.5,0.2
201701,45.2,5.9
201801,35.7,-3.6
201901,40.8,1.5
