Delaware, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,31.1,-2.2
189601,31.4,-1.9
189701,30.3,-3.0
189801,35.6,2.3
189901,32.4,-0.9
190001,33.9,0.6
190101,32.8,-0.5
190201,30.2,-3.1
190301,31.9,-1.4
190401,26.9,-6.4
190501,28.5,-4.8
190601,38.8,5.5
190701,35.6,2.3
190801,33.1,-0.2
190901,35.9,2.6
191001,31.8,-1.5
191101,36.7,3.4
191201,24.6,-8.7
191301,42.5,9.2
191401,35.8,2.5
191501,35.1,1.8
191601,38.1,4.8
191701,33.8,0.5
191801,21.8,-11.5
191901,35.6,2.3
192001,27.2,-6.1
192101,35.8,2.5
192201,29.9,-3.4
192301,35.0,1.7
192401,34.3,1.0
192501,31.8,-1.5
192601,32.6,-0.7
192701,32.4,-0.9
192801,33.7,0.4
192901,33.3,0.0
193001,34.8,1.5
193101,34.4,1.1
193201,44.5,11.2
193301,40.8,7.5
193401,36.8,3.5
193501,31.5,-1.8
193601,28.8,-4.5
193701,42.5,9.2
193801,33.5,0.2
193901,34.3,1.0
194001,21.7,-11.6
194101,32.2,-1.1
194201,31.4,-1.9
194301,33.9,0.6
194401,34.5,1.2
194501,28.5,-4.8
194601,35.0,1.7
194701,40.0,6.7
194801,26.5,-6.8
194901,40.9,7.6
195001,45.1,11.8
195101,36.7,3.4
195201,37.7,4.4
195301,39.2,5.9
195401,33.4,0.1
195501,31.8,-1.5
195601,31.3,-2.0
195701,30.0,-3.3
195801,31.0,-2.3
195901,32.1,-1.2
196001,35.4,2.1
196101,27.0,-6.3
196201,32.9,-0.4
196301,30.2,-3.1
196401,34.4,1.1
196501,30.9,-2.4
196601,29.9,-3.4
196701,37.6,4.3
196801,28.9,-4.4
196901,31.1,-2.2
197001,26.1,-7.2
197101,29.0,-4.3
197201,36.1,2.8
197301,35.0,1.7
197401,38.5,5.2
197501,37.8,4.5
197601,30.4,-2.9
197701,22.2,-11.1
197801,29.6,-3.7
197901,33.2,-0.1
198001,33.2,-0.1
198101,27.0,-6.3
198201,26.3,-7.0
198301,34.6,1.3
198401,28.3,-5.0
198501,28.3,-5.0
198601,33.4,0.1
198701,31.8,-1.5
198801,28.7,-4.6
198901,37.6,4.3
199001,41.5,8.2
199101,35.8,2.5
199201,36.1,2.8
199301,38.1,4.8
199401,28.0,-5.3
199501,38.2,4.9
199601,32.6,-0.7
199701,34.1,0.8
199801,41.6,8.3
199901,38.1,4.8
200001,33.3,0.0
200101,33.1,-0.2
200201,40.0,6.7
200301,29.6,-3.7
200401,28.8,-4.5
200501,34.3,1.0
200601,42.1,8.8
200701,40.1,6.8
200801,36.7,3.4
200901,30.7,-2.6
201001,33.4,0.1
201101,30.3,-3.0
201201,39.3,6.0
201301,37.4,4.1
201401,30.0,-3.3
201501,32.1,-1.2
201601,34.3,1.0
201701,39.1,5.8
201801,32.4,-0.9
201901,34.6,1.3
