Georgia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,79.4,0.4
189608,81.3,2.3
189708,78.5,-0.5
189808,78.3,-0.7
189908,80.7,1.7
190008,82.1,3.1
190108,78.2,-0.8
190208,80.3,1.3
190308,80.8,1.8
190408,77.9,-1.1
190508,78.7,-0.3
190608,80.2,1.2
190708,79.7,0.7
190808,79.3,0.3
190908,79.5,0.5
191008,78.8,-0.2
191108,79.0,0.0
191208,78.9,-0.1
191308,79.3,0.3
191408,78.8,-0.2
191508,79.8,0.8
191608,79.7,0.7
191708,78.2,-0.8
191808,79.7,0.7
191908,78.6,-0.4
192008,77.8,-1.2
192108,78.9,-0.1
192208,77.4,-1.6
192308,79.4,0.4
192408,81.3,2.3
192508,80.2,1.2
192608,80.4,1.4
192708,77.8,-1.2
192808,79.3,0.3
192908,79.2,0.2
193008,78.0,-1.0
193108,78.2,-0.8
193208,79.2,0.2
193308,79.5,0.5
193408,80.1,1.1
193508,79.8,0.8
193608,79.8,0.8
193708,79.1,0.1
193808,80.8,1.8
193908,77.8,-1.2
194008,79.1,0.1
194108,80.6,1.6
194208,78.1,-0.9
194308,80.4,1.4
194408,78.0,-1.0
194508,78.3,-0.7
194608,77.9,-1.1
194708,79.1,0.1
194808,77.7,-1.3
194908,78.3,-0.7
195008,77.5,-1.5
195108,81.0,2.0
195208,79.0,0.0
195308,78.7,-0.3
195408,82.0,3.0
195508,80.0,1.0
195608,80.0,1.0
195708,78.4,-0.6
195808,79.2,0.2
195908,80.0,1.0
196008,78.9,-0.1
196108,77.3,-1.7
196208,78.9,-0.1
196308,79.4,0.4
196408,77.4,-1.6
196508,78.6,-0.4
196608,77.5,-1.5
196708,76.3,-2.7
196808,80.0,1.0
196908,76.6,-2.4
197008,79.1,0.1
197108,77.8,-1.2
197208,78.8,-0.2
197308,78.0,-1.0
197408,77.7,-1.3
197508,79.0,0.0
197608,77.2,-1.8
197708,79.1,0.1
197808,79.0,0.0
197908,78.7,-0.3
198008,81.4,2.4
198108,76.9,-2.1
198208,78.1,-0.9
198308,81.2,2.2
198408,78.2,-0.8
198508,77.8,-1.2
198608,78.7,-0.3
198708,81.7,2.7
198808,80.2,1.2
198908,78.5,-0.5
199008,80.5,1.5
199108,78.4,-0.6
199208,77.0,-2.0
199308,80.1,1.1
199408,77.0,-2.0
199508,80.6,1.6
199608,77.7,-1.3
199708,77.5,-1.5
199808,79.5,0.5
199908,82.1,3.1
200008,79.5,0.5
200108,79.3,0.3
200208,79.6,0.6
200308,79.2,0.2
200408,77.6,-1.4
200508,80.3,1.3
200608,81.6,2.6
200708,83.2,4.2
200808,78.9,-0.1
200908,78.8,-0.2
201008,82.2,3.2
201108,82.2,3.2
201208,78.1,-0.9
201308,78.0,-1.0
201408,79.2,0.2
201508,79.5,0.5
201608,81.6,2.6
201708,79.4,0.4
201808,79.3,0.3
201908,80.8,1.8
