Georgia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,44.9,-1.2
189601,43.9,-2.2
189701,42.9,-3.2
189801,49.7,3.6
189901,45.4,-0.7
190001,44.1,-2.0
190101,45.4,-0.7
190201,43.4,-2.7
190301,43.7,-2.4
190401,40.8,-5.3
190501,40.2,-5.9
190601,46.8,0.7
190701,53.7,7.6
190801,43.9,-2.2
190901,50.3,4.2
191001,44.6,-1.5
191101,49.3,3.2
191201,40.8,-5.3
191301,52.4,6.3
191401,46.0,-0.1
191501,44.3,-1.8
191601,52.1,6.0
191701,50.2,4.1
191801,37.9,-8.2
191901,45.7,-0.4
192001,47.5,1.4
192101,48.6,2.5
192201,45.6,-0.5
192301,50.1,4.0
192401,42.8,-3.3
192501,47.3,1.2
192601,44.1,-2.0
192701,47.0,0.9
192801,44.7,-1.4
192901,48.8,2.7
193001,46.9,0.8
193101,44.2,-1.9
193201,54.1,8.0
193301,51.8,5.7
193401,48.3,2.2
193501,47.5,1.4
193601,43.3,-2.8
193701,57.6,11.5
193801,46.4,0.3
193901,48.8,2.7
194001,34.2,-11.9
194101,46.4,0.3
194201,44.7,-1.4
194301,48.6,2.5
194401,45.9,-0.2
194501,45.5,-0.6
194601,47.6,1.5
194701,51.0,4.9
194801,40.8,-5.3
194901,54.2,8.1
195001,58.0,11.9
195101,47.1,1.0
195201,52.7,6.6
195301,49.3,3.2
195401,48.4,2.3
195501,45.0,-1.1
195601,43.3,-2.8
195701,49.6,3.5
195801,40.6,-5.5
195901,44.6,-1.5
196001,46.2,0.1
196101,41.4,-4.7
196201,44.7,-1.4
196301,41.7,-4.4
196401,43.8,-2.3
196501,46.9,0.8
196601,41.4,-4.7
196701,47.5,1.4
196801,42.6,-3.5
196901,44.1,-2.0
197001,38.7,-7.4
197101,46.0,-0.1
197201,51.6,5.5
197301,45.2,-0.9
197401,58.1,12.0
197501,50.2,4.1
197601,41.9,-4.2
197701,35.0,-11.1
197801,38.2,-7.9
197901,41.0,-5.1
198001,47.0,0.9
198101,40.2,-5.9
198201,43.3,-2.8
198301,42.3,-3.8
198401,42.9,-3.2
198501,40.1,-6.0
198601,44.5,-1.6
198701,44.4,-1.7
198801,41.2,-4.9
198901,51.6,5.5
199001,51.4,5.3
199101,47.2,1.1
199201,46.2,0.1
199301,50.3,4.2
199401,42.3,-3.8
199501,46.4,0.3
199601,44.6,-1.5
199701,48.0,1.9
199801,49.5,3.4
199901,49.9,3.8
200001,46.2,0.1
200101,43.3,-2.8
200201,48.1,2.0
200301,42.3,-3.8
200401,45.0,-1.1
200501,49.5,3.4
200601,51.8,5.7
200701,49.2,3.1
200801,45.0,-1.1
200901,46.3,0.2
201001,41.8,-4.3
201101,41.8,-4.3
201201,50.0,3.9
201301,52.5,6.4
201401,40.0,-6.1
201501,44.9,-1.2
201601,44.4,-1.7
201701,53.2,7.1
201801,42.4,-3.7
201901,48.2,2.1
