Idaho, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,63.7,0.1
189608,63.6,0.0
189708,66.0,2.4
189808,67.1,3.5
189908,58.6,-5.0
190008,60.0,-3.6
190108,66.3,2.7
190208,62.0,-1.6
190308,63.3,-0.3
190408,64.7,1.1
190508,64.6,1.0
190608,63.7,0.1
190708,59.4,-4.2
190808,61.6,-2.0
190908,63.7,0.1
191008,60.4,-3.2
191108,60.8,-2.8
191208,59.7,-3.9
191308,64.1,0.5
191408,63.2,-0.4
191508,67.2,3.6
191608,62.0,-1.6
191708,63.1,-0.5
191808,59.5,-4.1
191908,65.0,1.4
192008,63.6,0.0
192108,63.8,0.2
192208,65.5,1.9
192308,63.3,-0.3
192408,62.2,-1.4
192508,61.8,-1.8
192608,63.6,0.0
192708,62.3,-1.3
192808,61.7,-1.9
192908,66.8,3.2
193008,65.5,1.9
193108,65.3,1.7
193208,62.2,-1.4
193308,63.5,-0.1
193408,65.9,2.3
193508,63.3,-0.3
193608,65.0,1.4
193708,62.8,-0.8
193808,62.6,-1.0
193908,64.9,1.3
194008,65.6,2.0
194108,63.0,-0.6
194208,64.2,0.6
194308,62.7,-0.9
194408,61.6,-2.0
194508,64.3,0.7
194608,64.3,0.7
194708,62.9,-0.7
194808,62.3,-1.3
194908,64.9,1.3
195008,63.0,-0.6
195108,62.2,-1.4
195208,63.8,0.2
195308,63.5,-0.1
195408,60.9,-2.7
195508,64.9,1.3
195608,61.5,-2.1
195708,62.7,-0.9
195808,66.9,3.3
195908,61.8,-1.8
196008,60.9,-2.7
196108,68.1,4.5
196208,61.5,-2.1
196308,64.3,0.7
196408,60.7,-2.9
196508,61.8,-1.8
196608,63.7,0.1
196708,67.1,3.5
196808,59.3,-4.3
196908,65.0,1.4
197008,65.7,2.1
197108,67.4,3.8
197208,65.1,1.5
197308,64.1,0.5
197408,62.1,-1.5
197508,60.2,-3.4
197608,60.1,-3.5
197708,63.9,0.3
197808,61.2,-2.4
197908,63.8,0.2
198008,60.2,-3.4
198108,66.7,3.1
198208,65.1,1.5
198308,66.3,2.7
198408,65.5,1.9
198508,60.9,-2.7
198608,66.7,3.1
198708,61.7,-1.9
198808,64.2,0.6
198908,61.5,-2.1
199008,64.6,1.0
199108,67.1,3.5
199208,64.9,1.3
199308,59.7,-3.9
199408,67.0,3.4
199508,62.5,-1.1
199608,64.5,0.9
199708,65.0,1.4
199808,67.0,3.4
199908,65.4,1.8
200008,66.3,2.7
200108,68.2,4.6
200208,61.8,-1.8
200308,67.7,4.1
200408,63.7,0.1
200508,64.8,1.2
200608,63.7,0.1
200708,65.4,1.8
200808,64.8,1.2
200908,63.8,0.2
201008,62.8,-0.8
201108,66.1,2.5
201208,67.3,3.7
201308,67.6,4.0
201408,63.8,0.2
201508,65.8,2.2
201608,64.7,1.1
201708,66.9,3.3
201808,65.0,1.4
201908,65.9,2.3
