Idaho, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,20.0,-2.0
189601,26.9,4.9
189701,22.0,0.0
189801,17.2,-4.8
189901,25.7,3.7
190001,28.0,6.0
190101,24.9,2.9
190201,21.4,-0.6
190301,24.1,2.1
190401,22.6,0.6
190501,24.6,2.6
190601,22.9,0.9
190701,18.9,-3.1
190801,23.5,1.5
190901,24.8,2.8
191001,17.5,-4.5
191101,24.1,2.1
191201,22.7,0.7
191301,19.0,-3.0
191401,26.9,4.9
191501,20.1,-1.9
191601,14.8,-7.2
191701,15.2,-6.8
191801,26.5,4.5
191901,23.8,1.8
192001,22.6,0.6
192101,24.9,2.9
192201,13.5,-8.5
192301,25.8,3.8
192401,17.6,-4.4
192501,24.1,2.1
192601,21.6,-0.4
192701,23.5,1.5
192801,23.6,1.6
192901,13.5,-8.5
193001,10.4,-11.6
193101,22.2,0.2
193201,17.3,-4.7
193301,21.9,-0.1
193401,30.7,8.7
193501,23.4,1.4
193601,21.7,-0.3
193701,6.3,-15.7
193801,25.4,3.4
193901,25.7,3.7
194001,23.8,1.8
194101,24.8,2.8
194201,17.1,-4.9
194301,20.7,-1.3
194401,19.0,-3.0
194501,25.2,3.2
194601,22.1,0.1
194701,18.0,-4.0
194801,23.6,1.6
194901,4.7,-17.3
195001,16.8,-5.2
195101,21.0,-1.0
195201,18.8,-3.2
195301,33.6,11.6
195401,26.5,4.5
195501,18.2,-3.8
195601,25.3,3.3
195701,13.9,-8.1
195801,23.1,1.1
195901,26.4,4.4
196001,18.6,-3.4
196101,24.8,2.8
196201,16.7,-5.3
196301,17.1,-4.9
196401,20.4,-1.6
196501,26.4,4.4
196601,24.9,2.9
196701,28.3,6.3
196801,21.7,-0.3
196901,23.9,1.9
197001,26.4,4.4
197101,25.2,3.2
197201,21.5,-0.5
197301,20.7,-1.3
197401,20.7,-1.3
197501,21.4,-0.6
197601,24.3,2.3
197701,19.0,-3.0
197801,27.6,5.6
197901,11.2,-10.8
198001,21.7,-0.3
198101,29.2,7.2
198201,20.8,-1.2
198301,28.4,6.4
198401,20.0,-2.0
198501,17.3,-4.7
198601,25.7,3.7
198701,21.2,-0.8
198801,21.1,-0.9
198901,20.8,-1.2
199001,26.9,4.9
199101,20.9,-1.1
199201,26.0,4.0
199301,19.1,-2.9
199401,28.7,6.7
199501,26.6,4.6
199601,24.0,2.0
199701,24.1,2.1
199801,27.9,5.9
199901,27.1,5.1
200001,25.7,3.7
200101,23.0,1.0
200201,23.2,1.2
200301,31.4,9.4
200401,22.8,0.8
200501,26.5,4.5
200601,27.9,5.9
200701,20.7,-1.3
200801,19.9,-2.1
200901,25.0,3.0
201001,28.2,6.2
201101,24.0,2.0
201201,26.8,4.8
201301,20.2,-1.8
201401,27.7,5.7
201501,28.7,6.7
201601,25.8,3.8
201701,18.5,-3.5
201801,30.4,8.4
201901,26.2,4.2
