Illinois, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,18.6,-6.7
189601,28.6,3.3
189701,23.6,-1.7
189801,29.5,4.2
189901,25.2,-0.1
190001,30.0,4.7
190101,28.5,3.2
190201,25.5,0.2
190301,25.2,-0.1
190401,18.9,-6.4
190501,18.9,-6.4
190601,31.1,5.8
190701,29.7,4.4
190801,28.0,2.7
190901,27.7,2.4
191001,25.2,-0.1
191101,28.6,3.3
191201,12.9,-12.4
191301,29.2,3.9
191401,32.6,7.3
191501,22.0,-3.3
191601,28.5,3.2
191701,26.3,1.0
191801,10.9,-14.4
191901,30.1,4.8
192001,20.4,-4.9
192101,32.4,7.1
192201,24.0,-1.3
192301,31.8,6.5
192401,19.9,-5.4
192501,24.6,-0.7
192601,27.4,2.1
192701,24.5,-0.8
192801,27.2,1.9
192901,20.0,-5.3
193001,18.8,-6.5
193101,31.5,6.2
193201,33.9,8.6
193301,36.9,11.6
193401,32.1,6.8
193501,27.5,2.2
193601,18.6,-6.7
193701,26.1,0.8
193801,26.6,1.3
193901,32.7,7.4
194001,13.1,-12.2
194101,28.9,3.6
194201,26.1,0.8
194301,25.8,0.5
194401,31.3,6.0
194501,21.9,-3.4
194601,28.4,3.1
194701,30.2,4.9
194801,20.8,-4.5
194901,28.6,3.3
195001,32.1,6.8
195101,26.3,1.0
195201,29.6,4.3
195301,30.2,4.9
195401,27.8,2.5
195501,26.5,1.2
195601,25.8,0.5
195701,20.8,-4.5
195801,26.1,0.8
195901,20.8,-4.5
196001,28.4,3.1
196101,24.0,-1.3
196201,19.7,-5.6
196301,16.0,-9.3
196401,30.2,4.9
196501,26.5,1.2
196601,20.6,-4.7
196701,29.9,4.6
196801,23.8,-1.5
196901,22.8,-2.5
197001,17.6,-7.7
197101,21.5,-3.8
197201,24.0,-1.3
197301,28.8,3.5
197401,26.1,0.8
197501,29.4,4.1
197601,22.7,-2.6
197701,10.1,-15.2
197801,15.8,-9.5
197901,12.7,-12.6
198001,26.4,1.1
198101,25.3,0.0
198201,16.7,-8.6
198301,28.8,3.5
198401,21.9,-3.4
198501,18.2,-7.1
198601,27.9,2.6
198701,26.6,1.3
198801,23.2,-2.1
198901,34.8,9.5
199001,36.4,11.1
199101,23.3,-2.0
199201,31.0,5.7
199301,27.8,2.5
199401,19.9,-5.4
199501,25.8,0.5
199601,24.4,-0.9
199701,21.4,-3.9
199801,31.8,6.5
199901,25.1,-0.2
200001,27.3,2.0
200101,25.7,0.4
200201,33.6,8.3
200301,22.8,-2.5
200401,24.7,-0.6
200501,29.2,3.9
200601,38.1,12.8
200701,30.3,5.0
200801,26.9,1.6
200901,20.6,-4.7
201001,21.5,-3.8
201101,22.7,-2.6
201201,31.9,6.6
201301,29.2,3.9
201401,19.3,-6.0
201501,25.7,0.4
201601,26.9,1.6
201701,32.1,6.8
201801,24.1,-1.2
201901,25.4,0.1
