Iowa, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,71.8,0.4
189608,70.9,-0.5
189708,68.0,-3.4
189808,71.4,0.0
189908,73.5,2.1
190008,76.9,5.5
190108,73.1,1.7
190208,68.4,-3.0
190308,68.4,-3.0
190408,68.3,-3.1
190508,73.7,2.3
190608,73.5,2.1
190708,70.3,-1.1
190808,69.4,-2.0
190908,75.4,4.0
191008,71.4,0.0
191108,70.9,-0.5
191208,70.2,-1.2
191308,75.8,4.4
191408,72.9,1.5
191508,65.2,-6.2
191608,73.4,2.0
191708,68.6,-2.8
191808,75.0,3.6
191908,70.6,-0.8
192008,68.4,-3.0
192108,71.3,-0.1
192208,72.9,1.5
192308,69.7,-1.7
192408,70.7,-0.7
192508,71.6,0.2
192608,72.6,1.2
192708,66.9,-4.5
192808,71.9,0.5
192908,71.0,-0.4
193008,73.6,2.2
193108,71.8,0.4
193208,71.4,0.0
193308,69.6,-1.8
193408,72.3,0.9
193508,72.7,1.3
193608,78.2,6.8
193708,76.9,5.5
193808,74.8,3.4
193908,69.9,-1.5
194008,69.7,-1.7
194108,74.1,2.7
194208,71.3,-0.1
194308,72.9,1.5
194408,70.9,-0.5
194508,71.5,0.1
194608,67.9,-3.5
194708,79.4,8.0
194808,73.1,1.7
194908,72.1,0.7
195008,66.8,-4.6
195108,69.4,-2.0
195208,69.0,-2.4
195308,72.2,0.8
195408,71.0,-0.4
195508,76.1,4.7
195608,72.0,0.6
195708,71.9,0.5
195808,71.9,0.5
195908,75.4,4.0
196008,72.3,0.9
196108,71.4,0.0
196208,70.9,-0.5
196308,70.1,-1.3
196408,68.4,-3.0
196508,69.9,-1.5
196608,68.2,-3.2
196708,67.6,-3.8
196808,71.5,0.1
196908,71.8,0.4
197008,71.5,0.1
197108,70.0,-1.4
197208,71.1,-0.3
197308,72.9,1.5
197408,68.0,-3.4
197508,73.4,2.0
197608,71.0,-0.4
197708,68.4,-3.0
197808,71.2,-0.2
197908,70.9,-0.5
198008,73.3,1.9
198108,69.6,-1.8
198208,70.0,-1.4
198308,78.1,6.7
198408,73.4,2.0
198508,67.9,-3.5
198608,67.0,-4.4
198708,69.9,-1.5
198808,75.8,4.4
198908,71.2,-0.2
199008,71.7,0.3
199108,71.6,0.2
199208,65.7,-5.7
199308,71.6,0.2
199408,68.6,-2.8
199508,76.2,4.8
199608,70.0,-1.4
199708,69.5,-1.9
199808,72.9,1.5
199908,70.0,-1.4
200008,72.7,1.3
200108,72.5,1.1
200208,70.9,-0.5
200308,74.1,2.7
200408,66.2,-5.2
200508,71.5,0.1
200608,72.1,0.7
200708,74.2,2.8
200808,69.9,-1.5
200908,68.3,-3.1
201008,74.4,3.0
201108,72.0,0.6
201208,71.0,-0.4
201308,71.9,0.5
201408,71.2,-0.2
201508,68.9,-2.5
201608,72.0,0.6
201708,67.8,-3.6
201808,71.8,0.4
201908,69.6,-1.8
