Iowa, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,11.2,-6.5
189601,21.6,3.9
189701,15.0,-2.7
189801,21.7,4.0
189901,18.2,0.5
190001,24.2,6.5
190101,21.9,4.2
190201,20.6,2.9
190301,21.1,3.4
190401,12.7,-5.0
190501,9.4,-8.3
190601,23.6,5.9
190701,17.2,-0.5
190801,23.2,5.5
190901,19.6,1.9
191001,16.1,-1.6
191101,18.4,0.7
191201,2.4,-15.3
191301,19.3,1.6
191401,26.2,8.5
191501,15.8,-1.9
191601,16.4,-1.3
191701,15.5,-2.2
191801,7.2,-10.5
191901,25.2,7.5
192001,14.7,-3.0
192101,26.5,8.8
192201,18.0,0.3
192301,24.7,7.0
192401,12.0,-5.7
192501,17.4,-0.3
192601,20.6,2.9
192701,19.6,1.9
192801,23.3,5.6
192901,8.2,-9.5
193001,8.7,-9.0
193101,27.1,9.4
193201,20.5,2.8
193301,30.4,12.7
193401,24.8,7.1
193501,18.6,0.9
193601,7.6,-10.1
193701,10.7,-7.0
193801,18.9,1.2
193901,26.7,9.0
194001,6.6,-11.1
194101,21.7,4.0
194201,19.7,2.0
194301,14.6,-3.1
194401,28.2,10.5
194501,17.4,-0.3
194601,20.8,3.1
194701,24.0,6.3
194801,15.6,-2.1
194901,16.3,-1.4
195001,16.7,-1.0
195101,16.0,-1.7
195201,18.6,0.9
195301,20.6,2.9
195401,17.1,-0.6
195501,19.1,1.4
195601,17.2,-0.5
195701,13.1,-4.6
195801,22.0,4.3
195901,13.2,-4.5
196001,18.9,1.2
196101,18.4,0.7
196201,12.4,-5.3
196301,8.2,-9.5
196401,25.4,7.7
196501,16.6,-1.1
196601,11.1,-6.6
196701,21.2,3.5
196801,18.5,0.8
196901,13.8,-3.9
197001,9.5,-8.2
197101,12.4,-5.3
197201,14.7,-3.0
197301,20.4,2.7
197401,16.9,-0.8
197501,19.6,1.9
197601,19.3,1.6
197701,6.2,-11.5
197801,8.0,-9.7
197901,4.6,-13.1
198001,20.4,2.7
198101,22.8,5.1
198201,7.3,-10.4
198301,23.3,5.6
198401,17.6,-0.1
198501,14.0,-3.7
198601,23.2,5.5
198701,24.4,6.7
198801,15.6,-2.1
198901,29.1,11.4
199001,29.7,12.0
199101,13.4,-4.3
199201,27.2,9.5
199301,17.6,-0.1
199401,10.5,-7.2
199501,18.3,0.6
199601,15.8,-1.9
199701,14.6,-3.1
199801,23.5,5.8
199901,17.0,-0.7
200001,21.6,3.9
200101,20.8,3.1
200201,28.6,10.9
200301,19.1,1.4
200401,17.7,0.0
200501,18.9,1.2
200601,32.4,14.7
200701,21.6,3.9
200801,16.6,-1.1
200901,13.2,-4.5
201001,13.6,-4.1
201101,14.8,-2.9
201201,26.5,8.8
201301,22.0,4.3
201401,14.2,-3.5
201501,21.6,3.9
201601,19.6,1.9
201701,24.2,6.5
201801,17.8,0.1
201901,18.7,1.0
