Kansas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,75.2,-2.1
189608,77.4,0.1
189708,75.0,-2.3
189808,76.8,-0.5
189908,79.8,2.5
190008,79.9,2.6
190108,78.2,0.9
190208,77.5,0.2
190308,75.0,-2.3
190408,74.0,-3.3
190508,77.9,0.6
190608,75.4,-1.9
190708,77.0,-0.3
190808,75.5,-1.8
190908,79.4,2.1
191008,75.1,-2.2
191108,75.6,-1.7
191208,76.3,-1.0
191308,83.2,5.9
191408,77.2,-0.1
191508,69.3,-8.0
191608,78.7,1.4
191708,72.9,-4.4
191808,81.1,3.8
191908,77.6,0.3
192008,71.8,-5.5
192108,78.0,0.7
192208,79.4,2.1
192308,77.3,0.0
192408,78.3,1.0
192508,76.3,-1.0
192608,78.6,1.3
192708,71.0,-6.3
192808,76.0,-1.3
192908,78.2,0.9
193008,78.8,1.5
193108,75.2,-2.1
193208,78.5,1.2
193308,75.9,-1.4
193408,82.8,5.5
193508,79.6,2.3
193608,84.3,7.0
193708,82.7,5.4
193808,82.1,4.8
193908,77.4,0.1
194008,75.5,-1.8
194108,77.8,0.5
194208,75.9,-1.4
194308,82.2,4.9
194408,77.3,0.0
194508,77.8,0.5
194608,77.0,-0.3
194708,82.4,5.1
194808,76.6,-0.7
194908,75.2,-2.1
195008,71.4,-5.9
195108,77.3,0.0
195208,78.8,1.5
195308,76.6,-0.7
195408,80.9,3.6
195508,79.4,2.1
195608,80.0,2.7
195708,78.8,1.5
195808,76.6,-0.7
195908,79.9,2.6
196008,77.5,0.2
196108,75.2,-2.1
196208,77.7,0.4
196308,78.8,1.5
196408,75.5,-1.8
196508,75.6,-1.7
196608,73.4,-3.9
196708,73.3,-4.0
196808,76.2,-1.1
196908,76.8,-0.5
197008,80.3,3.0
197108,75.5,-1.8
197208,75.3,-2.0
197308,78.0,0.7
197408,73.2,-4.1
197508,78.9,1.6
197608,77.6,0.3
197708,75.4,-1.9
197808,77.3,0.0
197908,75.5,-1.8
198008,80.6,3.3
198108,74.8,-2.5
198208,77.9,0.6
198308,83.8,6.5
198408,79.5,2.2
198508,74.6,-2.7
198608,74.4,-2.9
198708,76.0,-1.3
198808,79.2,1.9
198908,75.0,-2.3
199008,77.0,-0.3
199108,77.0,-0.3
199208,70.9,-6.4
199308,76.9,-0.4
199408,76.9,-0.4
199508,80.2,2.9
199608,74.5,-2.8
199708,75.1,-2.2
199808,77.9,0.6
199908,77.5,0.2
200008,83.0,5.7
200108,79.0,1.7
200208,78.4,1.1
200308,80.2,2.9
200408,72.7,-4.6
200508,77.3,0.0
200608,78.8,1.5
200708,81.5,4.2
200808,75.2,-2.1
200908,74.4,-2.9
201008,79.7,2.4
201108,80.9,3.6
201208,76.5,-0.8
201308,76.5,-0.8
201408,78.3,1.0
201508,75.2,-2.1
201608,76.4,-0.9
201708,73.1,-4.2
201808,75.7,-1.6
201908,77.1,-0.2
