Kansas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,23.5,-5.1
189601,32.5,3.9
189701,27.1,-1.5
189801,30.2,1.6
189901,28.1,-0.5
190001,34.0,5.4
190101,30.7,2.1
190201,28.8,0.2
190301,30.8,2.2
190401,27.9,-0.7
190501,20.5,-8.1
190601,33.4,4.8
190701,29.1,0.5
190801,33.6,5.0
190901,28.4,-0.2
191001,28.5,-0.1
191101,32.6,4.0
191201,17.5,-11.1
191301,27.8,-0.8
191401,36.1,7.5
191501,27.5,-1.1
191601,23.5,-5.1
191701,29.7,1.1
191801,18.0,-10.6
191901,28.6,0.0
192001,29.9,1.3
192101,34.9,6.3
192201,26.6,-2.0
192301,36.7,8.1
192401,24.6,-4.0
192501,24.0,-4.6
192601,31.1,2.5
192701,30.4,1.8
192801,33.0,4.4
192901,23.1,-5.5
193001,16.2,-12.4
193101,34.6,6.0
193201,26.7,-1.9
193301,37.3,8.7
193401,34.7,6.1
193501,33.4,4.8
193601,24.8,-3.8
193701,19.4,-9.2
193801,32.9,4.3
193901,36.4,7.8
194001,13.5,-15.1
194101,31.5,2.9
194201,28.5,-0.1
194301,29.2,0.6
194401,32.5,3.9
194501,31.0,2.4
194601,32.7,4.1
194701,31.1,2.5
194801,26.4,-2.2
194901,21.3,-7.3
195001,29.0,0.4
195101,28.7,0.1
195201,33.2,4.6
195301,35.3,6.7
195401,28.4,-0.2
195501,30.5,1.9
195601,28.0,-0.6
195701,23.7,-4.9
195801,32.0,3.4
195901,25.1,-3.5
196001,27.2,-1.4
196101,30.0,1.4
196201,24.0,-4.6
196301,20.1,-8.5
196401,33.9,5.3
196501,32.5,3.9
196601,24.6,-4.0
196701,31.8,3.2
196801,29.1,0.5
196901,27.7,-0.9
197001,25.8,-2.8
197101,26.9,-1.7
197201,27.4,-1.2
197301,27.7,-0.9
197401,24.5,-4.1
197501,31.8,3.2
197601,30.8,2.2
197701,21.0,-7.6
197801,19.1,-9.5
197901,15.0,-13.6
198001,28.9,0.3
198101,33.1,4.5
198201,24.6,-4.0
198301,31.0,2.4
198401,26.8,-1.8
198501,23.4,-5.2
198601,37.8,9.2
198701,31.0,2.4
198801,25.4,-3.2
198901,36.2,7.6
199001,36.1,7.5
199101,26.0,-2.6
199201,36.4,7.8
199301,24.8,-3.8
199401,28.8,0.2
199501,31.2,2.6
199601,27.0,-1.6
199701,28.6,0.0
199801,32.6,4.0
199901,31.7,3.1
200001,33.3,4.7
200101,31.0,2.4
200201,33.8,5.2
200301,31.8,3.2
200401,30.4,1.8
200501,29.9,1.3
200601,41.3,12.7
200701,27.0,-1.6
200801,30.0,1.4
200901,31.4,2.8
201001,27.2,-1.4
201101,27.3,-1.3
201201,36.1,7.5
201301,32.3,3.7
201401,29.6,1.0
201501,32.1,3.5
201601,32.0,3.4
201701,33.0,4.4
201801,29.9,1.3
201901,31.3,2.7
