Kentucky, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,75.4,0.6
189608,75.6,0.8
189708,74.4,-0.4
189808,76.2,1.4
189908,77.1,2.3
190008,79.5,4.7
190108,74.9,0.1
190208,74.9,0.1
190308,75.1,0.3
190408,74.6,-0.2
190508,74.9,0.1
190608,77.3,2.5
190708,74.0,-0.8
190808,75.1,0.3
190908,76.1,1.3
191008,73.2,-1.6
191108,75.7,0.9
191208,73.2,-1.6
191308,77.4,2.6
191408,75.3,0.5
191508,71.1,-3.7
191608,76.4,1.6
191708,73.3,-1.5
191808,79.0,4.2
191908,73.9,-0.9
192008,72.4,-2.4
192108,74.6,-0.2
192208,73.8,-1.0
192308,74.6,-0.2
192408,75.5,0.7
192508,75.2,0.4
192608,76.3,1.5
192708,70.0,-4.8
192808,76.2,1.4
192908,72.9,-1.9
193008,75.6,0.8
193108,74.2,-0.6
193208,75.8,1.0
193308,74.2,-0.6
193408,75.9,1.1
193508,76.5,1.7
193608,80.2,5.4
193708,77.5,2.7
193808,77.1,2.3
193908,74.8,0.0
194008,75.7,0.9
194108,76.4,1.6
194208,74.4,-0.4
194308,77.4,2.6
194408,75.8,1.0
194508,74.7,-0.1
194608,70.4,-4.4
194708,79.1,4.3
194808,73.9,-0.9
194908,74.6,-0.2
195008,71.1,-3.7
195108,75.0,0.2
195208,75.7,0.9
195308,75.4,0.6
195408,76.8,2.0
195508,77.2,2.4
195608,74.4,-0.4
195708,74.0,-0.8
195808,73.8,-1.0
195908,76.9,2.1
196008,76.1,1.3
196108,73.4,-1.4
196208,74.7,-0.1
196308,72.8,-2.0
196408,74.1,-0.7
196508,74.0,-0.8
196608,72.7,-2.1
196708,70.0,-4.8
196808,75.6,0.8
196908,73.5,-1.3
197008,74.7,-0.1
197108,72.3,-2.5
197208,73.8,-1.0
197308,74.3,-0.5
197408,73.2,-1.6
197508,76.6,1.8
197608,71.2,-3.6
197708,74.8,0.0
197808,74.8,0.0
197908,73.9,-0.9
198008,78.5,3.7
198108,73.3,-1.5
198208,72.2,-2.6
198308,79.3,4.5
198408,74.5,-0.3
198508,73.1,-1.7
198608,72.5,-2.3
198708,76.7,1.9
198808,77.6,2.8
198908,73.9,-0.9
199008,73.7,-1.1
199108,75.0,0.2
199208,70.7,-4.1
199308,76.0,1.2
199408,72.7,-2.1
199508,79.3,4.5
199608,74.3,-0.5
199708,73.0,-1.8
199808,75.4,0.6
199908,75.3,0.5
200008,74.8,0.0
200108,76.4,1.6
200208,77.2,2.4
200308,75.9,1.1
200408,71.2,-3.6
200508,78.0,3.2
200608,77.4,2.6
200708,80.9,6.1
200808,73.9,-0.9
200908,73.6,-1.2
201008,78.3,3.5
201108,75.8,1.0
201208,74.6,-0.2
201308,73.7,-1.1
201408,75.1,0.3
201508,72.8,-2.0
201608,78.0,3.2
201708,73.1,-1.7
201808,75.8,1.0
201908,75.6,0.8
