Maine, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,12.2,-1.0
189601,10.4,-2.8
189701,12.8,-0.4
189801,9.4,-3.8
189901,11.7,-1.5
190001,13.9,0.7
190101,11.0,-2.2
190201,12.5,-0.7
190301,13.4,0.2
190401,5.9,-7.3
190501,7.3,-5.9
190601,19.0,5.8
190701,7.6,-5.6
190801,15.4,2.2
190901,12.5,-0.7
191001,17.4,4.2
191101,12.7,-0.5
191201,5.0,-8.2
191301,20.9,7.7
191401,8.8,-4.4
191501,15.9,2.7
191601,15.7,2.5
191701,11.7,-1.5
191801,5.8,-7.4
191901,15.6,2.4
192001,3.8,-9.4
192101,15.2,2.0
192201,9.7,-3.5
192301,8.8,-4.4
192401,13.1,-0.1
192501,5.0,-8.2
192601,12.2,-1.0
192701,15.4,2.2
192801,13.8,0.6
192901,12.6,-0.6
193001,13.0,-0.2
193101,12.4,-0.8
193201,22.0,8.8
193301,21.9,8.7
193401,10.2,-3.0
193501,7.3,-5.9
193601,13.0,-0.2
193701,20.3,7.1
193801,12.4,-0.8
193901,12.6,-0.6
194001,9.6,-3.6
194101,11.0,-2.2
194201,12.2,-1.0
194301,9.6,-3.6
194401,16.1,2.9
194501,9.6,-3.6
194601,12.6,-0.6
194701,13.9,0.7
194801,9.9,-3.3
194901,18.6,5.4
195001,18.1,4.9
195101,17.7,4.5
195201,15.6,2.4
195301,19.8,6.6
195401,10.6,-2.6
195501,13.6,0.4
195601,21.7,8.5
195701,5.9,-7.3
195801,20.2,7.0
195901,13.9,0.7
196001,15.2,2.0
196101,7.4,-5.8
196201,12.6,-0.6
196301,15.6,2.4
196401,17.7,4.5
196501,10.9,-2.3
196601,17.0,3.8
196701,18.0,4.8
196801,8.9,-4.3
196901,16.4,3.2
197001,7.7,-5.5
197101,7.3,-5.9
197201,13.7,0.5
197301,16.6,3.4
197401,14.0,0.8
197501,16.0,2.8
197601,9.3,-3.9
197701,8.5,-4.7
197801,12.9,-0.3
197901,16.8,3.6
198001,16.3,3.1
198101,7.0,-6.2
198201,5.4,-7.8
198301,17.6,4.4
198401,10.9,-2.3
198501,8.9,-4.3
198601,16.3,3.1
198701,13.0,-0.2
198801,14.0,0.8
198901,16.7,3.5
199001,22.0,8.8
199101,12.2,-1.0
199201,14.2,1.0
199301,15.1,1.9
199401,4.2,-9.0
199501,19.8,6.6
199601,13.7,0.5
199701,13.8,0.6
199801,17.8,4.6
199901,14.3,1.1
200001,14.1,0.9
200101,14.0,0.8
200201,21.0,7.8
200301,9.2,-4.0
200401,6.4,-6.8
200501,11.5,-1.7
200601,22.6,9.4
200701,17.3,4.1
200801,18.6,5.4
200901,7.9,-5.3
201001,20.3,7.1
201101,15.9,2.7
201201,18.2,5.0
201301,15.8,2.6
201401,14.2,1.0
201501,11.7,-1.5
201601,20.1,6.9
201701,21.5,8.3
201801,15.0,1.8
201901,14.2,1.0
