Maryland, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,74.9,1.7
189608,74.0,0.8
189708,71.8,-1.4
189808,75.4,2.2
189908,73.5,0.3
190008,77.8,4.6
190108,74.6,1.4
190208,71.1,-2.1
190308,70.8,-2.4
190408,71.4,-1.8
190508,72.0,-1.2
190608,75.3,2.1
190708,71.0,-2.2
190808,71.1,-2.1
190908,71.1,-2.1
191008,71.7,-1.5
191108,74.2,1.0
191208,71.1,-2.1
191308,72.3,-0.9
191408,73.8,0.6
191508,71.9,-1.3
191608,73.5,0.3
191708,73.2,0.0
191808,75.5,2.3
191908,71.5,-1.7
192008,72.9,-0.3
192108,71.0,-2.2
192208,71.5,-1.7
192308,72.5,-0.7
192408,73.0,-0.2
192508,71.3,-1.9
192608,74.5,1.3
192708,68.2,-5.0
192808,75.0,1.8
192908,71.2,-2.0
193008,73.6,0.4
193108,73.5,0.3
193208,74.5,1.3
193308,73.9,0.7
193408,71.8,-1.4
193508,73.6,0.4
193608,75.5,2.3
193708,75.2,2.0
193808,75.8,2.6
193908,75.8,2.6
194008,71.1,-2.1
194108,72.6,-0.6
194208,72.4,-0.8
194308,75.4,2.2
194408,73.9,0.7
194508,72.1,-1.1
194608,69.6,-3.6
194708,75.7,2.5
194808,72.8,-0.4
194908,74.4,1.2
195008,72.0,-1.2
195108,73.0,-0.2
195208,73.5,0.3
195308,73.2,0.0
195408,72.7,-0.5
195508,76.3,3.1
195608,72.5,-0.7
195708,71.9,-1.3
195808,72.4,-0.8
195908,76.2,3.0
196008,75.1,1.9
196108,73.6,0.4
196208,72.7,-0.5
196308,71.8,-1.4
196408,71.2,-2.0
196508,72.9,-0.3
196608,74.3,1.1
196708,71.7,-1.5
196808,75.6,2.4
196908,72.8,-0.4
197008,74.2,1.0
197108,72.1,-1.1
197208,72.5,-0.7
197308,75.1,1.9
197408,73.4,0.2
197508,75.2,2.0
197608,71.5,-1.7
197708,75.0,1.8
197808,76.1,2.9
197908,73.3,0.1
198008,76.3,3.1
198108,71.5,-1.7
198208,70.8,-2.4
198308,75.9,2.7
198408,74.2,1.0
198508,73.1,-0.1
198608,71.9,-1.3
198708,74.8,1.6
198808,77.0,3.8
198908,73.2,0.0
199008,73.1,-0.1
199108,75.7,2.5
199208,70.7,-2.5
199308,75.3,2.1
199408,71.6,-1.6
199508,76.4,3.2
199608,72.6,-0.6
199708,72.7,-0.5
199808,75.1,1.9
199908,75.0,1.8
200008,72.6,-0.6
200108,76.0,2.8
200208,77.2,4.0
200308,76.1,2.9
200408,73.5,0.3
200508,77.0,3.8
200608,76.9,3.7
200708,76.3,3.1
200808,72.6,-0.6
200908,76.2,3.0
201008,76.4,3.2
201108,75.1,1.9
201208,75.8,2.6
201308,72.4,-0.8
201408,71.7,-1.5
201508,73.9,0.7
201608,78.0,4.8
201708,72.8,-0.4
201808,77.0,3.8
201908,75.8,2.6
