Michigan, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,13.3,-4.8
189601,19.4,1.3
189701,17.9,-0.2
189801,20.8,2.7
189901,15.6,-2.5
190001,21.7,3.6
190101,18.1,0.0
190201,18.9,0.8
190301,18.0,-0.1
190401,10.3,-7.8
190501,13.5,-4.6
190601,25.6,7.5
190701,17.2,-0.9
190801,20.2,2.1
190901,20.8,2.7
191001,18.2,0.1
191101,19.2,1.1
191201,4.0,-14.1
191301,21.4,3.3
191401,22.7,4.6
191501,16.4,-1.7
191601,21.7,3.6
191701,14.6,-3.5
191801,6.2,-11.9
191901,23.8,5.7
192001,9.3,-8.8
192101,23.6,5.5
192201,16.4,-1.7
192301,18.8,0.7
192401,13.3,-4.8
192501,15.3,-2.8
192601,18.9,0.8
192701,16.2,-1.9
192801,20.0,1.9
192901,12.0,-6.1
193001,14.5,-3.6
193101,22.7,4.6
193201,28.6,10.5
193301,26.5,8.4
193401,23.9,5.8
193501,17.4,-0.7
193601,15.4,-2.7
193701,20.3,2.2
193801,17.0,-1.1
193901,21.5,3.4
194001,14.3,-3.8
194101,20.0,1.9
194201,19.5,1.4
194301,15.0,-3.1
194401,25.8,7.7
194501,12.9,-5.2
194601,20.8,2.7
194701,21.7,3.6
194801,12.9,-5.2
194901,23.6,5.5
195001,22.0,3.9
195101,18.8,0.7
195201,21.4,3.3
195301,23.0,4.9
195401,17.8,-0.3
195501,19.1,1.0
195601,19.8,1.7
195701,13.8,-4.3
195801,20.4,2.3
195901,13.1,-5.0
196001,21.4,3.3
196101,15.8,-2.3
196201,14.7,-3.4
196301,9.9,-8.2
196401,23.5,5.4
196501,17.2,-0.9
196601,14.5,-3.6
196701,22.2,4.1
196801,17.0,-1.1
196901,19.0,0.9
197001,13.2,-4.9
197101,14.5,-3.6
197201,16.4,-1.7
197301,22.9,4.8
197401,19.8,1.7
197501,22.2,4.1
197601,14.9,-3.2
197701,8.6,-9.5
197801,15.1,-3.0
197901,12.3,-5.8
198001,19.6,1.5
198101,15.8,-2.3
198201,11.2,-6.9
198301,22.5,4.4
198401,13.4,-4.7
198501,16.0,-2.1
198601,19.2,1.1
198701,22.5,4.4
198801,17.6,-0.5
198901,25.5,7.4
199001,27.6,9.5
199101,17.4,-0.7
199201,22.9,4.8
199301,21.4,3.3
199401,9.5,-8.6
199501,22.9,4.8
199601,16.7,-1.4
199701,17.5,-0.6
199801,24.8,6.7
199901,17.7,-0.4
200001,19.3,1.2
200101,23.4,5.3
200201,27.5,9.4
200301,16.7,-1.4
200401,14.3,-3.8
200501,18.0,-0.1
200601,29.9,11.8
200701,24.1,6.0
200801,22.8,4.7
200901,12.6,-5.5
201001,21.3,3.2
201101,16.9,-1.2
201201,25.1,7.0
201301,23.0,4.9
201401,12.3,-5.8
201501,16.6,-1.5
201601,22.3,4.2
201701,25.2,7.1
201801,20.0,1.9
201901,16.8,-1.3
