Minnesota, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,-0.6,-7.1
189601,8.4,1.9
189701,2.9,-3.6
189801,14.1,7.6
189901,4.6,-1.9
190001,14.7,8.2
190101,8.2,1.7
190201,12.0,5.5
190301,7.5,1.0
190401,1.2,-5.3
190501,0.4,-6.1
190601,13.0,6.5
190701,-0.8,-7.3
190801,13.2,6.7
190901,6.6,0.1
191001,9.0,2.5
191101,1.8,-4.7
191201,-9.4,-15.9
191301,4.4,-2.1
191401,14.0,7.5
191501,5.5,-1.0
191601,0.4,-6.1
191701,-0.1,-6.6
191801,-2.3,-8.8
191901,15.7,9.2
192001,0.9,-5.6
192101,14.5,8.0
192201,6.7,0.2
192301,9.5,3.0
192401,0.2,-6.3
192501,6.3,-0.2
192601,10.7,4.2
192701,7.1,0.6
192801,10.2,3.7
192901,-5.3,-11.8
193001,-1.4,-7.9
193101,18.0,11.5
193201,12.1,5.6
193301,14.5,8.0
193401,13.3,6.8
193501,2.4,-4.1
193601,-3.8,-10.3
193701,-3.6,-10.1
193801,5.8,-0.7
193901,12.2,5.7
194001,2.5,-4.0
194101,10.6,4.1
194201,14.8,8.3
194301,0.4,-6.1
194401,20.3,13.8
194501,8.2,1.7
194601,8.5,2.0
194701,13.8,7.3
194801,3.2,-3.3
194901,7.2,0.7
195001,-2.0,-8.5
195101,3.0,-3.5
195201,5.2,-1.3
195301,10.4,3.9
195401,1.6,-4.9
195501,8.0,1.5
195601,7.7,1.2
195701,1.6,-4.9
195801,15.7,9.2
195901,2.2,-4.3
196001,9.1,2.6
196101,7.3,0.8
196201,3.3,-3.2
196301,-0.2,-6.7
196401,15.0,8.5
196501,2.7,-3.8
196601,-3.7,-10.2
196701,9.2,2.7
196801,7.9,1.4
196901,2.7,-3.8
197001,0.7,-5.8
197101,-0.3,-6.8
197201,0.7,-5.8
197301,12.2,5.7
197401,5.2,-1.3
197501,10.1,3.6
197601,6.2,-0.3
197701,-3.3,-9.8
197801,0.6,-5.9
197901,-4.0,-10.5
198001,8.6,2.1
198101,12.8,6.3
198201,-4.7,-11.2
198301,14.4,7.9
198401,8.0,1.5
198501,6.0,-0.5
198601,12.9,6.4
198701,16.2,9.7
198801,4.5,-2.0
198901,14.4,7.9
199001,20.3,13.8
199101,5.8,-0.7
199201,17.1,10.6
199301,8.0,1.5
199401,-2.5,-9.0
199501,11.8,5.3
199601,1.0,-5.5
199701,4.5,-2.0
199801,14.0,7.5
199901,7.6,1.1
200001,10.3,3.8
200101,16.0,9.5
200201,18.1,11.6
200301,10.1,3.6
200401,5.1,-1.4
200501,7.6,1.1
200601,24.1,17.6
200701,14.5,8.0
200801,8.5,2.0
200901,2.2,-4.3
201001,8.8,2.3
201101,5.0,-1.5
201201,18.4,11.9
201301,11.4,4.9
201401,2.3,-4.2
201501,13.7,7.2
201601,12.6,6.1
201701,14.6,8.1
201801,10.4,3.9
201901,6.6,0.1
