Mississippi, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,80.2,0.0
189608,82.5,2.3
189708,80.2,0.0
189808,80.2,0.0
189908,82.4,2.2
190008,81.5,1.3
190108,80.1,-0.1
190208,82.4,2.2
190308,80.7,0.5
190408,79.4,-0.8
190508,80.8,0.6
190608,80.7,0.5
190708,81.9,1.7
190808,79.9,-0.3
190908,82.0,1.8
191008,80.9,0.7
191108,79.4,-0.8
191208,79.9,-0.3
191308,81.0,0.8
191408,79.7,-0.5
191508,79.0,-1.2
191608,80.4,0.2
191708,79.1,-1.1
191808,81.3,1.1
191908,81.0,0.8
192008,78.4,-1.8
192108,82.0,1.8
192208,79.6,-0.6
192308,79.8,-0.4
192408,82.8,2.6
192508,80.5,0.3
192608,81.2,1.0
192708,78.4,-1.8
192808,82.0,1.8
192908,79.8,-0.4
193008,80.3,0.1
193108,77.3,-2.9
193208,81.4,1.2
193308,80.2,0.0
193408,82.4,2.2
193508,82.3,2.1
193608,81.9,1.7
193708,81.4,1.2
193808,81.8,1.6
193908,80.1,-0.1
194008,79.3,-0.9
194108,81.3,1.1
194208,79.2,-1.0
194308,83.4,3.2
194408,80.5,0.3
194508,79.7,-0.5
194608,78.4,-1.8
194708,82.3,2.1
194808,79.4,-0.8
194908,79.6,-0.6
195008,77.9,-2.3
195108,83.7,3.5
195208,81.8,1.6
195308,79.6,-0.6
195408,84.2,4.0
195508,80.2,0.0
195608,80.8,0.6
195708,79.4,-0.8
195808,79.3,-0.9
195908,80.5,0.3
196008,80.0,-0.2
196108,78.0,-2.2
196208,81.3,1.1
196308,80.5,0.3
196408,79.7,-0.5
196508,79.4,-0.8
196608,78.0,-2.2
196708,76.1,-4.1
196808,79.9,-0.3
196908,78.4,-1.8
197008,79.9,-0.3
197108,78.3,-1.9
197208,80.2,0.0
197308,78.1,-2.1
197408,78.6,-1.6
197508,79.2,-1.0
197608,78.3,-1.9
197708,80.4,0.2
197808,80.2,0.0
197908,79.2,-1.0
198008,82.4,2.2
198108,80.4,0.2
198208,79.9,-0.3
198308,81.9,1.7
198408,78.0,-2.2
198508,79.3,-0.9
198608,79.1,-1.1
198708,81.8,1.6
198808,81.0,0.8
198908,79.0,-1.2
199008,80.6,0.4
199108,79.2,-1.0
199208,76.2,-4.0
199308,81.4,1.2
199408,78.1,-2.1
199508,82.6,2.4
199608,78.5,-1.7
199708,78.6,-1.6
199808,81.4,1.2
199908,82.5,2.3
200008,83.2,3.0
200108,79.7,-0.5
200208,80.1,-0.1
200308,80.6,0.4
200408,76.8,-3.4
200508,82.0,1.8
200608,83.0,2.8
200708,84.2,4.0
200808,78.5,-1.7
200908,78.7,-1.5
201008,83.8,3.6
201108,83.0,2.8
201208,79.5,-0.7
201308,79.6,-0.6
201408,79.8,-0.4
201508,80.1,-0.1
201608,82.0,1.8
201708,79.3,-0.9
201808,80.2,0.0
201908,81.4,1.2
