Montana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,9.6,-7.1
189601,15.7,-1.0
189701,16.2,-0.5
189801,19.3,2.6
189901,16.8,0.1
190001,25.8,9.1
190101,18.4,1.7
190201,19.0,2.3
190301,21.9,5.2
190401,20.3,3.6
190501,14.3,-2.4
190601,22.0,5.3
190701,3.1,-13.6
190801,23.1,6.4
190901,10.7,-6.0
191001,18.2,1.5
191101,12.6,-4.1
191201,14.0,-2.7
191301,12.3,-4.4
191401,23.5,6.8
191501,16.6,-0.1
191601,-3.8,-20.5
191701,13.2,-3.5
191801,13.3,-3.4
191901,27.7,11.0
192001,18.0,1.3
192101,24.0,7.3
192201,12.3,-4.4
192301,22.1,5.4
192401,12.3,-4.4
192501,19.4,2.7
192601,23.1,6.4
192701,16.2,-0.5
192801,19.7,3.0
192901,4.7,-12.0
193001,1.5,-15.2
193101,26.5,9.8
193201,15.5,-1.2
193301,20.4,3.7
193401,27.0,10.3
193501,15.2,-1.5
193601,13.6,-3.1
193701,-2.4,-19.1
193801,22.3,5.6
193901,25.9,9.2
194001,10.7,-6.0
194101,21.8,5.1
194201,18.7,2.0
194301,7.8,-8.9
194401,24.2,7.5
194501,21.4,4.7
194601,23.0,6.3
194701,19.8,3.1
194801,21.8,5.1
194901,3.2,-13.5
195001,-2.3,-19.0
195101,13.3,-3.4
195201,11.8,-4.9
195301,27.4,10.7
195401,10.8,-5.9
195501,18.7,2.0
195601,14.9,-1.8
195701,5.4,-11.3
195801,27.0,10.3
195901,16.5,-0.2
196001,15.8,-0.9
196101,24.2,7.5
196201,15.0,-1.7
196301,8.4,-8.3
196401,22.6,5.9
196501,18.8,2.1
196601,12.3,-4.4
196701,22.5,5.8
196801,16.5,-0.2
196901,3.4,-13.3
197001,14.6,-2.1
197101,14.2,-2.5
197201,10.6,-6.1
197301,19.4,2.7
197401,16.1,-0.6
197501,19.4,2.7
197601,21.2,4.5
197701,12.6,-4.1
197801,10.0,-6.7
197901,2.1,-14.6
198001,12.6,-4.1
198101,28.3,11.6
198201,8.0,-8.7
198301,26.6,9.9
198401,23.6,6.9
198501,14.8,-1.9
198601,28.3,11.6
198701,24.2,7.5
198801,17.4,0.7
198901,21.4,4.7
199001,25.6,8.9
199101,15.6,-1.1
199201,28.0,11.3
199301,12.2,-4.5
199401,20.8,4.1
199501,22.4,5.7
199601,11.3,-5.4
199701,14.3,-2.4
199801,19.0,2.3
199901,22.2,5.5
200001,22.1,5.4
200101,24.6,7.9
200201,22.7,6.0
200301,24.7,8.0
200401,17.0,0.3
200501,18.1,1.4
200601,31.4,14.7
200701,21.8,5.1
200801,18.1,1.4
200901,21.1,4.4
201001,20.6,3.9
201101,19.1,2.4
201201,25.1,8.4
201301,21.7,5.0
201401,24.5,7.8
201501,24.7,8.0
201601,23.4,6.7
201701,15.2,-1.5
201801,21.7,5.0
201901,24.8,8.1
