Nebraska, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,16.7,-5.4
189601,26.9,4.8
189701,20.2,-1.9
189801,25.2,3.1
189901,21.4,-0.7
190001,29.0,6.9
190101,25.3,3.2
190201,23.5,1.4
190301,25.0,2.9
190401,21.8,-0.3
190501,16.0,-6.1
190601,28.4,6.3
190701,18.0,-4.1
190801,28.4,6.3
190901,21.7,-0.4
191001,20.3,-1.8
191101,25.2,3.1
191201,12.2,-9.9
191301,21.9,-0.2
191401,30.3,8.2
191501,18.2,-3.9
191601,13.8,-8.3
191701,21.2,-0.9
191801,12.3,-9.8
191901,28.3,6.2
192001,25.5,3.4
192101,28.4,6.3
192201,19.0,-3.1
192301,29.4,7.3
192401,15.8,-6.3
192501,18.4,-3.7
192601,24.9,2.8
192701,24.1,2.0
192801,27.3,5.2
192901,14.5,-7.6
193001,9.3,-12.8
193101,30.4,8.3
193201,18.6,-3.5
193301,31.0,8.9
193401,29.9,7.8
193501,25.6,3.5
193601,15.7,-6.4
193701,8.1,-14.0
193801,26.4,4.3
193901,29.9,7.8
194001,9.9,-12.2
194101,24.7,2.6
194201,23.0,0.9
194301,21.0,-1.1
194401,27.1,5.0
194501,25.9,3.8
194601,27.6,5.5
194701,26.9,4.8
194801,21.9,-0.2
194901,10.6,-11.5
195001,16.4,-5.7
195101,21.9,-0.2
195201,23.9,1.8
195301,28.6,6.5
195401,22.1,0.0
195501,22.0,-0.1
195601,21.4,-0.7
195701,15.4,-6.7
195801,26.8,4.7
195901,20.9,-1.2
196001,19.5,-2.6
196101,24.9,2.8
196201,19.1,-3.0
196301,12.1,-10.0
196401,27.8,5.7
196501,25.4,3.3
196601,16.3,-5.8
196701,25.4,3.3
196801,22.4,0.3
196901,16.7,-5.4
197001,19.0,-3.1
197101,20.5,-1.6
197201,20.1,-2.0
197301,22.7,0.6
197401,18.4,-3.7
197501,24.6,2.5
197601,22.6,0.5
197701,15.7,-6.4
197801,11.9,-10.2
197901,7.8,-14.3
198001,22.3,0.2
198101,29.3,7.2
198201,14.8,-7.3
198301,27.5,5.4
198401,22.6,0.5
198501,19.2,-2.9
198601,31.6,9.5
198701,28.9,6.8
198801,17.4,-4.7
198901,31.1,9.0
199001,31.9,9.8
199101,19.9,-2.2
199201,31.5,9.4
199301,18.2,-3.9
199401,21.8,-0.3
199501,24.8,2.7
199601,19.0,-3.1
199701,21.2,-0.9
199801,26.6,4.5
199901,26.4,4.3
200001,28.6,6.5
200101,27.5,5.4
200201,29.5,7.4
200301,26.9,4.8
200401,24.0,1.9
200501,23.1,1.0
200601,37.1,15.0
200701,21.6,-0.5
200801,21.3,-0.8
200901,25.5,3.4
201001,22.1,0.0
201101,20.4,-1.7
201201,30.4,8.3
201301,25.5,3.4
201401,25.4,3.3
201501,27.2,5.1
201601,26.0,3.9
201701,24.8,2.7
201801,23.1,1.0
201901,26.3,4.2
