Nevada, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,71.2,1.1
189608,69.7,-0.4
189708,72.7,2.6
189808,72.8,2.7
189908,64.7,-5.4
190008,66.0,-4.1
190108,70.2,0.1
190208,68.4,-1.7
190308,70.2,0.1
190408,70.6,0.5
190508,70.3,0.2
190608,70.1,0.0
190708,66.6,-3.5
190808,69.2,-0.9
190908,70.4,0.3
191008,69.6,-0.5
191108,68.1,-2.0
191208,67.5,-2.6
191308,69.5,-0.6
191408,71.2,1.1
191508,72.5,2.4
191608,67.4,-2.7
191708,70.8,0.7
191808,67.3,-2.8
191908,72.5,2.4
192008,69.9,-0.2
192108,71.2,1.1
192208,69.6,-0.5
192308,68.6,-1.5
192408,69.2,-0.9
192508,67.6,-2.5
192608,70.6,0.5
192708,68.4,-1.7
192808,69.8,-0.3
192908,72.3,2.2
193008,69.9,-0.2
193108,72.5,2.4
193208,69.1,-1.0
193308,70.7,0.6
193408,72.8,2.7
193508,71.3,1.2
193608,71.0,0.9
193708,71.8,1.7
193808,70.1,0.0
193908,72.5,2.4
194008,72.8,2.7
194108,67.5,-2.6
194208,70.9,0.8
194308,68.8,-1.3
194408,68.6,-1.5
194508,69.3,-0.8
194608,71.2,1.1
194708,68.4,-1.7
194808,68.4,-1.7
194908,69.0,-1.1
195008,69.9,-0.2
195108,69.1,-1.0
195208,70.9,0.8
195308,68.6,-1.5
195408,67.1,-3.0
195508,71.7,1.6
195608,67.8,-2.3
195708,68.8,-1.3
195808,73.6,3.5
195908,69.5,-0.6
196008,69.6,-0.5
196108,71.7,1.6
196208,69.5,-0.6
196308,69.7,-0.4
196408,69.3,-0.8
196508,67.8,-2.3
196608,71.6,1.5
196708,73.4,3.3
196808,65.1,-5.0
196908,72.8,2.7
197008,72.5,2.4
197108,73.3,3.2
197208,70.0,-0.1
197308,70.3,0.2
197408,69.1,-1.0
197508,67.6,-2.5
197608,65.2,-4.9
197708,71.1,1.0
197808,69.4,-0.7
197908,68.5,-1.6
198008,69.0,-1.1
198108,72.6,2.5
198208,71.2,1.1
198308,69.5,-0.6
198408,70.8,0.7
198508,69.2,-0.9
198608,73.4,3.3
198708,71.0,0.9
198808,71.2,1.1
198908,68.3,-1.8
199008,69.9,-0.2
199108,71.3,1.2
199208,72.1,2.0
199308,68.6,-1.5
199408,73.3,3.2
199508,71.1,1.0
199608,72.5,2.4
199708,71.8,1.7
199808,73.2,3.1
199908,69.4,-0.7
200008,72.3,2.2
200108,74.2,4.1
200208,70.3,0.2
200308,72.4,2.3
200408,70.1,0.0
200508,71.4,1.3
200608,70.1,0.0
200708,72.9,2.8
200808,73.2,3.1
200908,70.2,0.1
201008,69.9,-0.2
201108,72.5,2.4
201208,74.2,4.1
201308,71.6,1.5
201408,69.5,-0.6
201508,72.7,2.6
201608,72.1,2.0
201708,73.5,3.4
201808,73.2,3.1
201908,73.0,2.9
