New Jersey, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,26.5,-3.1
189601,26.5,-3.1
189701,27.1,-2.5
189801,31.0,1.4
189901,28.1,-1.5
190001,29.9,0.3
190101,29.3,-0.3
190201,26.9,-2.7
190301,28.6,-1.0
190401,21.6,-8.0
190501,25.5,-4.1
190601,34.7,5.1
190701,30.4,0.8
190801,29.8,0.2
190901,31.6,2.0
191001,28.3,-1.3
191101,31.9,2.3
191201,20.8,-8.8
191301,38.2,8.6
191401,30.3,0.7
191501,31.6,2.0
191601,33.7,4.1
191701,29.9,0.3
191801,18.7,-10.9
191901,32.6,3.0
192001,22.4,-7.2
192101,31.8,2.2
192201,26.2,-3.4
192301,29.0,-0.6
192401,30.8,1.2
192501,26.1,-3.5
192601,29.1,-0.5
192701,27.9,-1.7
192801,30.9,1.3
192901,29.4,-0.2
193001,30.5,0.9
193101,30.3,0.7
193201,41.0,11.4
193301,37.3,7.7
193401,32.4,2.8
193501,27.0,-2.6
193601,25.6,-4.0
193701,38.0,8.4
193801,29.8,0.2
193901,29.6,0.0
194001,20.5,-9.1
194101,28.0,-1.6
194201,27.7,-1.9
194301,28.9,-0.7
194401,31.2,1.6
194501,23.0,-6.6
194601,31.2,1.6
194701,35.6,6.0
194801,22.8,-6.8
194901,36.7,7.1
195001,39.7,10.1
195101,33.2,3.6
195201,33.9,4.3
195301,34.9,5.3
195401,28.6,-1.0
195501,28.3,-1.3
195601,29.4,-0.2
195701,26.3,-3.3
195801,28.9,-0.7
195901,29.0,-0.6
196001,32.0,2.4
196101,23.3,-6.3
196201,29.3,-0.3
196301,26.6,-3.0
196401,31.0,1.4
196501,26.4,-3.2
196601,27.9,-1.7
196701,34.3,4.7
196801,25.0,-4.6
196901,28.1,-1.5
197001,22.4,-7.2
197101,25.3,-4.3
197201,32.4,2.8
197301,32.6,3.0
197401,33.5,3.9
197501,34.5,4.9
197601,26.0,-3.6
197701,19.4,-10.2
197801,26.5,-3.1
197901,30.4,0.8
198001,30.5,0.9
198101,23.0,-6.6
198201,22.2,-7.4
198301,31.5,1.9
198401,25.3,-4.3
198501,25.4,-4.2
198601,30.7,1.1
198701,29.3,-0.3
198801,25.0,-4.6
198901,34.3,4.7
199001,38.0,8.4
199101,31.6,2.0
199201,32.8,3.2
199301,35.1,5.5
199401,23.7,-5.9
199501,35.6,6.0
199601,28.8,-0.8
199701,30.3,0.7
199801,38.8,9.2
199901,33.1,3.5
200001,30.0,0.4
200101,29.8,0.2
200201,36.9,7.3
200301,26.4,-3.2
200401,24.6,-5.0
200501,30.1,0.5
200601,38.7,9.1
200701,36.7,7.1
200801,34.3,4.7
200901,26.9,-2.7
201001,31.2,1.6
201101,27.2,-2.4
201201,35.6,6.0
201301,33.9,4.3
201401,26.0,-3.6
201501,27.9,-1.7
201601,31.4,1.8
201701,36.2,6.6
201801,29.2,-0.4
201901,31.6,2.0
