North Dakota, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,-3.2,-9.6
189601,4.9,-1.5
189701,3.2,-3.2
189801,13.4,7.0
189901,4.5,-1.9
190001,15.4,9.0
190101,7.6,1.2
190201,11.6,5.2
190301,9.6,3.2
190401,3.1,-3.3
190501,0.4,-6.0
190601,11.2,4.8
190701,-6.5,-12.9
190801,16.4,10.0
190901,3.2,-3.2
191001,8.3,1.9
191101,-1.2,-7.6
191201,-5.3,-11.7
191301,2.0,-4.4
191401,14.0,7.6
191501,5.2,-1.2
191601,-7.8,-14.2
191701,1.1,-5.3
191801,-2.0,-8.4
191901,18.3,11.9
192001,2.2,-4.2
192101,15.0,8.6
192201,5.8,-0.6
192301,8.8,2.4
192401,1.3,-5.1
192501,7.6,1.2
192601,15.4,9.0
192701,9.0,2.6
192801,11.7,5.3
192901,-6.0,-12.4
193001,-3.3,-9.7
193101,19.8,13.4
193201,8.2,1.8
193301,10.9,4.5
193401,15.0,8.6
193501,2.4,-4.0
193601,-6.9,-13.3
193701,-9.7,-16.1
193801,8.3,1.9
193901,13.6,7.2
194001,1.8,-4.6
194101,9.6,3.2
194201,17.1,10.7
194301,-2.8,-9.2
194401,20.4,14.0
194501,11.4,5.0
194601,10.0,3.6
194701,14.9,8.5
194801,8.3,1.9
194901,0.4,-6.0
195001,-11.9,-18.3
195101,2.0,-4.4
195201,1.7,-4.7
195301,13.1,6.7
195401,-2.0,-8.4
195501,10.2,3.8
195601,5.3,-1.1
195701,1.0,-5.4
195801,17.3,10.9
195901,2.3,-4.1
196001,7.2,0.8
196101,12.0,5.6
196201,6.3,-0.1
196301,1.4,-5.0
196401,14.8,8.4
196501,1.2,-5.2
196601,-5.8,-12.2
196701,10.6,4.2
196801,6.7,0.3
196901,-3.5,-9.9
197001,1.4,-5.0
197101,-0.2,-6.6
197201,1.9,-4.5
197301,14.4,8.0
197401,4.4,-2.0
197501,11.7,5.3
197601,9.6,3.2
197701,-2.0,-8.4
197801,-3.6,-10.0
197901,-4.6,-11.0
198001,6.5,0.1
198101,16.7,10.3
198201,-7.4,-13.8
198301,18.9,12.5
198401,12.9,6.5
198501,6.6,0.2
198601,17.8,11.4
198701,19.4,13.0
198801,7.3,0.9
198901,12.9,6.5
199001,21.8,15.4
199101,6.7,0.3
199201,20.3,13.9
199301,5.9,-0.5
199401,-1.9,-8.3
199501,9.7,3.3
199601,0.3,-6.1
199701,1.6,-4.8
199801,10.4,4.0
199901,6.9,0.5
200001,12.4,6.0
200101,17.0,10.6
200201,16.9,10.5
200301,10.7,4.3
200401,3.8,-2.6
200501,6.4,0.0
200601,25.9,19.5
200701,13.7,7.3
200801,9.6,3.2
200901,5.0,-1.4
201001,9.7,3.3
201101,6.4,0.0
201201,20.0,13.6
201301,11.4,5.0
201401,8.5,2.1
201501,16.0,9.6
201601,14.6,8.2
201701,11.2,4.8
201801,11.8,5.4
201901,9.8,3.4
