Oklahoma, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,32.1,-4.4
189601,38.0,1.5
189701,33.3,-3.2
189801,39.0,2.5
189901,35.0,-1.5
190001,39.8,3.3
190101,39.5,3.0
190201,35.6,-0.9
190301,37.5,1.0
190401,35.3,-1.2
190501,28.7,-7.8
190601,39.2,2.7
190701,42.2,5.7
190801,40.1,3.6
190901,38.6,2.1
191001,39.0,2.5
191101,42.3,5.8
191201,28.7,-7.8
191301,37.2,0.7
191401,43.5,7.0
191501,36.2,-0.3
191601,34.8,-1.7
191701,38.3,1.8
191801,25.5,-11.0
191901,36.2,-0.3
192001,35.4,-1.1
192101,43.0,6.5
192201,34.7,-1.8
192301,45.8,9.3
192401,33.0,-3.5
192501,34.1,-2.4
192601,36.7,0.2
192701,37.9,1.4
192801,40.0,3.5
192901,34.3,-2.2
193001,23.8,-12.7
193101,40.5,4.0
193201,38.5,2.0
193301,45.1,8.6
193401,40.8,4.3
193501,41.4,4.9
193601,34.1,-2.4
193701,30.8,-5.7
193801,40.5,4.0
193901,42.6,6.1
194001,23.7,-12.8
194101,40.1,3.6
194201,35.7,-0.8
194301,37.1,0.6
194401,37.8,1.3
194501,37.7,1.2
194601,37.9,1.4
194701,37.4,0.9
194801,31.5,-5.0
194901,30.2,-6.3
195001,38.3,1.8
195101,37.4,0.9
195201,43.8,7.3
195301,42.3,5.8
195401,37.5,1.0
195501,38.4,1.9
195601,35.8,-0.7
195701,33.8,-2.7
195801,38.2,1.7
195901,33.8,-2.7
196001,35.9,-0.6
196101,35.0,-1.5
196201,31.7,-4.8
196301,29.2,-7.3
196401,39.4,2.9
196501,40.0,3.5
196601,32.0,-4.5
196701,40.1,3.6
196801,36.6,0.1
196901,38.2,1.7
197001,31.8,-4.7
197101,36.4,-0.1
197201,35.7,-0.8
197301,33.3,-3.2
197401,34.4,-2.1
197501,39.3,2.8
197601,37.5,1.0
197701,27.9,-8.6
197801,26.3,-10.2
197901,24.1,-12.4
198001,37.2,0.7
198101,38.2,1.7
198201,34.5,-2.0
198301,37.0,0.5
198401,33.2,-3.3
198501,31.0,-5.5
198601,42.1,5.6
198701,35.6,-0.9
198801,32.6,-3.9
198901,41.8,5.3
199001,43.4,6.9
199101,33.6,-2.9
199201,40.5,4.0
199301,35.1,-1.4
199401,35.9,-0.6
199501,39.0,2.5
199601,35.4,-1.1
199701,36.6,0.1
199801,40.4,3.9
199901,39.7,3.2
200001,40.3,3.8
200101,35.8,-0.7
200201,40.0,3.5
200301,37.2,0.7
200401,39.1,2.6
200501,39.7,3.2
200601,46.8,10.3
200701,35.1,-1.4
200801,38.3,1.8
200901,37.5,1.0
201001,35.2,-1.3
201101,35.0,-1.5
201201,42.7,6.2
201301,39.7,3.2
201401,36.0,-0.5
201501,37.7,1.2
201601,38.2,1.7
201701,40.9,4.4
201801,36.6,0.1
201901,38.3,1.8
