Oregon, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,61.8,-2.1
189608,62.8,-1.1
189708,66.0,2.1
189808,66.1,2.2
189908,57.0,-6.9
190008,59.3,-4.6
190108,66.1,2.2
190208,62.3,-1.6
190308,62.0,-1.9
190408,64.7,0.8
190508,64.0,0.1
190608,64.7,0.8
190708,60.1,-3.8
190808,63.0,-0.9
190908,62.6,-1.3
191008,60.3,-3.6
191108,61.7,-2.2
191208,60.5,-3.4
191308,64.5,0.6
191408,64.4,0.5
191508,67.5,3.6
191608,62.8,-1.1
191708,65.2,1.3
191808,60.9,-3.0
191908,65.0,1.1
192008,64.5,0.6
192108,63.5,-0.4
192208,63.7,-0.2
192308,64.7,0.8
192408,62.4,-1.5
192508,62.2,-1.7
192608,63.8,-0.1
192708,63.4,-0.5
192808,62.6,-1.3
192908,66.2,2.3
193008,65.3,1.4
193108,65.1,1.2
193208,62.3,-1.6
193308,64.8,0.9
193408,66.0,2.1
193508,64.0,0.1
193608,65.3,1.4
193708,62.7,-1.2
193808,62.4,-1.5
193908,66.0,2.1
194008,65.9,2.0
194108,63.2,-0.7
194208,65.3,1.4
194308,61.8,-2.1
194408,62.4,-1.5
194508,64.5,0.6
194608,64.6,0.7
194708,61.8,-2.1
194808,61.1,-2.8
194908,63.2,-0.7
195008,65.2,1.3
195108,63.2,-0.7
195208,64.0,0.1
195308,62.9,-1.0
195408,59.9,-4.0
195508,63.9,0.0
195608,62.7,-1.2
195708,61.0,-2.9
195808,67.6,3.7
195908,62.4,-1.5
196008,61.7,-2.2
196108,68.2,4.3
196208,62.4,-1.5
196308,63.5,-0.4
196408,61.8,-2.1
196508,63.3,-0.6
196608,64.3,0.4
196708,69.0,5.1
196808,61.5,-2.4
196908,63.0,-0.9
197008,65.1,1.2
197108,68.0,4.1
197208,65.8,1.9
197308,63.5,-0.4
197408,64.4,0.5
197508,61.0,-2.9
197608,60.7,-3.2
197708,67.2,3.3
197808,63.1,-0.8
197908,63.7,-0.2
198008,61.1,-2.8
198108,67.0,3.1
198208,64.6,0.7
198308,65.3,1.4
198408,65.2,1.3
198508,62.2,-1.7
198608,68.3,4.4
198708,64.4,0.5
198808,64.4,0.5
198908,61.6,-2.3
199008,65.3,1.4
199108,66.5,2.6
199208,66.5,2.6
199308,61.8,-2.1
199408,65.4,1.5
199508,62.0,-1.9
199608,66.0,2.1
199708,66.2,2.3
199808,67.5,3.6
199908,64.9,1.0
200008,65.4,1.5
200108,67.6,3.7
200208,63.2,-0.7
200308,66.6,2.7
200408,66.6,2.7
200508,66.9,3.0
200608,64.3,0.4
200708,64.8,0.9
200808,65.2,1.3
200908,65.3,1.4
201008,63.5,-0.4
201108,66.1,2.2
201208,67.7,3.8
201308,66.5,2.6
201408,66.6,2.7
201508,66.9,3.0
201608,66.7,2.8
201708,69.6,5.7
201808,66.5,2.6
201908,67.1,3.2
