Texas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,81.4,-0.5
189608,82.9,1.0
189708,80.3,-1.6
189808,80.4,-1.5
189908,84.5,2.6
190008,80.9,-1.0
190108,83.7,1.8
190208,83.7,1.8
190308,81.1,-0.8
190408,80.1,-1.8
190508,82.4,0.5
190608,79.2,-2.7
190708,82.9,1.0
190808,80.1,-1.8
190908,82.3,0.4
191008,83.6,1.7
191108,82.8,0.9
191208,82.6,0.7
191308,82.3,0.4
191408,79.8,-2.1
191508,78.7,-3.2
191608,81.0,-0.9
191708,82.4,0.5
191808,83.2,1.3
191908,81.7,-0.2
192008,78.5,-3.4
192108,83.1,1.2
192208,83.7,1.8
192308,82.5,0.6
192408,84.4,2.5
192508,81.2,-0.7
192608,81.3,-0.6
192708,82.7,0.8
192808,81.8,-0.1
192908,83.1,1.2
193008,83.0,1.1
193108,80.1,-1.8
193208,82.1,0.2
193308,81.6,-0.3
193408,84.3,2.4
193508,83.1,1.2
193608,83.3,1.4
193708,84.4,2.5
193808,82.7,0.8
193908,81.4,-0.5
194008,80.4,-1.5
194108,81.4,-0.5
194208,80.6,-1.3
194308,85.2,3.3
194408,82.6,0.7
194508,81.8,-0.1
194608,82.7,0.8
194708,82.2,0.3
194808,83.1,1.2
194908,80.0,-1.9
195008,80.3,-1.6
195108,84.9,3.0
195208,85.6,3.7
195308,81.7,-0.2
195408,84.0,2.1
195508,81.6,-0.3
195608,83.3,1.4
195708,82.9,1.0
195808,82.9,1.0
195908,81.7,-0.2
196008,81.2,-0.7
196108,79.4,-2.5
196208,83.8,1.9
196308,83.2,1.3
196408,83.4,1.5
196508,80.9,-1.0
196608,79.5,-2.4
196708,79.6,-2.3
196808,80.8,-1.1
196908,83.1,1.2
197008,82.3,0.4
197108,77.1,-4.8
197208,79.4,-2.5
197308,79.7,-2.2
197408,79.0,-2.9
197508,80.1,-1.8
197608,80.1,-1.8
197708,83.2,1.3
197808,81.0,-0.9
197908,79.6,-2.3
198008,83.0,1.1
198108,80.4,-1.5
198208,83.2,1.3
198308,82.8,0.9
198408,81.7,-0.2
198508,83.4,1.5
198608,81.0,-0.9
198708,82.2,0.3
198808,82.1,0.2
198908,80.5,-1.4
199008,80.5,-1.4
199108,80.3,-1.6
199208,78.2,-3.7
199308,82.9,1.0
199408,81.5,-0.4
199508,82.2,0.3
199608,80.3,-1.6
199708,81.8,-0.1
199808,82.3,0.4
199908,84.3,2.4
200008,84.2,2.3
200108,82.8,0.9
200208,82.8,0.9
200308,82.9,1.0
200408,79.2,-2.7
200508,81.3,-0.6
200608,83.6,1.7
200708,81.8,-0.1
200808,80.8,-1.1
200908,83.3,1.4
201008,84.4,2.5
201108,88.2,6.3
201208,83.7,1.8
201308,83.3,1.4
201408,82.6,0.7
201508,83.3,1.4
201608,81.5,-0.4
201708,80.6,-1.3
201808,83.1,1.2
201908,85.8,3.9
