Texas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,44.6,-0.8
189601,45.2,-0.2
189701,40.8,-4.6
189801,47.9,2.5
189901,43.2,-2.2
190001,47.3,1.9
190101,48.0,2.6
190201,44.6,-0.8
190301,45.1,-0.3
190401,44.0,-1.4
190501,42.2,-3.2
190601,46.0,0.6
190701,53.3,7.9
190801,47.6,2.2
190901,50.4,5.0
191001,47.1,1.7
191101,52.6,7.2
191201,41.6,-3.8
191301,45.2,-0.2
191401,50.7,5.3
191501,43.3,-2.1
191601,48.7,3.3
191701,47.4,2.0
191801,38.3,-7.1
191901,42.4,-3.0
192001,42.8,-2.6
192101,50.8,5.4
192201,42.7,-2.7
192301,53.2,7.8
192401,41.0,-4.4
192501,42.9,-2.5
192601,42.1,-3.3
192701,48.0,2.6
192801,46.4,1.0
192901,46.3,0.9
193001,36.8,-8.6
193101,45.9,0.5
193201,46.6,1.2
193301,50.9,5.5
193401,47.6,2.2
193501,50.0,4.6
193601,43.5,-1.9
193701,43.3,-2.1
193801,48.0,2.6
193901,48.2,2.8
194001,36.6,-8.8
194101,48.0,2.6
194201,43.4,-2.0
194301,45.6,0.2
194401,44.7,-0.7
194501,46.2,0.8
194601,44.0,-1.4
194701,43.3,-2.1
194801,40.2,-5.2
194901,39.9,-5.5
195001,51.3,5.9
195101,45.4,0.0
195201,52.8,7.4
195301,51.2,5.8
195401,47.9,2.5
195501,45.6,0.2
195601,46.1,0.7
195701,46.8,1.4
195801,43.6,-1.8
195901,43.1,-2.3
196001,44.1,-1.3
196101,41.4,-4.0
196201,40.1,-5.3
196301,39.2,-6.2
196401,44.6,-0.8
196501,49.2,3.8
196601,40.3,-5.1
196701,46.5,1.1
196801,44.5,-0.9
196901,48.9,3.5
197001,41.8,-3.6
197101,48.8,3.4
197201,47.1,1.7
197301,41.0,-4.4
197401,45.4,0.0
197501,47.8,2.4
197601,45.0,-0.4
197701,38.7,-6.7
197801,38.3,-7.1
197901,37.2,-8.2
198001,46.9,1.5
198101,45.9,0.5
198201,46.1,0.7
198301,44.0,-1.4
198401,41.7,-3.7
198501,40.3,-5.1
198601,48.9,3.5
198701,45.0,-0.4
198801,42.0,-3.4
198901,50.0,4.6
199001,50.2,4.8
199101,43.4,-2.0
199201,45.4,0.0
199301,45.5,0.1
199401,46.6,1.2
199501,48.0,2.6
199601,45.9,0.5
199701,44.9,-0.5
199801,50.6,5.2
199901,50.3,4.9
200001,50.7,5.3
200101,43.9,-1.5
200201,48.7,3.3
200301,46.2,0.8
200401,48.9,3.5
200501,50.7,5.3
200601,52.9,7.5
200701,42.5,-2.9
200801,46.1,0.7
200901,47.9,2.5
201001,44.4,-1.0
201101,45.0,-0.4
201201,50.4,5.0
201301,47.9,2.5
201401,44.5,-0.9
201501,44.0,-1.4
201601,46.4,1.0
201701,50.8,5.4
201801,43.9,-1.5
201901,47.2,1.8
