Virginia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,74.5,1.4
189608,74.3,1.2
189708,73.2,0.1
189808,75.2,2.1
189908,75.3,2.2
190008,78.3,5.2
190108,73.6,0.5
190208,72.0,-1.1
190308,72.8,-0.3
190408,71.8,-1.3
190508,72.4,-0.7
190608,75.7,2.6
190708,71.9,-1.2
190808,71.8,-1.3
190908,71.6,-1.5
191008,71.6,-1.5
191108,74.8,1.7
191208,72.3,-0.8
191308,72.5,-0.6
191408,74.0,0.9
191508,71.9,-1.2
191608,73.4,0.3
191708,72.5,-0.6
191808,75.0,1.9
191908,71.8,-1.3
192008,72.0,-1.1
192108,71.9,-1.2
192208,70.4,-2.7
192308,72.8,-0.3
192408,73.4,0.3
192508,71.4,-1.7
192608,75.3,2.2
192708,68.9,-4.2
192808,74.6,1.5
192908,71.1,-2.0
193008,72.9,-0.2
193108,72.6,-0.5
193208,74.6,1.5
193308,73.2,0.1
193408,73.2,0.1
193508,73.7,0.6
193608,75.5,2.4
193708,74.6,1.5
193808,75.2,2.1
193908,74.0,0.9
194008,71.7,-1.4
194108,73.7,0.6
194208,72.5,-0.6
194308,75.0,1.9
194408,72.8,-0.3
194508,72.4,-0.7
194608,69.7,-3.4
194708,75.8,2.7
194808,72.4,-0.7
194908,73.4,0.3
195008,71.7,-1.4
195108,73.4,0.3
195208,73.1,0.0
195308,73.9,0.8
195408,73.8,0.7
195508,75.4,2.3
195608,73.0,-0.1
195708,71.8,-1.3
195808,72.7,-0.4
195908,75.9,2.8
196008,74.8,1.7
196108,73.3,0.2
196208,72.0,-1.1
196308,72.2,-0.9
196408,71.4,-1.7
196508,73.2,0.1
196608,72.6,-0.5
196708,71.2,-1.9
196808,74.9,1.8
196908,71.8,-1.3
197008,73.4,0.3
197108,71.7,-1.4
197208,72.1,-1.0
197308,74.0,0.9
197408,72.6,-0.5
197508,75.1,2.0
197608,71.2,-1.9
197708,75.1,2.0
197808,75.2,2.1
197908,73.3,0.2
198008,76.0,2.9
198108,71.1,-2.0
198208,71.0,-2.1
198308,75.9,2.8
198408,73.3,0.2
198508,71.9,-1.2
198608,71.5,-1.6
198708,75.4,2.3
198808,76.3,3.2
198908,72.5,-0.6
199008,73.2,0.1
199108,73.9,0.8
199208,70.4,-2.7
199308,74.7,1.6
199408,71.7,-1.4
199508,76.1,3.0
199608,72.2,-0.9
199708,72.1,-1.0
199808,74.6,1.5
199908,74.8,1.7
200008,72.4,-0.7
200108,75.0,1.9
200208,75.8,2.7
200308,75.5,2.4
200408,71.8,-1.3
200508,76.3,3.2
200608,76.5,3.4
200708,77.5,4.4
200808,72.3,-0.8
200908,75.2,2.1
201008,76.0,2.9
201108,74.9,1.8
201208,74.0,0.9
201308,71.8,-1.3
201408,71.3,-1.8
201508,73.2,0.1
201608,77.0,3.9
201708,72.8,-0.3
201808,75.3,2.2
201908,74.7,1.6
