West Virginia, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,72.0,1.6
189608,71.6,1.2
189708,69.9,-0.5
189808,72.3,1.9
189908,72.4,2.0
190008,75.2,4.8
190108,71.6,1.2
190208,69.0,-1.4
190308,70.5,0.1
190408,69.2,-1.2
190508,70.0,-0.4
190608,74.0,3.6
190708,68.4,-2.0
190808,69.8,-0.6
190908,69.8,-0.6
191008,69.6,-0.8
191108,72.8,2.4
191208,68.3,-2.1
191308,71.1,0.7
191408,70.4,0.0
191508,68.0,-2.4
191608,71.2,0.8
191708,70.1,-0.3
191808,74.0,3.6
191908,68.7,-1.7
192008,69.6,-0.8
192108,68.5,-1.9
192208,67.7,-2.7
192308,69.7,-0.7
192408,70.5,0.1
192508,69.4,-1.0
192608,72.4,2.0
192708,65.4,-5.0
192808,72.3,1.9
192908,67.5,-2.9
193008,69.3,-1.1
193108,70.2,-0.2
193208,71.0,0.6
193308,70.0,-0.4
193408,70.1,-0.3
193508,71.6,1.2
193608,73.5,3.1
193708,72.7,2.3
193808,72.4,2.0
193908,71.2,0.8
194008,70.3,-0.1
194108,70.3,-0.1
194208,70.1,-0.3
194308,71.4,1.0
194408,70.9,0.5
194508,69.8,-0.6
194608,66.2,-4.2
194708,74.4,4.0
194808,70.1,-0.3
194908,71.2,0.8
195008,69.0,-1.4
195108,70.0,-0.4
195208,70.7,0.3
195308,71.2,0.8
195408,70.6,0.2
195508,73.9,3.5
195608,69.7,-0.7
195708,69.2,-1.2
195808,69.6,-0.8
195908,73.7,3.3
196008,72.3,1.9
196108,70.8,0.4
196208,69.6,-0.8
196308,67.9,-2.5
196408,68.6,-1.8
196508,69.5,-0.9
196608,69.4,-1.0
196708,67.6,-2.8
196808,71.9,1.5
196908,69.5,-0.9
197008,70.6,0.2
197108,68.7,-1.7
197208,69.5,-0.9
197308,71.4,1.0
197408,69.9,-0.5
197508,72.9,2.5
197608,67.2,-3.2
197708,71.0,0.6
197808,72.2,1.8
197908,69.9,-0.5
198008,72.8,2.4
198108,68.6,-1.8
198208,67.5,-2.9
198308,73.2,2.8
198408,70.7,0.3
198508,68.9,-1.5
198608,68.6,-1.8
198708,72.6,2.2
198808,74.0,3.6
198908,69.8,-0.6
199008,70.4,0.0
199108,71.3,0.9
199208,67.6,-2.8
199308,72.3,1.9
199408,68.9,-1.5
199508,74.9,4.5
199608,70.0,-0.4
199708,68.4,-2.0
199808,71.6,1.2
199908,70.4,0.0
200008,69.5,-0.9
200108,72.5,2.1
200208,72.8,2.4
200308,72.4,2.0
200408,68.8,-1.6
200508,73.8,3.4
200608,73.1,2.7
200708,75.0,4.6
200808,68.7,-1.7
200908,71.3,0.9
201008,73.3,2.9
201108,71.6,1.2
201208,70.8,0.4
201308,69.2,-1.2
201408,69.1,-1.3
201508,69.9,-0.5
201608,75.1,4.7
201708,69.3,-1.1
201808,72.4,2.0
201908,71.5,1.1
