Wisconsin, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,67.2,0.8
189608,67.5,1.1
189708,63.5,-2.9
189808,65.9,-0.5
189908,68.6,2.2
190008,72.8,6.4
190108,67.8,1.4
190208,63.9,-2.5
190308,62.3,-4.1
190408,63.1,-3.3
190508,67.0,0.6
190608,68.4,2.0
190708,64.3,-2.1
190808,65.4,-1.0
190908,69.5,3.1
191008,66.6,0.2
191108,64.5,-1.9
191208,62.7,-3.7
191308,67.5,1.1
191408,65.7,-0.7
191508,61.0,-5.4
191608,68.6,2.2
191708,63.2,-3.2
191808,68.0,1.6
191908,65.1,-1.3
192008,64.7,-1.7
192108,66.7,0.3
192208,67.5,1.1
192308,64.0,-2.4
192408,64.1,-2.3
192508,67.4,1.0
192608,66.0,-0.4
192708,61.5,-4.9
192808,66.6,0.2
192908,65.3,-1.1
193008,68.6,2.2
193108,66.2,-0.2
193208,68.0,1.6
193308,65.8,-0.6
193408,64.6,-1.8
193508,67.4,1.0
193608,69.5,3.1
193708,72.1,5.7
193808,69.4,3.0
193908,67.1,0.7
194008,65.5,-0.9
194108,67.3,0.9
194208,66.2,-0.2
194308,68.0,1.6
194408,68.3,1.9
194508,66.4,0.0
194608,64.4,-2.0
194708,73.4,7.0
194808,68.3,1.9
194908,68.4,2.0
195008,61.9,-4.5
195108,63.0,-3.4
195208,65.0,-1.4
195308,68.1,1.7
195408,65.0,-1.4
195508,71.1,4.7
195608,66.1,-0.3
195708,66.1,-0.3
195808,66.7,0.3
195908,70.5,4.1
196008,67.9,1.5
196108,67.9,1.5
196208,66.2,-0.2
196308,64.8,-1.6
196408,64.2,-2.2
196508,64.6,-1.8
196608,64.5,-1.9
196708,62.6,-3.8
196808,66.7,0.3
196908,69.0,2.6
197008,67.3,0.9
197108,64.2,-2.2
197208,66.3,-0.1
197308,68.8,2.4
197408,64.8,-1.6
197508,67.0,0.6
197608,66.4,0.0
197708,62.8,-3.6
197808,67.0,0.6
197908,64.7,-1.7
198008,67.4,1.0
198108,66.7,0.3
198208,64.7,-1.7
198308,71.0,4.6
198408,69.2,2.8
198508,64.1,-2.3
198608,63.2,-3.2
198708,66.2,-0.2
198808,70.9,4.5
198908,66.9,0.5
199008,66.7,0.3
199108,68.1,1.7
199208,62.7,-3.7
199308,67.9,1.5
199408,64.0,-2.4
199508,71.8,5.4
199608,67.1,0.7
199708,63.6,-2.8
199808,68.9,2.5
199908,65.9,-0.5
200008,67.6,1.2
200108,69.7,3.3
200208,67.4,1.0
200308,70.1,3.7
200408,62.2,-4.2
200508,68.2,1.8
200608,68.0,1.6
200708,68.4,2.0
200808,66.5,0.1
200908,64.8,-1.6
201008,70.8,4.4
201108,68.2,1.8
201208,67.1,0.7
201308,67.6,1.2
201408,67.1,0.7
201508,66.1,-0.3
201608,69.5,3.1
201708,64.2,-2.2
201808,68.5,2.1
201908,65.6,-0.8
