Wyoming, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,62.3,-1.1
189608,62.2,-1.2
189708,62.0,-1.4
189808,65.5,2.1
189908,61.2,-2.2
190008,64.0,0.6
190108,64.8,1.4
190208,62.4,-1.0
190308,63.1,-0.3
190408,62.6,-0.8
190508,64.1,0.7
190608,62.2,-1.2
190708,61.1,-2.3
190808,60.3,-3.1
190908,65.9,2.5
191008,61.4,-2.0
191108,60.6,-2.8
191208,60.1,-3.3
191308,65.0,1.6
191408,62.3,-1.1
191508,61.4,-2.0
191608,61.4,-2.0
191708,60.2,-3.2
191808,61.4,-2.0
191908,64.2,0.8
192008,61.6,-1.8
192108,63.3,-0.1
192208,66.2,2.8
192308,61.8,-1.6
192408,62.2,-1.2
192508,62.0,-1.4
192608,63.2,-0.2
192708,59.4,-4.0
192808,61.2,-2.2
192908,66.1,2.7
193008,63.6,0.2
193108,63.8,0.4
193208,64.2,0.8
193308,62.0,-1.4
193408,64.9,1.5
193508,64.4,1.0
193608,65.3,1.9
193708,66.3,2.9
193808,64.0,0.6
193908,63.0,-0.4
194008,65.4,2.0
194108,63.8,0.4
194208,63.9,0.5
194308,65.6,2.2
194408,62.7,-0.7
194508,63.6,0.2
194608,63.0,-0.4
194708,64.7,1.3
194808,64.1,0.7
194908,64.5,1.1
195008,60.7,-2.7
195108,61.8,-1.6
195208,63.6,0.2
195308,64.0,0.6
195408,63.2,-0.2
195508,66.1,2.7
195608,61.2,-2.2
195708,64.4,1.0
195808,65.6,2.2
195908,64.2,0.8
196008,62.8,-0.6
196108,66.2,2.8
196208,62.0,-1.4
196308,64.8,1.4
196408,61.1,-2.3
196508,61.3,-2.1
196608,62.0,-1.4
196708,63.7,0.3
196808,59.6,-3.8
196908,66.6,3.2
197008,66.4,3.0
197108,66.7,3.3
197208,62.9,-0.5
197308,64.5,1.1
197408,60.0,-3.4
197508,61.7,-1.7
197608,62.2,-1.2
197708,61.1,-2.3
197808,60.9,-2.5
197908,62.7,-0.7
198008,61.4,-2.0
198108,64.0,0.6
198208,66.3,2.9
198308,68.0,4.6
198408,65.5,2.1
198508,61.9,-1.5
198608,64.2,0.8
198708,60.9,-2.5
198808,64.8,1.4
198908,63.1,-0.3
199008,64.4,1.0
199108,65.7,2.3
199208,62.1,-1.3
199308,60.4,-3.0
199408,66.2,2.8
199508,66.2,2.8
199608,64.8,1.4
199708,63.7,0.3
199808,65.2,1.8
199908,64.9,1.5
200008,67.4,4.0
200108,67.6,4.2
200208,62.6,-0.8
200308,68.1,4.7
200408,60.8,-2.6
200508,62.8,-0.6
200608,64.5,1.1
200708,66.4,3.0
200808,64.4,1.0
200908,61.8,-1.6
201008,64.1,0.7
201108,66.4,3.0
201208,66.6,3.2
201308,66.7,3.3
201408,62.5,-0.9
201508,64.3,0.9
201608,63.5,0.1
201708,63.5,0.1
201808,63.5,0.1
201908,65.0,1.6
