Wyoming, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,14.4,-4.0
189601,21.1,2.7
189701,16.5,-1.9
189801,13.3,-5.1
189901,20.2,1.8
190001,23.5,5.1
190101,20.1,1.7
190201,17.4,-1.0
190301,20.5,2.1
190401,18.2,-0.2
190501,18.8,0.4
190601,20.7,2.3
190701,15.8,-2.6
190801,19.9,1.5
190901,20.1,1.7
191001,15.7,-2.7
191101,21.7,3.3
191201,17.1,-1.3
191301,16.7,-1.7
191401,23.0,4.6
191501,16.8,-1.6
191601,8.9,-9.5
191701,12.0,-6.4
191801,14.6,-3.8
191901,22.2,3.8
192001,22.0,3.6
192101,22.0,3.6
192201,10.4,-8.0
192301,23.9,5.5
192401,13.2,-5.2
192501,18.4,0.0
192601,18.0,-0.4
192701,19.4,1.0
192801,22.3,3.9
192901,11.7,-6.7
193001,4.2,-14.2
193101,21.5,3.1
193201,12.0,-6.4
193301,20.5,2.1
193401,25.8,7.4
193501,22.8,4.4
193601,17.0,-1.4
193701,3.5,-14.9
193801,21.5,3.1
193901,22.4,4.0
194001,14.5,-3.9
194101,20.7,2.3
194201,15.6,-2.8
194301,18.7,0.3
194401,16.8,-1.6
194501,20.9,2.5
194601,20.7,2.3
194701,18.5,0.1
194801,18.6,0.2
194901,4.5,-13.9
195001,14.0,-4.4
195101,16.2,-2.2
195201,17.9,-0.5
195301,29.1,10.7
195401,23.0,4.6
195501,17.6,-0.8
195601,21.7,3.3
195701,11.0,-7.4
195801,21.7,3.3
195901,19.8,1.4
196001,18.3,-0.1
196101,21.4,3.0
196201,11.6,-6.8
196301,10.9,-7.5
196401,18.5,0.1
196501,24.6,6.2
196601,17.7,-0.7
196701,23.4,5.0
196801,18.0,-0.4
196901,20.6,2.2
197001,20.3,1.9
197101,21.3,2.9
197201,16.1,-2.3
197301,14.7,-3.7
197401,16.2,-2.2
197501,18.5,0.1
197601,19.5,1.1
197701,16.0,-2.4
197801,16.7,-1.7
197901,4.6,-13.8
198001,16.2,-2.2
198101,27.8,9.4
198201,17.0,-1.4
198301,26.2,7.8
198401,18.0,-0.4
198501,14.2,-4.2
198601,25.2,6.8
198701,19.8,1.4
198801,16.7,-1.7
198901,21.0,2.6
199001,24.0,5.6
199101,16.9,-1.5
199201,22.5,4.1
199301,16.3,-2.1
199401,23.5,5.1
199501,22.3,3.9
199601,17.4,-1.0
199701,18.8,0.4
199801,22.7,4.3
199901,24.6,6.2
200001,24.0,5.6
200101,20.9,2.5
200201,20.2,1.8
200301,28.0,9.6
200401,20.8,2.4
200501,24.6,6.2
200601,26.9,8.5
200701,16.5,-1.9
200801,16.2,-2.2
200901,23.4,5.0
201001,22.2,3.8
201101,20.3,1.9
201201,25.1,6.7
201301,19.9,1.5
201401,23.3,4.9
201501,25.6,7.2
201601,22.7,4.3
201701,16.7,-1.7
201801,25.1,6.7
201901,22.1,3.7
