California, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,72.3,-1.4
189608,73.0,-0.7
189708,74.8,1.1
189808,74.9,1.2
189908,68.9,-4.8
190008,69.9,-3.8
190108,74.8,1.1
190208,72.0,-1.7
190308,73.1,-0.6
190408,74.5,0.8
190508,73.6,-0.1
190608,73.6,-0.1
190708,71.0,-2.7
190808,73.1,-0.6
190908,73.1,-0.6
191008,73.3,-0.4
191108,71.2,-2.5
191208,70.7,-3.0
191308,75.0,1.3
191408,73.6,-0.1
191508,74.8,1.1
191608,71.7,-2.0
191708,74.1,0.4
191808,72.3,-1.4
191908,74.0,0.3
192008,74.3,0.6
192108,72.7,-1.0
192208,72.9,-0.8
192308,72.5,-1.2
192408,72.6,-1.1
192508,71.6,-2.1
192608,73.5,-0.2
192708,72.3,-1.4
192808,73.4,-0.3
192908,75.6,1.9
193008,73.3,-0.4
193108,75.9,2.2
193208,73.3,-0.4
193308,75.0,1.3
193408,75.2,1.5
193508,74.7,1.0
193608,75.4,1.7
193708,75.1,1.4
193808,73.7,0.0
193908,75.6,1.9
194008,74.7,1.0
194108,71.2,-2.5
194208,74.2,0.5
194308,71.8,-1.9
194408,73.0,-0.7
194508,73.3,-0.4
194608,74.4,0.7
194708,71.5,-2.2
194808,71.9,-1.8
194908,71.5,-2.2
195008,74.4,0.7
195108,73.1,-0.6
195208,74.3,0.6
195308,71.8,-1.9
195408,70.4,-3.3
195508,74.9,1.2
195608,71.4,-2.3
195708,72.1,-1.6
195808,77.1,3.4
195908,73.7,0.0
196008,73.9,0.2
196108,75.3,1.6
196208,73.8,0.1
196308,72.8,-0.9
196408,74.0,0.3
196508,73.7,0.0
196608,75.8,2.1
196708,77.8,4.1
196808,70.9,-2.8
196908,76.1,2.4
197008,75.1,1.4
197108,76.0,2.3
197208,74.0,0.3
197308,73.3,-0.4
197408,73.7,0.0
197508,72.1,-1.6
197608,69.8,-3.9
197708,75.0,1.3
197808,73.8,0.1
197908,71.9,-1.8
198008,73.0,-0.7
198108,75.8,2.1
198208,73.9,0.2
198308,73.7,0.0
198408,74.9,1.2
198508,73.0,-0.7
198608,76.0,2.3
198708,74.3,0.6
198808,74.6,0.9
198908,72.1,-1.6
199008,73.7,0.0
199108,73.2,-0.5
199208,76.2,2.5
199308,73.2,-0.5
199408,75.8,2.1
199508,75.0,1.3
199608,76.7,3.0
199708,74.9,1.2
199808,77.2,3.5
199908,72.6,-1.1
200008,75.0,1.3
200108,76.0,2.3
200208,74.4,0.7
200308,75.0,1.3
200408,74.8,1.1
200508,75.8,2.1
200608,73.8,0.1
200708,76.1,2.4
200808,76.6,2.9
200908,74.8,1.1
201008,73.4,-0.3
201108,75.2,1.5
201208,77.8,4.1
201308,74.4,0.7
201408,74.9,1.2
201508,76.5,2.8
201608,76.2,2.5
201708,77.9,4.2
201808,76.4,2.7
201908,76.7,3.0
