California, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,40.5,-1.8
189601,45.5,3.2
189701,42.0,-0.3
189801,37.4,-4.9
189901,43.9,1.6
190001,45.6,3.3
190101,41.5,-0.8
190201,41.5,-0.8
190301,42.0,-0.3
190401,41.6,-0.7
190501,45.7,3.4
190601,43.8,1.5
190701,40.0,-2.3
190801,43.8,1.5
190901,45.1,2.8
191001,38.8,-3.5
191101,43.0,0.7
191201,43.8,1.5
191301,38.8,-3.5
191401,44.4,2.1
191501,41.4,-0.9
191601,38.1,-4.2
191701,36.6,-5.7
191801,42.9,0.6
191901,42.5,0.2
192001,44.4,2.1
192101,41.2,-1.1
192201,37.5,-4.8
192301,42.2,-0.1
192401,41.0,-1.3
192501,42.9,0.6
192601,41.7,-0.6
192701,43.5,1.2
192801,43.5,1.2
192901,39.8,-2.5
193001,39.9,-2.4
193101,43.5,1.2
193201,38.9,-3.4
193301,38.3,-4.0
193401,45.3,3.0
193501,41.7,-0.6
193601,44.6,2.3
193701,32.0,-10.3
193801,44.5,2.2
193901,42.8,0.5
194001,45.4,3.1
194101,44.6,2.3
194201,43.0,0.7
194301,43.2,0.9
194401,41.9,-0.4
194501,42.4,0.1
194601,42.1,-0.2
194701,40.2,-2.1
194801,45.4,3.1
194901,32.2,-10.1
195001,37.6,-4.7
195101,42.2,-0.1
195201,38.7,-3.6
195301,47.0,4.7
195401,42.7,0.4
195501,38.0,-4.3
195601,44.4,2.1
195701,38.7,-3.6
195801,44.0,1.7
195901,45.7,3.4
196001,40.3,-2.0
196101,44.3,2.0
196201,41.3,-1.0
196301,40.5,-1.8
196401,41.0,-1.3
196501,43.6,1.3
196601,40.8,-1.5
196701,43.5,1.2
196801,41.7,-0.6
196901,42.8,0.5
197001,44.7,2.4
197101,42.8,0.5
197201,39.9,-2.4
197301,40.2,-2.1
197401,41.5,-0.8
197501,42.5,0.2
197601,44.4,2.1
197701,41.3,-1.0
197801,45.4,3.1
197901,40.1,-2.2
198001,45.9,3.6
198101,46.7,4.4
198201,40.4,-1.9
198301,44.2,1.9
198401,45.4,3.1
198501,41.7,-0.6
198601,48.8,6.5
198701,41.4,-0.9
198801,42.7,0.4
198901,40.9,-1.4
199001,43.1,0.8
199101,43.6,1.3
199201,43.2,0.9
199301,41.3,-1.0
199401,45.7,3.4
199501,44.7,2.4
199601,45.6,3.3
199701,44.5,2.2
199801,45.1,2.8
199901,45.0,2.7
200001,45.8,3.5
200101,42.3,0.0
200201,42.4,0.1
200301,50.0,7.7
200401,43.5,1.2
200501,44.1,1.8
200601,44.6,2.3
200701,41.5,-0.8
200801,41.1,-1.2
200901,46.9,4.6
201001,45.2,2.9
201101,45.2,2.9
201201,46.5,4.2
201301,42.1,-0.2
201401,50.1,7.8
201501,48.6,6.3
201601,44.5,2.2
201701,42.2,-0.1
201801,48.8,6.5
201901,46.0,3.7
