Colorado, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,21.6,-2.1
189601,27.4,3.7
189701,21.5,-2.2
189801,19.4,-4.3
189901,21.2,-2.5
190001,28.3,4.6
190101,25.2,1.5
190201,24.6,0.9
190301,24.7,1.0
190401,21.8,-1.9
190501,23.1,-0.6
190601,25.5,1.8
190701,27.3,3.6
190801,24.5,0.8
190901,27.5,3.8
191001,23.2,-0.5
191101,30.0,6.3
191201,21.3,-2.4
191301,19.9,-3.8
191401,26.0,2.3
191501,20.2,-3.5
191601,21.1,-2.6
191701,19.6,-4.1
191801,18.6,-5.1
191901,19.3,-4.4
192001,25.7,2.0
192101,26.9,3.2
192201,19.5,-4.2
192301,29.2,5.5
192401,18.9,-4.8
192501,18.3,-5.4
192601,21.8,-1.9
192701,27.2,3.5
192801,27.2,3.5
192901,20.8,-2.9
193001,14.0,-9.7
193101,24.4,0.7
193201,18.4,-5.3
193301,24.0,0.3
193401,29.3,5.6
193501,29.0,5.3
193601,23.6,-0.1
193701,12.8,-10.9
193801,25.7,2.0
193901,25.0,1.3
194001,19.0,-4.7
194101,24.6,0.9
194201,21.2,-2.5
194301,26.3,2.6
194401,22.4,-1.3
194501,25.8,2.1
194601,23.9,0.2
194701,23.4,-0.3
194801,22.5,-1.2
194901,15.4,-8.3
195001,24.1,0.4
195101,23.1,-0.6
195201,25.1,1.4
195301,31.4,7.7
195401,28.7,5.0
195501,21.9,-1.8
195601,29.3,5.6
195701,22.2,-1.5
195801,24.8,1.1
195901,24.8,1.1
196001,21.4,-2.3
196101,24.4,0.7
196201,18.4,-5.3
196301,16.7,-7.0
196401,23.3,-0.4
196501,28.1,4.4
196601,20.3,-3.4
196701,26.6,2.9
196801,22.9,-0.8
196901,28.6,4.9
197001,24.9,1.2
197101,26.0,2.3
197201,24.7,1.0
197301,19.4,-4.3
197401,19.6,-4.1
197501,23.1,-0.6
197601,23.8,0.1
197701,21.6,-2.1
197801,23.4,-0.3
197901,14.7,-9.0
198001,24.1,0.4
198101,30.8,7.1
198201,24.2,0.5
198301,27.8,4.1
198401,19.3,-4.4
198501,21.6,-2.1
198601,31.7,8.0
198701,24.9,1.2
198801,19.0,-4.7
198901,24.9,1.2
199001,26.4,2.7
199101,21.9,-1.8
199201,24.7,1.0
199301,23.7,0.0
199401,26.8,3.1
199501,27.0,3.3
199601,24.4,0.7
199701,24.7,1.0
199801,28.2,4.5
199901,29.8,6.1
200001,29.1,5.4
200101,24.7,1.0
200201,25.4,1.7
200301,31.6,7.9
200401,26.2,2.5
200501,30.2,6.5
200601,29.9,6.2
200701,19.4,-4.3
200801,20.9,-2.8
200901,28.3,4.6
201001,26.1,2.4
201101,24.0,0.3
201201,29.4,5.7
201301,22.9,-0.8
201401,26.4,2.7
201501,29.2,5.5
201601,25.6,1.9
201701,25.3,1.6
201801,29.7,6.0
201901,25.9,2.2
