Connecticut, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,68.7,0.1
189608,69.1,0.5
189708,66.6,-2.0
189808,70.3,1.7
189908,67.4,-1.2
190008,70.8,2.2
190108,69.2,0.6
190208,66.1,-2.5
190308,62.6,-6.0
190408,66.5,-2.1
190508,66.0,-2.6
190608,70.5,1.9
190708,66.7,-1.9
190808,67.2,-1.4
190908,66.4,-2.2
191008,66.4,-2.2
191108,67.8,-0.8
191208,65.7,-2.9
191308,68.3,-0.3
191408,68.7,0.1
191508,66.1,-2.5
191608,69.6,1.0
191708,70.5,1.9
191808,69.8,1.2
191908,65.5,-3.1
192008,69.5,0.9
192108,66.2,-2.4
192208,67.3,-1.3
192308,66.5,-2.1
192408,68.2,-0.4
192508,68.0,-0.6
192608,68.8,0.2
192708,64.2,-4.4
192808,70.9,2.3
192908,66.4,-2.2
193008,67.7,-0.9
193108,69.5,0.9
193208,69.4,0.8
193308,68.7,0.1
193408,66.1,-2.5
193508,69.0,0.4
193608,69.6,1.0
193708,72.2,3.6
193808,71.3,2.7
193908,72.2,3.6
194008,65.9,-2.7
194108,67.6,-1.0
194208,67.8,-0.8
194308,69.0,0.4
194408,71.4,2.8
194508,67.7,-0.9
194608,65.4,-3.2
194708,70.9,2.3
194808,70.0,1.4
194908,71.0,2.4
195008,67.8,-0.8
195108,68.2,-0.4
195208,69.2,0.6
195308,68.4,-0.2
195408,66.2,-2.4
195508,72.2,3.6
195608,68.2,-0.4
195708,66.0,-2.6
195808,68.5,-0.1
195908,71.6,3.0
196008,68.9,0.3
196108,69.0,0.4
196208,67.1,-1.5
196308,66.5,-2.1
196408,64.9,-3.7
196508,68.5,-0.1
196608,69.4,0.8
196708,68.6,0.0
196808,68.7,0.1
196908,70.8,2.2
197008,70.5,1.9
197108,69.0,0.4
197208,68.0,-0.6
197308,72.0,3.4
197408,69.5,0.9
197508,69.2,0.6
197608,68.2,-0.4
197708,69.5,0.9
197808,70.0,1.4
197908,69.1,0.5
198008,71.6,3.0
198108,68.8,0.2
198208,66.6,-2.0
198308,70.6,2.0
198408,71.2,2.6
198508,68.6,0.0
198608,67.0,-1.6
198708,67.3,-1.3
198808,72.4,3.8
198908,69.2,0.6
199008,70.5,1.9
199108,70.7,2.1
199208,67.1,-1.5
199308,71.2,2.6
199408,68.4,-0.2
199508,70.3,1.7
199608,69.8,1.2
199708,68.4,-0.2
199808,71.6,3.0
199908,69.8,1.2
200008,67.9,-0.7
200108,72.8,4.2
200208,71.9,3.3
200308,72.2,3.6
200408,69.6,1.0
200508,73.0,4.4
200608,69.8,1.2
200708,70.3,1.7
200808,67.8,-0.8
200908,71.7,3.1
201008,71.0,2.4
201108,70.8,2.2
201208,72.0,3.4
201308,68.7,0.1
201408,68.4,-0.2
201508,72.0,3.4
201608,73.9,5.3
201708,69.1,0.5
201808,74.3,5.7
201908,70.7,2.1
