Delaware, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,75.6,1.9
189608,74.5,0.8
189708,72.8,-0.9
189808,76.2,2.5
189908,73.3,-0.4
190008,78.3,4.6
190108,75.7,2.0
190208,71.8,-1.9
190308,71.8,-1.9
190408,72.3,-1.4
190508,72.4,-1.3
190608,75.9,2.2
190708,71.8,-1.9
190808,71.3,-2.4
190908,71.2,-2.5
191008,71.8,-1.9
191108,74.2,0.5
191208,72.0,-1.7
191308,72.7,-1.0
191408,75.4,1.7
191508,72.7,-1.0
191608,74.3,0.6
191708,73.8,0.1
191808,75.8,2.1
191908,71.9,-1.8
192008,73.5,-0.2
192108,71.4,-2.3
192208,71.8,-1.9
192308,72.3,-1.4
192408,73.1,-0.6
192508,71.2,-2.5
192608,74.9,1.2
192708,68.6,-5.1
192808,75.9,2.2
192908,71.6,-2.1
193008,73.2,-0.5
193108,74.2,0.5
193208,74.6,0.9
193308,74.4,0.7
193408,71.8,-1.9
193508,73.5,-0.2
193608,75.6,1.9
193708,75.6,1.9
193808,76.0,2.3
193908,76.0,2.3
194008,71.7,-2.0
194108,72.7,-1.0
194208,72.7,-1.0
194308,75.3,1.6
194408,74.0,0.3
194508,72.2,-1.5
194608,70.2,-3.5
194708,75.8,2.1
194808,73.7,0.0
194908,75.2,1.5
195008,72.3,-1.4
195108,73.5,-0.2
195208,74.0,0.3
195308,73.6,-0.1
195408,73.3,-0.4
195508,77.0,3.3
195608,73.3,-0.4
195708,72.6,-1.1
195808,73.2,-0.5
195908,76.3,2.6
196008,75.3,1.6
196108,74.0,0.3
196208,72.8,-0.9
196308,72.2,-1.5
196408,71.7,-2.0
196508,73.1,-0.6
196608,74.7,1.0
196708,72.4,-1.3
196808,76.0,2.3
196908,73.4,-0.3
197008,74.9,1.2
197108,72.6,-1.1
197208,72.9,-0.8
197308,75.6,1.9
197408,74.2,0.5
197508,75.8,2.1
197608,72.6,-1.1
197708,76.0,2.3
197808,76.6,2.9
197908,74.1,0.4
198008,77.0,3.3
198108,71.8,-1.9
198208,71.4,-2.3
198308,75.8,2.1
198408,74.7,1.0
198508,73.7,0.0
198608,72.5,-1.2
198708,74.8,1.1
198808,77.4,3.7
198908,74.0,0.3
199008,74.2,0.5
199108,75.7,2.0
199208,71.4,-2.3
199308,75.5,1.8
199408,72.2,-1.5
199508,76.4,2.7
199608,73.2,-0.5
199708,73.6,-0.1
199808,75.2,1.5
199908,76.2,2.5
200008,73.1,-0.6
200108,76.7,3.0
200208,78.0,4.3
200308,76.5,2.8
200408,74.0,0.3
200508,77.9,4.2
200608,77.1,3.4
200708,76.6,2.9
200808,73.4,-0.3
200908,77.2,3.5
201008,77.0,3.3
201108,75.5,1.8
201208,76.8,3.1
201308,73.4,-0.3
201408,72.6,-1.1
201508,75.1,1.4
201608,78.6,4.9
201708,74.0,0.3
201808,78.5,4.8
201908,76.8,3.1
