Florida, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,57.6,-0.2
189601,54.1,-3.7
189701,53.8,-4.0
189801,59.6,1.8
189901,58.7,0.9
190001,54.9,-2.9
190101,56.4,-1.4
190201,54.0,-3.8
190301,56.5,-1.3
190401,54.4,-3.4
190501,51.9,-5.9
190601,57.5,-0.3
190701,62.5,4.7
190801,56.1,-1.7
190901,61.4,3.6
191001,55.1,-2.7
191101,60.1,2.3
191201,55.9,-1.9
191301,64.1,6.3
191401,56.1,-1.7
191501,55.8,-2.0
191601,63.4,5.6
191701,61.9,4.1
191801,51.3,-6.5
191901,55.9,-1.9
192001,59.1,1.3
192101,59.3,1.5
192201,57.0,-0.8
192301,59.9,2.1
192401,57.5,-0.3
192501,61.6,3.8
192601,55.6,-2.2
192701,57.1,-0.7
192801,54.3,-3.5
192901,60.5,2.7
193001,60.0,2.2
193101,54.1,-3.7
193201,63.6,5.8
193301,60.7,2.9
193401,59.0,1.2
193501,57.9,0.1
193601,57.7,-0.1
193701,68.0,10.2
193801,57.2,-0.6
193901,59.3,1.5
194001,48.2,-9.6
194101,56.3,-1.5
194201,55.1,-2.7
194301,59.4,1.6
194401,55.8,-2.0
194501,56.4,-1.4
194601,59.3,1.5
194701,64.9,7.1
194801,55.0,-2.8
194901,63.4,5.6
195001,66.6,8.8
195101,57.4,-0.4
195201,61.1,3.3
195301,58.5,0.7
195401,59.6,1.8
195501,56.2,-1.6
195601,53.0,-4.8
195701,62.0,4.2
195801,51.1,-6.7
195901,56.0,-1.8
196001,57.1,-0.7
196101,53.8,-4.0
196201,57.3,-0.5
196301,56.0,-1.8
196401,55.9,-1.9
196501,57.6,-0.2
196601,54.7,-3.1
196701,59.8,2.0
196801,56.8,-1.0
196901,56.9,-0.9
197001,52.1,-5.7
197101,57.5,-0.3
197201,64.1,6.3
197301,58.5,0.7
197401,68.3,10.5
197501,62.2,4.4
197601,53.9,-3.9
197701,49.3,-8.5
197801,52.0,-5.8
197901,54.3,-3.5
198001,58.1,0.3
198101,49.1,-8.7
198201,57.2,-0.6
198301,55.0,-2.8
198401,55.4,-2.4
198501,52.5,-5.3
198601,56.4,-1.4
198701,56.2,-1.6
198801,54.8,-3.0
198901,63.9,6.1
199001,62.6,4.8
199101,62.0,4.2
199201,56.4,-1.4
199301,63.5,5.7
199401,56.8,-1.0
199501,56.6,-1.2
199601,56.6,-1.2
199701,59.4,1.6
199801,60.5,2.7
199901,60.7,2.9
200001,58.4,0.6
200101,53.0,-4.8
200201,59.3,1.5
200301,52.2,-5.6
200401,56.8,-1.0
200501,60.0,2.2
200601,60.8,3.0
200701,61.3,3.5
200801,58.3,0.5
200901,57.2,-0.6
201001,52.5,-5.3
201101,54.9,-2.9
201201,59.3,1.5
201301,64.0,6.2
201401,54.5,-3.3
201501,58.6,0.8
201601,56.9,-0.9
201701,62.8,5.0
201801,55.0,-2.8
201901,58.5,0.7
