Illinois, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,74.1,0.7
189608,73.9,0.5
189708,71.6,-1.8
189808,73.1,-0.3
189908,75.5,2.1
190008,78.8,5.4
190108,74.1,0.7
190208,70.7,-2.7
190308,71.6,-1.8
190408,69.8,-3.6
190508,74.1,0.7
190608,75.4,2.0
190708,72.0,-1.4
190808,73.1,-0.3
190908,76.3,2.9
191008,72.2,-1.2
191108,72.5,-0.9
191208,71.7,-1.7
191308,77.4,4.0
191408,75.1,1.7
191508,66.9,-6.5
191608,76.1,2.7
191708,71.1,-2.3
191808,77.8,4.4
191908,72.6,-0.8
192008,71.5,-1.9
192108,73.0,-0.4
192208,74.0,0.6
192308,73.0,-0.4
192408,73.2,-0.2
192508,73.6,0.2
192608,74.7,1.3
192708,68.0,-5.4
192808,74.3,0.9
192908,71.4,-2.0
193008,75.4,2.0
193108,73.4,0.0
193208,73.8,0.4
193308,72.6,-0.8
193408,74.4,1.0
193508,74.7,1.3
193608,79.9,6.5
193708,77.0,3.6
193808,76.6,3.2
193908,72.4,-1.0
194008,74.0,0.6
194108,75.3,1.9
194208,72.3,-1.1
194308,75.9,2.5
194408,74.4,1.0
194508,73.1,-0.3
194608,69.6,-3.8
194708,80.8,7.4
194808,73.7,0.3
194908,73.6,0.2
195008,69.2,-4.2
195108,71.9,-1.5
195208,72.6,-0.8
195308,74.4,1.0
195408,74.4,1.0
195508,76.6,3.2
195608,74.0,0.6
195708,73.9,0.5
195808,73.6,0.2
195908,77.0,3.6
196008,74.5,1.1
196108,72.8,-0.6
196208,73.1,-0.3
196308,71.2,-2.2
196408,72.3,-1.1
196508,71.7,-1.7
196608,70.8,-2.6
196708,68.2,-5.2
196808,74.0,0.6
196908,73.0,-0.4
197008,73.3,-0.1
197108,71.6,-1.8
197208,72.9,-0.5
197308,74.2,0.8
197408,71.6,-1.8
197508,74.6,1.2
197608,70.5,-2.9
197708,71.8,-1.6
197808,73.0,-0.4
197908,72.6,-0.8
198008,77.2,3.8
198108,72.0,-1.4
198208,71.0,-2.4
198308,78.9,5.5
198408,74.7,1.3
198508,70.5,-2.9
198608,69.6,-3.8
198708,74.3,0.9
198808,78.0,4.6
198908,72.8,-0.6
199008,72.4,-1.0
199108,74.7,1.3
199208,68.4,-5.0
199308,74.9,1.5
199408,70.6,-2.8
199508,78.8,5.4
199608,73.5,0.1
199708,71.0,-2.4
199808,74.8,1.4
199908,71.7,-1.7
200008,74.6,1.2
200108,74.6,1.2
200208,75.0,1.6
200308,75.3,1.9
200408,68.6,-4.8
200508,75.6,2.2
200608,74.7,1.3
200708,78.2,4.8
200808,71.8,-1.6
200908,70.9,-2.5
201008,76.8,3.4
201108,74.8,1.4
201208,73.6,0.2
201308,72.8,-0.6
201408,73.8,0.4
201508,71.9,-1.5
201608,75.7,2.3
201708,70.5,-2.9
201808,74.7,1.3
201908,72.9,-0.5
