Louisiana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,47.6,-1.7
189601,47.6,-1.7
189701,46.2,-3.1
189801,53.6,4.3
189901,48.4,-0.9
190001,48.7,-0.6
190101,51.8,2.5
190201,46.6,-2.7
190301,47.2,-2.1
190401,46.0,-3.3
190501,44.1,-5.2
190601,49.5,0.2
190701,59.0,9.7
190801,49.4,0.1
190901,53.8,4.5
191001,50.5,1.2
191101,57.1,7.8
191201,44.8,-4.5
191301,54.3,5.0
191401,52.6,3.3
191501,46.6,-2.7
191601,55.4,6.1
191701,52.9,3.6
191801,41.3,-8.0
191901,46.9,-2.4
192001,50.6,1.3
192101,55.2,5.9
192201,48.8,-0.5
192301,56.0,6.7
192401,44.8,-4.5
192501,49.0,-0.3
192601,47.5,-1.8
192701,54.3,5.0
192801,49.2,-0.1
192901,51.5,2.2
193001,47.1,-2.2
193101,48.0,-1.3
193201,54.8,5.5
193301,55.4,6.1
193401,52.1,2.8
193501,52.3,3.0
193601,47.3,-2.0
193701,56.8,7.5
193801,50.7,1.4
193901,53.0,3.7
194001,37.0,-12.3
194101,51.4,2.1
194201,45.8,-3.5
194301,50.0,0.7
194401,48.8,-0.5
194501,48.7,-0.6
194601,49.0,-0.3
194701,50.2,0.9
194801,41.4,-7.9
194901,53.3,4.0
195001,61.1,11.8
195101,50.7,1.4
195201,58.3,9.0
195301,53.2,3.9
195401,52.0,2.7
195501,49.4,0.1
195601,48.1,-1.2
195701,53.0,3.7
195801,45.3,-4.0
195901,46.4,-2.9
196001,47.6,-1.7
196101,43.6,-5.7
196201,45.3,-4.0
196301,43.2,-6.1
196401,46.8,-2.5
196501,52.1,2.8
196601,44.1,-5.2
196701,48.6,-0.7
196801,47.0,-2.3
196901,50.4,1.1
197001,43.6,-5.7
197101,50.9,1.6
197201,53.2,3.9
197301,45.8,-3.5
197401,54.6,5.3
197501,53.5,4.2
197601,46.9,-2.4
197701,39.3,-10.0
197801,39.8,-9.5
197901,41.2,-8.1
198001,51.1,1.8
198101,44.9,-4.4
198201,49.3,0.0
198301,46.7,-2.6
198401,43.5,-5.8
198501,42.6,-6.7
198601,49.3,0.0
198701,46.6,-2.7
198801,44.5,-4.8
198901,54.9,5.6
199001,53.8,4.5
199101,47.7,-1.6
199201,48.2,-1.1
199301,50.8,1.5
199401,47.0,-2.3
199501,50.4,1.1
199601,49.0,-0.3
199701,49.2,-0.1
199801,53.3,4.0
199901,54.1,4.8
200001,52.6,3.3
200101,45.6,-3.7
200201,51.4,2.1
200301,45.6,-3.7
200401,50.2,0.9
200501,53.9,4.6
200601,55.4,6.1
200701,49.6,0.3
200801,48.4,-0.9
200901,50.5,1.2
201001,45.6,-3.7
201101,46.9,-2.4
201201,55.2,5.9
201301,52.5,3.2
201401,43.4,-5.9
201501,47.2,-2.1
201601,48.8,-0.5
201701,56.8,7.5
201801,44.2,-5.1
201901,49.9,0.6
