Maine, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,61.6,-1.4
189608,61.7,-1.3
189708,61.2,-1.8
189808,64.1,1.1
189908,62.4,-0.6
190008,63.7,0.7
190108,63.3,0.3
190208,60.0,-3.0
190308,57.3,-5.7
190408,60.2,-2.8
190508,60.2,-2.8
190608,64.2,1.2
190708,60.9,-2.1
190808,61.0,-2.0
190908,61.7,-1.3
191008,61.4,-1.6
191108,62.6,-0.4
191208,58.4,-4.6
191308,61.8,-1.2
191408,61.4,-1.6
191508,61.8,-1.2
191608,64.5,1.5
191708,65.0,2.0
191808,62.3,-0.7
191908,60.8,-2.2
192008,65.8,2.8
192108,61.1,-1.9
192208,63.0,0.0
192308,59.2,-3.8
192408,62.6,-0.4
192508,63.1,0.1
192608,61.6,-1.4
192708,60.1,-2.9
192808,64.7,1.7
192908,60.6,-2.4
193008,61.7,-1.3
193108,62.8,-0.2
193208,65.2,2.2
193308,63.1,0.1
193408,60.0,-3.0
193508,65.1,2.1
193608,61.1,-1.9
193708,68.8,5.8
193808,66.1,3.1
193908,67.0,4.0
194008,62.8,-0.2
194108,60.7,-2.3
194208,63.4,0.4
194308,62.1,-0.9
194408,67.3,4.3
194508,64.2,1.2
194608,62.0,-1.0
194708,66.1,3.1
194808,65.3,2.3
194908,65.2,2.2
195008,62.2,-0.8
195108,62.7,-0.3
195208,64.6,1.6
195308,62.7,-0.3
195408,60.9,-2.1
195508,65.7,2.7
195608,60.6,-2.4
195708,60.0,-3.0
195808,62.6,-0.4
195908,64.9,1.9
196008,63.8,0.8
196108,63.9,0.9
196208,62.4,-0.6
196308,60.0,-3.0
196408,58.6,-4.4
196508,63.0,0.0
196608,63.2,0.2
196708,64.6,1.6
196808,60.3,-2.7
196908,65.1,2.1
197008,65.0,2.0
197108,63.5,0.5
197208,61.7,-1.3
197308,67.2,4.2
197408,64.2,1.2
197508,64.2,1.2
197608,63.5,0.5
197708,63.0,0.0
197808,64.1,1.1
197908,61.8,-1.2
198008,65.5,2.5
198108,63.2,0.2
198208,60.2,-2.8
198308,64.8,1.8
198408,66.6,3.6
198508,62.4,-0.6
198608,61.8,-1.2
198708,61.9,-1.1
198808,65.7,2.7
198908,63.2,0.2
199008,66.2,3.2
199108,65.7,2.7
199208,63.3,0.3
199308,65.7,2.7
199408,62.7,-0.3
199508,64.9,1.9
199608,64.2,1.2
199708,62.8,-0.2
199808,64.8,1.8
199908,63.9,0.9
200008,63.1,0.1
200108,67.0,4.0
200208,66.7,3.7
200308,66.0,3.0
200408,64.6,1.6
200508,65.5,2.5
200608,61.7,-1.3
200708,63.5,0.5
200808,63.1,0.1
200908,66.1,3.1
201008,65.2,2.2
201108,64.8,1.8
201208,67.4,4.4
201308,63.7,0.7
201408,64.4,1.4
201508,67.2,4.2
201608,66.6,3.6
201708,63.3,0.3
201808,68.1,5.1
201908,64.5,1.5
