Massachusetts, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,22.4,-1.7
189601,20.5,-3.6
189701,24.4,0.3
189801,23.6,-0.5
189901,23.9,-0.2
190001,24.9,0.8
190101,23.1,-1.0
190201,22.2,-1.9
190301,24.1,0.0
190401,15.7,-8.4
190501,20.1,-4.0
190601,29.9,5.8
190701,22.4,-1.7
190801,25.9,1.8
190901,25.7,1.6
191001,25.8,1.7
191101,26.7,2.6
191201,15.6,-8.5
191301,33.6,9.5
191401,23.1,-1.0
191501,26.9,2.8
191601,27.6,3.5
191701,24.1,0.0
191801,14.7,-9.4
191901,27.6,3.5
192001,16.1,-8.0
192101,26.0,1.9
192201,20.6,-3.5
192301,20.2,-3.9
192401,25.9,1.8
192501,20.7,-3.4
192601,25.0,0.9
192701,24.0,-0.1
192801,27.1,3.0
192901,23.1,-1.0
193001,25.8,1.7
193101,23.8,-0.3
193201,33.8,9.7
193301,32.4,8.3
193401,25.4,1.3
193501,19.5,-4.6
193601,22.7,-1.4
193701,32.2,8.1
193801,22.5,-1.6
193901,23.9,-0.2
194001,17.5,-6.6
194101,21.2,-2.9
194201,23.1,-1.0
194301,21.2,-2.9
194401,25.8,1.7
194501,18.8,-5.3
194601,24.1,0.0
194701,27.7,3.6
194801,17.9,-6.2
194901,30.9,6.8
195001,32.1,8.0
195101,28.6,4.5
195201,28.2,4.1
195301,30.0,5.9
195401,22.0,-2.1
195501,23.9,-0.2
195601,26.3,2.2
195701,18.2,-5.9
195801,25.9,1.8
195901,23.6,-0.5
196001,25.2,1.1
196101,18.1,-6.0
196201,24.0,-0.1
196301,23.0,-1.1
196401,26.0,1.9
196501,21.3,-2.8
196601,23.9,-0.2
196701,29.4,5.3
196801,19.5,-4.6
196901,23.8,-0.3
197001,15.9,-8.2
197101,18.2,-5.9
197201,26.4,2.3
197301,27.3,3.2
197401,26.7,2.6
197501,28.5,4.4
197601,19.6,-4.5
197701,16.2,-7.9
197801,22.8,-1.3
197901,26.0,1.9
198001,26.1,2.0
198101,16.0,-8.1
198201,16.5,-7.6
198301,26.1,2.0
198401,21.6,-2.5
198501,19.8,-4.3
198601,26.4,2.3
198701,23.6,-0.5
198801,21.7,-2.4
198901,29.0,4.9
199001,32.6,8.5
199101,24.9,0.8
199201,26.4,2.3
199301,27.7,3.6
199401,17.1,-7.0
199501,31.6,7.5
199601,24.6,0.5
199701,25.4,1.3
199801,31.1,7.0
199901,26.0,1.9
200001,23.5,-0.6
200101,24.6,0.5
200201,32.4,8.3
200301,19.0,-5.1
200401,17.3,-6.8
200501,23.0,-1.1
200601,32.9,8.8
200701,29.9,5.8
200801,28.2,4.1
200901,19.8,-4.3
201001,25.9,1.8
201101,22.4,-1.7
201201,30.4,6.3
201301,27.5,3.4
201401,23.0,-1.1
201501,21.8,-2.3
201601,28.5,4.4
201701,31.5,7.4
201801,24.5,0.4
201901,25.9,1.8
