Michigan, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,65.7,-0.2
189608,65.6,-0.3
189708,62.5,-3.4
189808,65.2,-0.7
189908,67.2,1.3
190008,70.7,4.8
190108,66.0,0.1
190208,62.4,-3.5
190308,61.4,-4.5
190408,61.8,-4.1
190508,65.9,0.0
190608,68.4,2.5
190708,63.1,-2.8
190808,64.8,-1.1
190908,67.4,1.5
191008,65.0,-0.9
191108,64.8,-1.1
191208,61.6,-4.3
191308,67.0,1.1
191408,65.4,-0.5
191508,60.8,-5.1
191608,68.4,2.5
191708,63.2,-2.7
191808,68.0,2.1
191908,65.0,-0.9
192008,64.4,-1.5
192108,65.8,-0.1
192208,66.0,0.1
192308,62.9,-3.0
192408,63.6,-2.3
192508,66.6,0.7
192608,65.9,0.0
192708,60.7,-5.2
192808,66.3,0.4
192908,63.5,-2.4
193008,67.2,1.3
193108,66.6,0.7
193208,67.4,1.5
193308,65.2,-0.7
193408,63.7,-2.2
193508,67.0,1.1
193608,67.5,1.6
193708,70.1,4.2
193808,69.6,3.7
193908,67.2,1.3
194008,65.7,-0.2
194108,65.5,-0.4
194208,65.9,0.0
194308,66.7,0.8
194408,68.4,2.5
194508,66.0,0.1
194608,63.6,-2.3
194708,72.8,6.9
194808,67.3,1.4
194908,67.8,1.9
195008,62.4,-3.5
195108,63.1,-2.8
195208,65.6,-0.3
195308,67.8,1.9
195408,64.7,-1.2
195508,71.4,5.5
195608,65.4,-0.5
195708,65.0,-0.9
195808,65.7,-0.2
195908,71.0,5.1
196008,66.7,0.8
196108,66.4,0.5
196208,65.7,-0.2
196308,63.4,-2.5
196408,63.1,-2.8
196508,64.0,-1.9
196608,64.9,-1.0
196708,62.8,-3.1
196808,66.4,0.5
196908,68.8,2.9
197008,67.0,1.1
197108,64.4,-1.5
197208,65.1,-0.8
197308,68.9,3.0
197408,65.8,-0.1
197508,66.9,1.0
197608,65.3,-0.6
197708,63.2,-2.7
197808,66.7,0.8
197908,63.9,-2.0
198008,68.3,2.4
198108,66.5,0.6
198208,63.3,-2.6
198308,69.9,4.0
198408,68.8,2.9
198508,64.7,-1.2
198608,63.3,-2.6
198708,66.6,0.7
198808,69.8,3.9
198908,66.0,0.1
199008,65.9,0.0
199108,68.1,2.2
199208,62.3,-3.6
199308,68.3,2.4
199408,63.7,-2.2
199508,71.4,5.5
199608,67.4,1.5
199708,63.1,-2.8
199808,69.0,3.1
199908,65.3,-0.6
200008,66.1,0.2
200108,69.6,3.7
200208,68.0,2.1
200308,68.8,2.9
200408,63.2,-2.7
200508,68.9,3.0
200608,67.7,1.8
200708,68.8,2.9
200808,66.5,0.6
200908,65.4,-0.5
201008,70.7,4.8
201108,68.3,2.4
201208,67.5,1.6
201308,66.6,0.7
201408,66.0,0.1
201508,66.9,1.0
201608,70.8,4.9
201708,65.2,-0.7
201808,69.8,3.9
201908,66.3,0.4
