Minnesota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,65.0,-1.3
189608,65.3,-1.0
189708,62.9,-3.4
189808,64.5,-1.8
189908,66.6,0.3
190008,71.6,5.3
190108,67.4,1.1
190208,63.4,-2.9
190308,61.6,-4.7
190408,62.9,-3.4
190508,67.1,0.8
190608,66.5,0.2
190708,64.3,-2.0
190808,63.7,-2.6
190908,69.2,2.9
191008,64.2,-2.1
191108,62.8,-3.5
191208,62.2,-4.1
191308,67.7,1.4
191408,64.4,-1.9
191508,62.7,-3.6
191608,66.6,0.3
191708,63.2,-3.1
191808,66.8,0.5
191908,65.5,-0.8
192008,65.6,-0.7
192108,66.1,-0.2
192208,68.6,2.3
192308,63.0,-3.3
192408,63.9,-2.4
192508,68.0,1.7
192608,65.4,-0.9
192708,62.2,-4.1
192808,65.5,-0.8
192908,66.4,0.1
193008,69.3,3.0
193108,66.1,-0.2
193208,67.6,1.3
193308,65.9,-0.4
193408,64.7,-1.6
193508,67.1,0.8
193608,69.1,2.8
193708,71.9,5.6
193808,70.0,3.7
193908,67.3,1.0
194008,64.9,-1.4
194108,67.0,0.7
194208,66.0,-0.3
194308,67.2,0.9
194408,66.3,0.0
194508,66.4,0.1
194608,64.2,-2.1
194708,72.1,5.8
194808,67.7,1.4
194908,69.5,3.2
195008,62.5,-3.8
195108,63.2,-3.1
195208,65.1,-1.2
195308,68.7,2.4
195408,65.2,-1.1
195508,70.8,4.5
195608,65.7,-0.6
195708,66.0,-0.3
195808,66.5,0.2
195908,69.9,3.6
196008,68.6,2.3
196108,69.4,3.1
196208,66.6,0.3
196308,66.2,-0.1
196408,63.5,-2.8
196508,65.0,-1.3
196608,64.4,-1.9
196708,64.3,-2.0
196808,65.7,-0.6
196908,69.8,3.5
197008,67.5,1.2
197108,65.7,-0.6
197208,66.6,0.3
197308,69.3,3.0
197408,63.6,-2.7
197508,66.4,0.1
197608,68.9,2.6
197708,61.6,-4.7
197808,67.1,0.8
197908,64.1,-2.2
198008,66.1,-0.2
198108,66.9,0.6
198208,65.5,-0.8
198308,72.1,5.8
198408,70.0,3.7
198508,62.6,-3.7
198608,63.2,-3.1
198708,65.3,-1.0
198808,69.3,3.0
198908,67.5,1.2
199008,67.4,1.1
199108,68.8,2.5
199208,62.3,-4.0
199308,66.6,0.3
199408,63.9,-2.4
199508,69.5,3.2
199608,67.4,1.1
199708,64.9,-1.4
199808,68.9,2.6
199908,66.3,0.0
200008,67.6,1.3
200108,69.3,3.0
200208,66.5,0.2
200308,70.2,3.9
200408,60.9,-5.4
200508,66.4,0.1
200608,67.7,1.4
200708,66.5,0.2
200808,66.8,0.5
200908,64.2,-2.1
201008,70.2,3.9
201108,68.2,1.9
201208,66.7,0.4
201308,67.8,1.5
201408,67.1,0.8
201508,65.9,-0.4
201608,68.1,1.8
201708,64.0,-2.3
201808,67.4,1.1
201908,65.4,-0.9
