Mississippi, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,42.5,-2.6
189601,43.8,-1.3
189701,41.6,-3.5
189801,49.8,4.7
189901,44.4,-0.7
190001,44.5,-0.6
190101,47.0,1.9
190201,43.0,-2.1
190301,44.2,-0.9
190401,42.0,-3.1
190501,39.2,-5.9
190601,46.2,1.1
190701,54.7,9.6
190801,44.9,-0.2
190901,49.2,4.1
191001,46.1,1.0
191101,51.8,6.7
191201,39.9,-5.2
191301,51.3,6.2
191401,48.3,3.2
191501,42.8,-2.3
191601,51.2,6.1
191701,49.0,3.9
191801,35.8,-9.3
191901,43.7,-1.4
192001,46.1,1.0
192101,50.2,5.1
192201,45.5,0.4
192301,51.9,6.8
192401,40.5,-4.6
192501,46.0,0.9
192601,43.7,-1.4
192701,49.1,4.0
192801,45.3,0.2
192901,47.4,2.3
193001,43.6,-1.5
193101,44.2,-0.9
193201,51.3,6.2
193301,52.0,6.9
193401,49.2,4.1
193501,47.4,2.3
193601,42.6,-2.5
193701,54.2,9.1
193801,46.6,1.5
193901,49.2,4.1
194001,31.7,-13.4
194101,47.2,2.1
194201,41.9,-3.2
194301,46.8,1.7
194401,45.3,0.2
194501,44.7,-0.4
194601,45.8,0.7
194701,47.6,2.5
194801,37.6,-7.5
194901,52.0,6.9
195001,57.9,12.8
195101,47.0,1.9
195201,53.3,8.2
195301,49.7,4.6
195401,47.2,2.1
195501,44.4,-0.7
195601,42.8,-2.3
195701,47.4,2.3
195801,40.4,-4.7
195901,42.5,-2.6
196001,43.9,-1.2
196101,39.4,-5.7
196201,41.2,-3.9
196301,38.6,-6.5
196401,42.8,-2.3
196501,47.2,2.1
196601,39.7,-5.4
196701,45.2,0.1
196801,42.3,-2.8
196901,44.8,-0.3
197001,38.9,-6.2
197101,45.4,0.3
197201,48.6,3.5
197301,42.6,-2.5
197401,51.5,6.4
197501,49.1,4.0
197601,41.8,-3.3
197701,33.5,-11.6
197801,35.4,-9.7
197901,36.8,-8.3
198001,46.7,1.6
198101,40.5,-4.6
198201,43.9,-1.2
198301,42.7,-2.4
198401,38.9,-6.2
198501,36.9,-8.2
198601,44.2,-0.9
198701,42.9,-2.2
198801,40.1,-5.0
198901,50.7,5.6
199001,50.0,4.9
199101,44.6,-0.5
199201,44.3,-0.8
199301,47.7,2.6
199401,41.2,-3.9
199501,46.2,1.1
199601,44.4,-0.7
199701,45.0,-0.1
199801,48.7,3.6
199901,49.8,4.7
200001,47.3,2.2
200101,40.9,-4.2
200201,47.5,2.4
200301,40.5,-4.6
200401,45.3,0.2
200501,50.1,5.0
200601,51.5,6.4
200701,46.2,1.1
200801,43.5,-1.6
200901,45.1,0.0
201001,40.6,-4.5
201101,42.2,-2.9
201201,50.8,5.7
201301,49.1,4.0
201401,38.5,-6.6
201501,43.8,-1.3
201601,43.7,-1.4
201701,52.9,7.8
201801,40.0,-5.1
201901,46.2,1.1
