Missouri, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,75.4,-0.6
189608,76.7,0.7
189708,74.1,-1.9
189808,75.7,-0.3
189908,78.7,2.7
190008,79.9,3.9
190108,78.1,2.1
190208,74.9,-1.1
190308,74.2,-1.8
190408,73.2,-2.8
190508,75.8,-0.2
190608,75.6,-0.4
190708,76.5,0.5
190808,75.3,-0.7
190908,79.0,3.0
191008,74.6,-1.4
191108,75.2,-0.8
191208,75.6,-0.4
191308,82.1,6.1
191408,77.3,1.3
191508,69.3,-6.7
191608,78.8,2.8
191708,72.8,-3.2
191808,81.2,5.2
191908,75.3,-0.7
192008,72.5,-3.5
192108,76.4,0.4
192208,76.6,0.6
192308,76.9,0.9
192408,76.6,0.6
192508,75.9,-0.1
192608,76.9,0.9
192708,70.5,-5.5
192808,76.1,0.1
192908,75.4,-0.6
193008,77.9,1.9
193108,74.2,-1.8
193208,76.8,0.8
193308,74.8,-1.2
193408,80.1,4.1
193508,77.2,1.2
193608,83.9,7.9
193708,79.7,3.7
193808,80.4,4.4
193908,74.7,-1.3
194008,74.7,-1.3
194108,78.5,2.5
194208,74.4,-1.6
194308,79.0,3.0
194408,75.1,-0.9
194508,76.1,0.1
194608,73.3,-2.7
194708,82.5,6.5
194808,75.4,-0.6
194908,74.2,-1.8
195008,70.4,-5.6
195108,75.4,-0.6
195208,75.0,-1.0
195308,76.9,0.9
195408,79.4,3.4
195508,77.4,1.4
195608,77.9,1.9
195708,76.3,0.3
195808,75.7,-0.3
195908,78.2,2.2
196008,76.7,0.7
196108,73.9,-2.1
196208,76.5,0.5
196308,75.7,-0.3
196408,74.3,-1.7
196508,74.3,-1.7
196608,72.2,-3.8
196708,71.0,-5.0
196808,75.4,-0.6
196908,75.1,-0.9
197008,76.7,0.7
197108,73.9,-2.1
197208,75.3,-0.7
197308,76.3,0.3
197408,73.4,-2.6
197508,77.1,1.1
197608,74.2,-1.8
197708,75.7,-0.3
197808,75.5,-0.5
197908,74.8,-1.2
198008,80.9,4.9
198108,73.7,-2.3
198208,74.2,-1.8
198308,81.9,5.9
198408,76.9,0.9
198508,73.2,-2.8
198608,72.1,-3.9
198708,77.1,1.1
198808,78.6,2.6
198908,74.6,-1.4
199008,75.0,-1.0
199108,76.3,0.3
199208,69.9,-6.1
199308,77.4,1.4
199408,73.7,-2.3
199508,79.9,3.9
199608,74.8,-1.2
199708,73.8,-2.2
199808,76.8,0.8
199908,75.6,-0.4
200008,79.5,3.5
200108,77.2,1.2
200208,76.9,0.9
200308,78.8,2.8
200408,70.7,-5.3
200508,77.8,1.8
200608,78.4,2.4
200708,81.3,5.3
200808,73.9,-2.1
200908,72.6,-3.4
201008,79.0,3.0
201108,77.8,1.8
201208,76.2,0.2
201308,74.6,-1.4
201408,76.6,0.6
201508,73.4,-2.6
201608,76.7,0.7
201708,72.1,-3.9
201808,76.4,0.4
201908,75.3,-0.7
