Missouri, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,24.5,-4.9
189601,32.3,2.9
189701,27.7,-1.7
189801,33.9,4.5
189901,29.4,0.0
190001,33.7,4.3
190101,34.0,4.6
190201,29.3,-0.1
190301,30.5,1.1
190401,26.4,-3.0
190501,21.3,-8.1
190601,33.5,4.1
190701,34.3,4.9
190801,32.0,2.6
190901,31.5,2.1
191001,30.6,1.2
191101,34.2,4.8
191201,18.4,-11.0
191301,31.2,1.8
191401,35.9,6.5
191501,27.2,-2.2
191601,30.2,0.8
191701,32.0,2.6
191801,15.1,-14.3
191901,33.0,3.6
192001,27.6,-1.8
192101,36.3,6.9
192201,27.8,-1.6
192301,37.7,8.3
192401,24.1,-5.3
192501,29.0,-0.4
192601,31.4,2.0
192701,30.0,0.6
192801,32.1,2.7
192901,24.4,-5.0
193001,19.8,-9.6
193101,34.6,5.2
193201,35.5,6.1
193301,40.1,10.7
193401,35.1,5.7
193501,32.1,2.7
193601,22.8,-6.6
193701,27.0,-2.4
193801,31.6,2.2
193901,37.3,7.9
194001,13.9,-15.5
194101,33.0,3.6
194201,29.8,0.4
194301,29.6,0.2
194401,33.9,4.5
194501,28.5,-0.9
194601,32.1,2.7
194701,33.3,3.9
194801,24.3,-5.1
194901,29.0,-0.4
195001,34.0,4.6
195101,30.9,1.5
195201,34.5,5.1
195301,33.7,4.3
195401,30.3,0.9
195501,31.2,1.8
195601,28.0,-1.4
195701,25.7,-3.7
195801,30.0,0.6
195901,25.9,-3.5
196001,31.0,1.6
196101,28.5,-0.9
196201,23.8,-5.6
196301,21.1,-8.3
196401,34.2,4.8
196501,31.9,2.5
196601,25.4,-4.0
196701,33.4,4.0
196801,28.3,-1.1
196901,28.1,-1.3
197001,23.5,-5.9
197101,26.8,-2.6
197201,29.1,-0.3
197301,29.9,0.5
197401,28.6,-0.8
197501,33.0,3.6
197601,28.7,-0.7
197701,15.6,-13.8
197801,19.4,-10.0
197901,16.0,-13.4
198001,30.9,1.5
198101,30.6,1.2
198201,22.4,-7.0
198301,31.7,2.3
198401,27.0,-2.4
198501,21.6,-7.8
198601,34.1,4.7
198701,30.4,1.0
198801,27.7,-1.7
198901,38.3,8.9
199001,39.3,9.9
199101,26.5,-2.9
199201,35.4,6.0
199301,29.6,0.2
199401,26.2,-3.2
199501,29.4,0.0
199601,27.7,-1.7
199701,26.4,-3.0
199801,35.3,5.9
199901,30.6,1.2
200001,33.0,3.6
200101,29.4,0.0
200201,35.1,5.7
200301,27.4,-2.0
200401,29.8,0.4
200501,33.3,3.9
200601,41.2,11.8
200701,31.7,2.3
200801,30.8,1.4
200901,27.7,-1.7
201001,25.5,-3.9
201101,26.7,-2.7
201201,36.3,6.9
201301,33.8,4.4
201401,25.8,-3.6
201501,31.2,1.8
201601,30.9,1.5
201701,35.4,6.0
201801,28.0,-1.4
201901,31.0,1.6
