Montana, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,62.2,-1.9
189608,62.2,-1.9
189708,65.3,1.2
189808,66.2,2.1
189908,60.3,-3.8
190008,62.2,-1.9
190108,65.6,1.5
190208,62.2,-1.9
190308,61.8,-2.3
190408,62.9,-1.2
190508,65.8,1.7
190608,62.8,-1.3
190708,60.4,-3.7
190808,61.4,-2.7
190908,65.1,1.0
191008,60.1,-4.0
191108,59.3,-4.8
191208,60.1,-4.0
191308,64.5,0.4
191408,62.4,-1.7
191508,65.5,1.4
191608,62.2,-1.9
191708,63.1,-1.0
191808,62.0,-2.1
191908,66.2,2.1
192008,65.2,1.1
192108,65.2,1.1
192208,66.9,2.8
192308,62.2,-1.9
192408,61.4,-2.7
192508,63.2,-0.9
192608,62.8,-1.3
192708,60.9,-3.2
192808,60.9,-3.2
192908,68.0,3.9
193008,67.5,3.4
193108,65.7,1.6
193208,64.7,0.6
193308,64.1,0.0
193408,65.0,0.9
193508,63.4,-0.7
193608,66.3,2.2
193708,65.2,1.1
193808,63.8,-0.3
193908,64.6,0.5
194008,66.2,2.1
194108,64.8,0.7
194208,63.8,-0.3
194308,64.4,0.3
194408,61.4,-2.7
194508,64.9,0.8
194608,62.9,-1.2
194708,64.6,0.5
194808,64.6,0.5
194908,66.7,2.6
195008,61.5,-2.6
195108,61.4,-2.7
195208,63.8,-0.3
195308,64.8,0.7
195408,62.6,-1.5
195508,66.2,2.1
195608,62.1,-2.0
195708,63.8,-0.3
195808,67.1,3.0
195908,63.3,-0.8
196008,62.6,-1.5
196108,69.1,5.0
196208,62.8,-1.3
196308,65.3,1.2
196408,61.2,-2.9
196508,63.1,-1.0
196608,62.4,-1.7
196708,66.4,2.3
196808,60.8,-3.3
196908,67.0,2.9
197008,66.6,2.5
197108,70.0,5.9
197208,65.6,1.5
197308,66.2,2.1
197408,60.0,-4.1
197508,60.8,-3.3
197608,64.1,0.0
197708,60.4,-3.7
197808,62.0,-2.1
197908,64.6,0.5
198008,59.8,-4.3
198108,66.6,2.5
198208,65.1,1.0
198308,69.7,5.6
198408,67.8,3.7
198508,60.9,-3.2
198608,65.2,1.1
198708,60.0,-4.1
198808,65.2,1.1
198908,63.1,-1.0
199008,66.1,2.0
199108,68.6,4.5
199208,61.4,-2.7
199308,59.7,-4.4
199408,66.6,2.5
199508,64.4,0.3
199608,66.5,2.4
199708,64.8,0.7
199808,68.1,4.0
199908,66.4,2.3
200008,66.8,2.7
200108,68.9,4.8
200208,61.3,-2.8
200308,70.0,5.9
200408,62.4,-1.7
200508,63.9,-0.2
200608,65.5,1.4
200708,65.8,1.7
200808,65.6,1.5
200908,63.4,-0.7
201008,63.8,-0.3
201108,66.8,2.7
201208,66.7,2.6
201308,67.3,3.2
201408,64.8,0.7
201508,65.9,1.8
201608,64.4,0.3
201708,65.5,1.4
201808,64.4,0.3
201908,64.8,0.7
