New Hampshire, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.7,-1.4
189601,14.8,-2.3
189701,17.9,0.8
189801,15.2,-1.9
189901,15.9,-1.2
190001,17.2,0.1
190101,15.8,-1.3
190201,15.4,-1.7
190301,17.2,0.1
190401,9.1,-8.0
190501,12.8,-4.3
190601,23.6,6.5
190701,13.8,-3.3
190801,19.0,1.9
190901,18.6,1.5
191001,19.8,2.7
191101,18.9,1.8
191201,8.4,-8.7
191301,26.4,9.3
191401,14.9,-2.2
191501,20.3,3.2
191601,20.4,3.3
191701,16.3,-0.8
191801,7.2,-9.9
191901,20.9,3.8
192001,8.1,-9.0
192101,19.0,1.9
192201,12.7,-4.4
192301,12.8,-4.3
192401,18.8,1.7
192501,11.6,-5.5
192601,17.6,0.5
192701,17.9,0.8
192801,20.0,2.9
192901,15.9,-1.2
193001,18.9,1.8
193101,16.6,-0.5
193201,27.1,10.0
193301,26.4,9.3
193401,17.6,0.5
193501,11.6,-5.5
193601,15.7,-1.4
193701,25.7,8.6
193801,15.7,-1.4
193901,16.4,-0.7
194001,11.5,-5.6
194101,14.8,-2.3
194201,17.1,0.0
194301,13.4,-3.7
194401,18.8,1.7
194501,11.7,-5.4
194601,16.4,-0.7
194701,19.3,2.2
194801,11.7,-5.4
194901,24.3,7.2
195001,24.4,7.3
195101,21.5,4.4
195201,20.5,3.4
195301,23.6,6.5
195401,14.8,-2.3
195501,16.8,-0.3
195601,21.6,4.5
195701,10.3,-6.8
195801,20.8,3.7
195901,16.6,-0.5
196001,19.0,1.9
196101,10.8,-6.3
196201,16.0,-1.1
196301,17.2,0.1
196401,20.0,2.9
196501,14.7,-2.4
196601,17.8,0.7
196701,22.4,5.3
196801,12.0,-5.1
196901,18.2,1.1
197001,9.3,-7.8
197101,10.9,-6.2
197201,18.6,1.5
197301,20.4,3.3
197401,19.8,2.7
197501,21.0,3.9
197601,12.0,-5.1
197701,10.8,-6.3
197801,16.2,-0.9
197901,19.0,1.9
198001,19.6,2.5
198101,10.0,-7.1
198201,8.6,-8.5
198301,19.9,2.8
198401,14.9,-2.2
198501,13.0,-4.1
198601,19.6,2.5
198701,17.0,-0.1
198801,16.2,-0.9
198901,21.9,4.8
199001,26.0,8.9
199101,17.6,0.5
199201,18.7,1.6
199301,21.0,3.9
199401,8.7,-8.4
199501,24.8,7.7
199601,17.8,0.7
199701,17.8,0.7
199801,23.2,6.1
199901,18.8,1.7
200001,16.9,-0.2
200101,18.5,1.4
200201,26.6,9.5
200301,11.5,-5.6
200401,10.3,-6.8
200501,16.0,-1.1
200601,26.4,9.3
200701,21.5,4.4
200801,22.0,4.9
200901,12.3,-4.8
201001,21.1,4.0
201101,16.8,-0.3
201201,22.7,5.6
201301,20.2,3.1
201401,16.5,-0.6
201501,14.6,-2.5
201601,22.9,5.8
201701,25.7,8.6
201801,18.4,1.3
201901,18.2,1.1
