New Jersey, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,72.9,1.3
189608,72.1,0.5
189708,69.8,-1.8
189808,73.3,1.7
189908,70.8,-0.8
190008,75.0,3.4
190108,72.8,1.2
190208,69.1,-2.5
190308,67.5,-4.1
190408,69.6,-2.0
190508,70.0,-1.6
190608,73.8,2.2
190708,69.3,-2.3
190808,69.8,-1.8
190908,69.2,-2.4
191008,69.3,-2.3
191108,71.2,-0.4
191208,69.0,-2.6
191308,70.6,-1.0
191408,72.3,0.7
191508,69.8,-1.8
191608,72.3,0.7
191708,72.9,1.3
191808,73.4,1.8
191908,69.0,-2.6
192008,71.6,0.0
192108,68.7,-2.9
192208,69.8,-1.8
192308,69.5,-2.1
192408,70.9,-0.7
192508,70.0,-1.6
192608,71.7,0.1
192708,66.2,-5.4
192808,73.8,2.2
192908,69.0,-2.6
193008,70.2,-1.4
193108,72.4,0.8
193208,72.5,0.9
193308,71.8,0.2
193408,69.0,-2.6
193508,71.7,0.1
193608,73.2,1.6
193708,74.2,2.6
193808,74.0,2.4
193908,74.1,2.5
194008,68.4,-3.2
194108,70.1,-1.5
194208,70.5,-1.1
194308,72.4,0.8
194408,73.2,1.6
194508,70.2,-1.4
194608,68.2,-3.4
194708,73.4,1.8
194808,72.2,0.6
194908,73.5,1.9
195008,70.2,-1.4
195108,71.3,-0.3
195208,71.7,0.1
195308,71.6,0.0
195408,70.6,-1.0
195508,75.5,3.9
195608,71.2,-0.4
195708,69.9,-1.7
195808,71.6,0.0
195908,74.2,2.6
196008,72.5,0.9
196108,72.3,0.7
196208,70.2,-1.4
196308,69.8,-1.8
196408,69.6,-2.0
196508,71.5,-0.1
196608,73.0,1.4
196708,71.0,-0.6
196808,73.4,1.8
196908,73.0,1.4
197008,73.5,1.9
197108,71.3,-0.3
197208,71.6,0.0
197308,74.4,2.8
197408,72.6,1.0
197508,73.0,1.4
197608,71.3,-0.3
197708,72.8,1.2
197808,74.0,2.4
197908,72.3,0.7
198008,75.6,4.0
198108,71.0,-0.6
198208,69.5,-2.1
198308,74.4,2.8
198408,73.4,1.8
198508,71.7,0.1
198608,70.4,-1.2
198708,71.2,-0.4
198808,75.4,3.8
198908,71.8,0.2
199008,72.6,1.0
199108,74.2,2.6
199208,69.4,-2.2
199308,73.6,2.0
199408,70.1,-1.5
199508,74.3,2.7
199608,71.9,0.3
199708,71.0,-0.6
199808,74.1,2.5
199908,73.8,2.2
200008,71.0,-0.6
200108,75.5,3.9
200208,75.8,4.2
200308,75.1,3.5
200408,72.4,0.8
200508,76.4,4.8
200608,74.2,2.6
200708,73.4,1.8
200808,71.3,-0.3
200908,74.9,3.3
201008,74.9,3.3
201108,73.5,1.9
201208,74.7,3.1
201308,71.4,-0.2
201408,70.8,-0.8
201508,74.3,2.7
201608,76.9,5.3
201708,71.6,0.0
201808,76.8,5.2
201908,74.3,2.7
