New Mexico, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,69.5,-1.4
189608,71.3,0.4
189708,70.5,-0.4
189808,71.2,0.3
189908,71.6,0.7
190008,71.4,0.5
190108,72.8,1.9
190208,71.1,0.2
190308,72.0,1.1
190408,70.2,-0.7
190508,71.0,0.1
190608,68.4,-2.5
190708,70.7,-0.2
190808,69.2,-1.7
190908,70.9,0.0
191008,72.3,1.4
191108,71.6,0.7
191208,70.3,-0.6
191308,71.1,0.2
191408,70.2,-0.7
191508,68.5,-2.4
191608,69.5,-1.4
191708,70.7,-0.2
191808,70.6,-0.3
191908,71.9,1.0
192008,68.5,-2.4
192108,70.4,-0.5
192208,73.4,2.5
192308,69.8,-1.1
192408,72.1,1.2
192508,68.9,-2.0
192608,71.0,0.1
192708,69.8,-1.1
192808,68.9,-2.0
192908,70.1,-0.8
193008,71.1,0.2
193108,69.5,-1.4
193208,71.2,0.3
193308,70.8,-0.1
193408,73.4,2.5
193508,71.3,0.4
193608,72.1,1.2
193708,73.4,2.5
193808,72.0,1.1
193908,70.5,-0.4
194008,70.0,-0.9
194108,69.7,-1.2
194208,70.0,-0.9
194308,73.7,2.8
194408,71.6,0.7
194508,72.5,1.6
194608,71.5,0.6
194708,71.1,0.2
194808,72.0,1.1
194908,70.2,-0.7
195008,69.6,-1.3
195108,72.2,1.3
195208,73.3,2.4
195308,71.1,0.2
195408,70.9,0.0
195508,71.0,0.1
195608,70.1,-0.8
195708,70.6,-0.3
195808,72.5,1.6
195908,71.2,0.3
196008,71.8,0.9
196108,70.4,-0.5
196208,72.2,1.3
196308,70.6,-0.3
196408,71.5,0.6
196508,69.8,-1.1
196608,69.8,-1.1
196708,68.8,-2.1
196808,68.4,-2.5
196908,73.5,2.6
197008,71.9,1.0
197108,68.6,-2.3
197208,69.2,-1.7
197308,70.4,-0.5
197408,68.3,-2.6
197508,70.3,-0.6
197608,69.9,-1.0
197708,72.7,1.8
197808,70.2,-0.7
197908,68.8,-2.1
198008,71.6,0.7
198108,69.8,-1.1
198208,71.9,1.0
198308,72.5,1.6
198408,69.9,-1.0
198508,71.6,0.7
198608,71.5,0.6
198708,69.7,-1.2
198808,70.2,-0.7
198908,70.2,-0.7
199008,68.6,-2.3
199108,70.0,-0.9
199208,69.9,-1.0
199308,70.5,-0.4
199408,73.6,2.7
199508,73.7,2.8
199608,71.0,0.1
199708,71.6,0.7
199808,71.5,0.6
199908,71.1,0.2
200008,73.2,2.3
200108,71.5,0.6
200208,73.2,2.3
200308,73.5,2.6
200408,69.3,-1.6
200508,70.8,-0.1
200608,70.2,-0.7
200708,73.7,2.8
200808,71.0,0.1
200908,72.2,1.3
201008,72.3,1.4
201108,76.0,5.1
201208,73.9,3.0
201308,72.3,1.4
201408,70.5,-0.4
201508,73.4,2.5
201608,70.1,-0.8
201708,70.8,-0.1
201808,73.0,2.1
201908,75.4,4.5
