New York, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,65.8,-0.2
189608,66.9,0.9
189708,63.9,-2.1
189808,68.0,2.0
189908,67.5,1.5
190008,69.7,3.7
190108,67.6,1.6
190208,63.6,-2.4
190308,60.8,-5.2
190408,64.0,-2.0
190508,64.6,-1.4
190608,68.7,2.7
190708,63.9,-2.1
190808,65.0,-1.0
190908,64.8,-1.2
191008,65.1,-0.9
191108,67.0,1.0
191208,62.3,-3.7
191308,65.9,-0.1
191408,66.1,0.1
191508,64.0,-2.0
191608,68.2,2.2
191708,67.3,1.3
191808,67.9,1.9
191908,63.8,-2.2
192008,67.3,1.3
192108,64.7,-1.3
192208,65.0,-1.0
192308,63.9,-2.1
192408,65.2,-0.8
192508,65.6,-0.4
192608,66.2,0.2
192708,61.5,-4.5
192808,68.8,2.8
192908,62.7,-3.3
193008,65.2,-0.8
193108,66.5,0.5
193208,66.9,0.9
193308,66.0,0.0
193408,63.3,-2.7
193508,66.6,0.6
193608,67.1,1.1
193708,70.5,4.5
193808,69.5,3.5
193908,69.5,3.5
194008,64.7,-1.3
194108,64.1,-1.9
194208,65.7,-0.3
194308,66.1,0.1
194408,69.1,3.1
194508,66.2,0.2
194608,62.8,-3.2
194708,70.8,4.8
194808,67.3,1.3
194908,68.8,2.8
195008,65.5,-0.5
195108,64.9,-1.1
195208,66.7,0.7
195308,65.9,-0.1
195408,64.1,-1.9
195508,70.8,4.8
195608,65.4,-0.6
195708,63.6,-2.4
195808,65.6,-0.4
195908,70.3,4.3
196008,65.9,-0.1
196108,66.6,0.6
196208,65.5,-0.5
196308,62.9,-3.1
196408,62.8,-3.2
196508,65.6,-0.4
196608,66.6,0.6
196708,65.3,-0.7
196808,65.6,-0.4
196908,67.7,1.7
197008,67.1,1.1
197108,65.3,-0.7
197208,64.8,-1.2
197308,69.7,3.7
197408,66.6,0.6
197508,66.8,0.8
197608,64.7,-1.3
197708,65.5,-0.5
197808,67.4,1.4
197908,65.4,-0.6
198008,69.2,3.2
198108,65.7,-0.3
198208,63.0,-3.0
198308,67.9,1.9
198408,68.4,2.4
198508,65.6,-0.4
198608,64.3,-1.7
198708,64.8,-1.2
198808,69.0,3.0
198908,65.6,-0.4
199008,67.0,1.0
199108,68.2,2.2
199208,63.9,-2.1
199308,67.8,1.8
199408,64.5,-1.5
199508,68.7,2.7
199608,67.3,1.3
199708,64.9,-1.1
199808,68.0,2.0
199908,65.8,-0.2
200008,65.4,-0.6
200108,70.0,4.0
200208,69.0,3.0
200308,69.1,3.1
200408,65.8,-0.2
200508,70.1,4.1
200608,66.8,0.8
200708,67.8,1.8
200808,64.8,-1.2
200908,67.9,1.9
201008,68.2,2.2
201108,67.6,1.6
201208,68.4,2.4
201308,65.8,-0.2
201408,65.3,-0.7
201508,67.5,1.5
201608,70.9,4.9
201708,65.6,-0.4
201808,70.5,4.5
201908,66.7,0.7
