North Carolina, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,76.1,0.5
189608,77.1,1.5
189708,75.1,-0.5
189808,76.9,1.3
189908,77.4,1.8
190008,80.2,4.6
190108,76.0,0.4
190208,75.4,-0.2
190308,76.3,0.7
190408,74.7,-0.9
190508,74.2,-1.4
190608,77.6,2.0
190708,75.0,-0.6
190808,74.3,-1.3
190908,74.1,-1.5
191008,74.8,-0.8
191108,77.2,1.6
191208,75.4,-0.2
191308,75.0,-0.6
191408,76.5,0.9
191508,75.5,-0.1
191608,76.0,0.4
191708,74.8,-0.8
191808,77.2,1.6
191908,75.2,-0.4
192008,74.6,-1.0
192108,75.3,-0.3
192208,73.2,-2.4
192308,76.4,0.8
192408,76.5,0.9
192508,74.9,-0.7
192608,78.3,2.7
192708,72.7,-2.9
192808,77.3,1.7
192908,74.4,-1.2
193008,74.0,-1.6
193108,75.1,-0.5
193208,76.2,0.6
193308,75.9,0.3
193408,76.9,1.3
193508,76.3,0.7
193608,77.0,1.4
193708,76.7,1.1
193808,77.8,2.2
193908,76.0,0.4
194008,75.2,-0.4
194108,76.8,1.2
194208,75.2,-0.4
194308,77.0,1.4
194408,74.3,-1.3
194508,74.6,-1.0
194608,73.2,-2.4
194708,76.8,1.2
194808,74.8,-0.8
194908,75.9,0.3
195008,74.0,-1.6
195108,76.7,1.1
195208,75.5,-0.1
195308,75.8,0.2
195408,77.3,1.7
195508,77.1,1.5
195608,75.9,0.3
195708,74.3,-1.3
195808,76.0,0.4
195908,77.3,1.7
196008,76.6,1.0
196108,75.3,-0.3
196208,74.9,-0.7
196308,74.9,-0.7
196408,73.6,-2.0
196508,75.6,0.0
196608,74.7,-0.9
196708,73.4,-2.2
196808,77.7,2.1
196908,73.5,-2.1
197008,75.7,0.1
197108,74.3,-1.3
197208,74.9,-0.7
197308,75.7,0.1
197408,74.6,-1.0
197508,77.3,1.7
197608,73.4,-2.2
197708,76.9,1.3
197808,77.0,1.4
197908,75.8,0.2
198008,78.0,2.4
198108,73.4,-2.2
198208,74.3,-1.3
198308,78.0,2.4
198408,75.6,0.0
198508,74.3,-1.3
198608,74.4,-1.2
198708,77.9,2.3
198808,78.2,2.6
198908,74.9,-0.7
199008,76.5,0.9
199108,75.6,0.0
199208,73.4,-2.2
199308,76.3,0.7
199408,74.0,-1.6
199508,77.6,2.0
199608,74.3,-1.3
199708,74.2,-1.4
199808,76.5,0.9
199908,77.8,2.2
200008,75.0,-0.6
200108,76.7,1.1
200208,77.0,1.4
200308,77.3,1.7
200408,73.9,-1.7
200508,78.1,2.5
200608,78.3,2.7
200708,80.6,5.0
200808,75.5,-0.1
200908,77.4,1.8
201008,78.6,3.0
201108,77.7,2.1
201208,75.6,0.0
201308,74.4,-1.2
201408,74.3,-1.3
201508,76.1,0.5
201608,79.2,3.6
201708,75.8,0.2
201808,77.2,1.6
201908,77.0,1.4
