North Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,37.7,-2.3
189601,37.9,-2.1
189701,36.4,-3.6
189801,43.4,3.4
189901,40.0,0.0
190001,39.7,-0.3
190101,39.5,-0.5
190201,36.8,-3.2
190301,39.1,-0.9
190401,34.8,-5.2
190501,35.1,-4.9
190601,42.9,2.9
190701,46.5,6.5
190801,38.0,-2.0
190901,44.2,4.2
191001,39.5,-0.5
191101,44.0,4.0
191201,33.3,-6.7
191301,48.1,8.1
191401,42.0,2.0
191501,39.8,-0.2
191601,45.7,5.7
191701,43.2,3.2
191801,30.4,-9.6
191901,41.6,1.6
192001,39.1,-0.9
192101,41.5,1.5
192201,38.5,-1.5
192301,42.8,2.8
192401,38.4,-1.6
192501,39.4,-0.6
192601,38.8,-1.2
192701,39.9,-0.1
192801,39.7,-0.3
192901,41.4,1.4
193001,42.1,2.1
193101,39.7,-0.3
193201,49.5,9.5
193301,47.0,7.0
193401,43.5,3.5
193501,40.6,0.6
193601,35.8,-4.2
193701,50.5,10.5
193801,39.9,-0.1
193901,42.9,2.9
194001,28.8,-11.2
194101,39.3,-0.7
194201,38.5,-1.5
194301,42.1,2.1
194401,39.9,-0.1
194501,38.4,-1.6
194601,41.2,1.2
194701,45.4,5.4
194801,34.1,-5.9
194901,48.6,8.6
195001,51.5,11.5
195101,41.4,1.4
195201,45.8,5.8
195301,44.8,4.8
195401,41.1,1.1
195501,38.2,-1.8
195601,37.1,-2.9
195701,41.0,1.0
195801,34.8,-5.2
195901,38.7,-1.3
196001,40.8,0.8
196101,35.7,-4.3
196201,38.4,-1.6
196301,36.0,-4.0
196401,39.6,-0.4
196501,40.1,0.1
196601,35.2,-4.8
196701,42.3,2.3
196801,35.7,-4.3
196901,36.7,-3.3
197001,33.4,-6.6
197101,38.0,-2.0
197201,44.6,4.6
197301,39.5,-0.5
197401,50.1,10.1
197501,44.0,4.0
197601,37.3,-2.7
197701,28.4,-11.6
197801,33.5,-6.5
197901,37.3,-2.7
198001,40.4,0.4
198101,33.7,-6.3
198201,34.5,-5.5
198301,38.1,-1.9
198401,36.6,-3.4
198501,34.1,-5.9
198601,38.1,-1.9
198701,38.2,-1.8
198801,34.4,-5.6
198901,44.2,4.2
199001,46.5,6.5
199101,41.6,1.6
199201,41.9,1.9
199301,43.6,3.6
199401,36.3,-3.7
199501,41.2,1.2
199601,38.2,-1.8
199701,40.5,0.5
199801,44.3,4.3
199901,45.0,5.0
200001,38.8,-1.2
200101,39.3,-0.7
200201,42.6,2.6
200301,36.4,-3.6
200401,37.9,-2.1
200501,43.0,3.0
200601,46.6,6.6
200701,44.2,4.2
200801,40.1,0.1
200901,38.7,-1.3
201001,36.6,-3.4
201101,36.2,-3.8
201201,43.9,3.9
201301,44.1,4.1
201401,35.3,-4.7
201501,39.4,-0.6
201601,38.4,-1.6
201701,45.4,5.4
201801,35.8,-4.2
201901,41.9,1.9
