North Dakota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,64.4,-2.5
189608,64.1,-2.8
189708,63.5,-3.4
189808,65.8,-1.1
189908,64.5,-2.4
190008,69.3,2.4
190108,66.6,-0.3
190208,63.9,-3.0
190308,62.9,-4.0
190408,62.7,-4.2
190508,68.0,1.1
190608,66.0,-0.9
190708,64.4,-2.5
190808,63.1,-3.8
190908,68.9,2.0
191008,62.7,-4.2
191108,62.0,-4.9
191208,63.1,-3.8
191308,68.6,1.7
191408,64.0,-2.9
191508,64.3,-2.6
191608,65.5,-1.4
191708,65.0,-1.9
191808,66.2,-0.7
191908,67.9,1.0
192008,68.7,1.8
192108,67.0,0.1
192208,69.8,2.9
192308,62.7,-4.2
192408,63.6,-3.3
192508,67.8,0.9
192608,65.1,-1.8
192708,63.3,-3.6
192808,64.4,-2.5
192908,68.4,1.5
193008,70.2,3.3
193108,66.5,-0.4
193208,68.1,1.2
193308,68.1,1.2
193408,67.1,0.2
193508,65.9,-1.0
193608,69.5,2.6
193708,72.7,5.8
193808,69.4,2.5
193908,68.5,1.6
194008,67.5,0.6
194108,67.9,1.0
194208,66.0,-0.9
194308,67.4,0.5
194408,65.3,-1.6
194508,66.8,-0.1
194608,65.0,-1.9
194708,70.8,3.9
194808,68.4,1.5
194908,70.8,3.9
195008,63.5,-3.4
195108,63.5,-3.4
195208,66.9,0.0
195308,69.1,2.2
195408,65.9,-1.0
195508,70.7,3.8
195608,66.0,-0.9
195708,66.6,-0.3
195808,68.9,2.0
195908,70.0,3.1
196008,68.3,1.4
196108,72.4,5.5
196208,67.8,0.9
196308,68.3,1.4
196408,64.2,-2.7
196508,65.9,-1.0
196608,64.3,-2.6
196708,67.2,0.3
196808,63.8,-3.1
196908,71.5,4.6
197008,68.7,1.8
197108,70.0,3.1
197208,68.5,1.6
197308,71.2,4.3
197408,62.9,-4.0
197508,65.2,-1.7
197608,70.0,3.1
197708,61.2,-5.7
197808,67.4,0.5
197908,65.0,-1.9
198008,63.7,-3.2
198108,69.1,2.2
198208,66.5,-0.4
198308,73.8,6.9
198408,71.6,4.7
198508,62.7,-4.2
198608,64.9,-2.0
198708,63.9,-3.0
198808,69.1,2.2
198908,68.7,1.8
199008,69.2,2.3
199108,70.7,3.8
199208,62.8,-4.1
199308,64.5,-2.4
199408,65.7,-1.2
199508,69.5,2.6
199608,69.1,2.2
199708,67.4,0.5
199808,70.6,3.7
199908,67.3,0.4
200008,68.4,1.5
200108,70.3,3.4
200208,66.1,-0.8
200308,72.2,5.3
200408,61.5,-5.4
200508,66.1,-0.8
200608,69.1,2.2
200708,66.0,-0.9
200808,68.6,1.7
200908,64.5,-2.4
201008,69.0,2.1
201108,68.6,1.7
201208,67.4,0.5
201308,68.6,1.7
201408,67.0,0.1
201508,68.0,1.1
201608,68.0,1.1
201708,65.2,-1.7
201808,67.6,0.7
201908,65.5,-1.4
