Ohio, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,72.8,1.9
189608,71.1,0.2
189708,68.6,-2.3
189808,72.7,1.8
189908,73.2,2.3
190008,75.8,4.9
190108,72.6,1.7
190208,68.5,-2.4
190308,70.4,-0.5
190408,68.4,-2.5
190508,71.4,0.5
190608,74.2,3.3
190708,68.8,-2.1
190808,70.6,-0.3
190908,71.4,0.5
191008,70.8,-0.1
191108,72.0,1.1
191208,68.6,-2.3
191308,72.9,2.0
191408,72.0,1.1
191508,66.7,-4.2
191608,73.4,2.5
191708,70.4,-0.5
191808,75.9,5.0
191908,69.6,-1.3
192008,69.3,-1.6
192108,69.5,-1.4
192208,69.4,-1.5
192308,69.6,-1.3
192408,70.8,-0.1
192508,70.7,-0.2
192608,73.2,2.3
192708,65.1,-5.8
192808,73.0,2.1
192908,67.0,-3.9
193008,70.8,-0.1
193108,71.5,0.6
193208,71.4,0.5
193308,70.9,0.0
193408,70.7,-0.2
193508,72.1,1.2
193608,74.8,3.9
193708,73.6,2.7
193808,73.5,2.6
193908,71.6,0.7
194008,71.7,0.8
194108,70.3,-0.6
194208,70.0,-0.9
194308,71.3,0.4
194408,72.7,1.8
194508,70.6,-0.3
194608,66.2,-4.7
194708,76.4,5.5
194808,70.7,-0.2
194908,71.9,1.0
195008,68.5,-2.4
195108,70.0,-0.9
195208,70.8,-0.1
195308,71.7,0.8
195408,70.3,-0.6
195508,74.6,3.7
195608,70.5,-0.4
195708,70.3,-0.6
195808,69.5,-1.4
195908,74.8,3.9
196008,72.3,1.4
196108,71.0,0.1
196208,70.7,-0.2
196308,67.6,-3.3
196408,69.2,-1.7
196508,69.4,-1.5
196608,69.6,-1.3
196708,67.8,-3.1
196808,72.2,1.3
196908,70.7,-0.2
197008,71.5,0.6
197108,68.8,-2.1
197208,69.9,-1.0
197308,72.1,1.2
197408,70.9,0.0
197508,73.5,2.6
197608,67.6,-3.3
197708,70.8,-0.1
197808,71.4,0.5
197908,70.0,-0.9
198008,74.3,3.4
198108,70.0,-0.9
198208,68.0,-2.9
198308,74.8,3.9
198408,71.7,0.8
198508,69.7,-1.2
198608,68.9,-2.0
198708,72.0,1.1
198808,74.4,3.5
198908,70.2,-0.7
199008,69.9,-1.0
199108,72.3,1.4
199208,67.2,-3.7
199308,73.2,2.3
199408,68.8,-2.1
199508,76.2,5.3
199608,71.4,0.5
199708,68.3,-2.6
199808,72.7,1.8
199908,70.0,-0.9
200008,69.7,-1.2
200108,73.0,2.1
200208,74.2,3.3
200308,72.6,1.7
200408,68.6,-2.3
200508,74.2,3.3
200608,73.3,2.4
200708,75.0,4.1
200808,70.4,-0.5
200908,71.0,0.1
201008,74.2,3.3
201108,71.9,1.0
201208,71.4,0.5
201308,70.2,-0.7
201408,71.0,0.1
201508,70.1,-0.8
201608,76.0,5.1
201708,69.7,-1.2
201808,73.7,2.8
201908,71.9,1.0
