Ohio, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,21.8,-5.1
189601,27.8,0.9
189701,24.0,-2.9
189801,31.1,4.2
189901,26.6,-0.3
190001,30.0,3.1
190101,28.0,1.1
190201,26.0,-0.9
190301,25.8,-1.1
190401,19.4,-7.5
190501,21.3,-5.6
190601,34.3,7.4
190701,31.2,4.3
190801,27.7,0.8
190901,31.0,4.1
191001,26.4,-0.5
191101,31.5,4.6
191201,16.5,-10.4
191301,34.5,7.6
191401,31.9,5.0
191501,24.6,-2.3
191601,33.8,6.9
191701,26.4,-0.5
191801,13.0,-13.9
191901,31.3,4.4
192001,20.6,-6.3
192101,31.5,4.6
192201,24.6,-2.3
192301,30.7,3.8
192401,23.5,-3.4
192501,25.4,-1.5
192601,25.4,-1.5
192701,26.4,-0.5
192801,27.4,0.5
192901,24.2,-2.7
193001,26.3,-0.6
193101,30.1,3.2
193201,38.1,11.2
193301,36.0,9.1
193401,31.6,4.7
193501,28.3,1.4
193601,21.0,-5.9
193701,34.5,7.6
193801,28.3,1.4
193901,31.6,4.7
194001,15.0,-11.9
194101,28.0,1.1
194201,26.6,-0.3
194301,28.0,1.1
194401,30.6,3.7
194501,20.1,-6.8
194601,29.5,2.6
194701,32.9,6.0
194801,19.2,-7.7
194901,34.8,7.9
195001,37.3,10.4
195101,29.5,2.6
195201,32.6,5.7
195301,32.9,6.0
195401,29.3,2.4
195501,26.3,-0.6
195601,25.2,-1.7
195701,22.8,-4.1
195801,26.0,-0.9
195901,23.7,-3.2
196001,30.3,3.4
196101,22.0,-4.9
196201,24.1,-2.8
196301,19.2,-7.7
196401,28.9,2.0
196501,26.6,-0.3
196601,22.0,-4.9
196701,31.6,4.7
196801,22.1,-4.8
196901,25.1,-1.8
197001,19.2,-7.7
197101,22.7,-4.2
197201,27.4,0.5
197301,29.4,2.5
197401,31.1,4.2
197501,31.0,4.1
197601,23.1,-3.8
197701,11.1,-15.8
197801,18.0,-8.9
197901,20.0,-6.9
198001,27.0,0.1
198101,21.0,-5.9
198201,19.8,-7.1
198301,28.9,2.0
198401,21.5,-5.4
198501,21.2,-5.7
198601,27.3,0.4
198701,27.7,0.8
198801,24.9,-2.0
198901,34.8,7.9
199001,36.2,9.3
199101,28.2,1.3
199201,29.7,2.8
199301,32.2,5.3
199401,19.6,-7.3
199501,28.8,1.9
199601,25.3,-1.6
199701,25.9,-1.0
199801,35.6,8.7
199901,28.4,1.5
200001,26.2,-0.7
200101,27.5,0.6
200201,34.1,7.2
200301,21.5,-5.4
200401,23.5,-3.4
200501,29.4,2.5
200601,38.8,11.9
200701,33.0,6.1
200801,29.1,2.2
200901,20.8,-6.1
201001,25.0,-1.9
201101,23.5,-3.4
201201,32.1,5.2
201301,30.5,3.6
201401,19.8,-7.1
201501,24.4,-2.5
201601,27.2,0.3
201701,34.6,7.7
201801,25.0,-1.9
201901,27.4,0.5
