Oklahoma, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,80.1,-0.8
189608,83.6,2.7
189708,79.0,-1.9
189808,79.0,-1.9
189908,84.5,3.6
190008,82.0,1.1
190108,81.7,0.8
190208,83.2,2.3
190308,80.1,-0.8
190408,78.8,-2.1
190508,80.2,-0.7
190608,77.4,-3.5
190708,81.9,1.0
190808,79.6,-1.3
190908,83.2,2.3
191008,80.6,-0.3
191108,79.4,-1.5
191208,79.9,-1.0
191308,84.9,4.0
191408,79.6,-1.3
191508,73.9,-7.0
191608,82.9,2.0
191708,77.6,-3.3
191808,84.8,3.9
191908,81.7,0.8
192008,75.8,-5.1
192108,82.3,1.4
192208,83.0,2.1
192308,83.4,2.5
192408,83.3,2.4
192508,80.1,-0.8
192608,80.3,-0.6
192708,76.7,-4.2
192808,80.6,-0.3
192908,83.1,2.2
193008,83.1,2.2
193108,78.7,-2.2
193208,81.4,0.5
193308,79.3,-1.6
193408,86.4,5.5
193508,83.3,2.4
193608,87.4,6.5
193708,84.6,3.7
193808,84.0,3.1
193908,81.7,0.8
194008,78.4,-2.5
194108,80.7,-0.2
194208,79.4,-1.5
194308,86.4,5.5
194408,82.1,1.2
194508,79.7,-1.2
194608,81.8,0.9
194708,84.4,3.5
194808,79.4,-1.5
194908,78.3,-2.6
195008,75.8,-5.1
195108,84.0,3.1
195208,84.4,3.5
195308,79.0,-1.9
195408,85.6,4.7
195508,80.8,-0.1
195608,84.5,3.6
195708,81.3,0.4
195808,80.2,-0.7
195908,80.9,0.0
196008,79.7,-1.2
196108,77.5,-3.4
196208,81.3,0.4
196308,82.4,1.5
196408,80.8,-0.1
196508,79.6,-1.3
196608,76.5,-4.4
196708,77.2,-3.7
196808,79.7,-1.2
196908,80.5,-0.4
197008,82.8,1.9
197108,76.8,-4.1
197208,79.6,-1.3
197308,79.6,-1.3
197408,77.6,-3.3
197508,80.0,-0.9
197608,79.9,-1.0
197708,80.3,-0.6
197808,81.1,0.2
197908,78.8,-2.1
198008,85.2,4.3
198108,78.4,-2.5
198208,82.8,1.9
198308,84.6,3.7
198408,81.5,0.6
198508,81.2,0.3
198608,78.6,-2.3
198708,81.2,0.3
198808,82.0,1.1
198908,78.2,-2.7
199008,80.2,-0.7
199108,79.5,-1.4
199208,74.4,-6.5
199308,82.1,1.2
199408,79.2,-1.7
199508,82.0,1.1
199608,77.5,-3.4
199708,78.1,-2.8
199808,82.6,1.7
199908,83.2,2.3
200008,85.3,4.4
200108,82.8,1.9
200208,81.1,0.2
200308,82.7,1.8
200408,76.0,-4.9
200508,80.6,-0.3
200608,84.1,3.2
200708,82.6,1.7
200808,79.1,-1.8
200908,78.9,-2.0
201008,83.9,3.0
201108,87.7,6.8
201208,81.5,0.6
201308,80.3,-0.6
201408,80.7,-0.2
201508,79.3,-1.6
201608,80.8,-0.1
201708,77.3,-3.6
201808,79.9,-1.0
201908,82.3,1.4
