Pennsylvania, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,20.7,-4.6
189601,24.7,-0.6
189701,23.2,-2.1
189801,28.3,3.0
189901,23.8,-1.5
190001,27.0,1.7
190101,26.4,1.1
190201,23.4,-1.9
190301,24.3,-1.0
190401,17.3,-8.0
190501,20.8,-4.5
190601,32.3,7.0
190701,27.0,1.7
190801,25.5,0.2
190901,28.1,2.8
191001,24.5,-0.8
191101,29.0,3.7
191201,16.0,-9.3
191301,33.9,8.6
191401,27.0,1.7
191501,25.3,0.0
191601,31.4,6.1
191701,25.2,-0.1
191801,13.4,-11.9
191901,29.3,4.0
192001,18.0,-7.3
192101,28.0,2.7
192201,21.8,-3.5
192301,25.8,0.5
192401,25.1,-0.2
192501,22.2,-3.1
192601,24.7,-0.6
192701,24.4,-0.9
192801,26.8,1.5
192901,24.1,-1.2
193001,26.0,0.7
193101,27.0,1.7
193201,37.5,12.2
193301,34.0,8.7
193401,29.2,3.9
193501,24.2,-1.1
193601,20.6,-4.7
193701,33.3,8.0
193801,26.0,0.7
193901,27.3,2.0
194001,16.0,-9.3
194101,24.5,-0.8
194201,24.6,-0.7
194301,25.3,0.0
194401,28.4,3.1
194501,18.3,-7.0
194601,27.0,1.7
194701,31.5,6.2
194801,17.9,-7.4
194901,32.9,7.6
195001,35.8,10.5
195101,28.4,3.1
195201,29.7,4.4
195301,31.4,6.1
195401,25.0,-0.3
195501,24.0,-1.3
195601,25.1,-0.2
195701,21.9,-3.4
195801,24.5,-0.8
195901,23.4,-1.9
196001,28.4,3.1
196101,19.5,-5.8
196201,23.8,-1.5
196301,20.7,-4.6
196401,26.3,1.0
196501,22.9,-2.4
196601,22.1,-3.2
196701,30.5,5.2
196801,20.1,-5.2
196901,24.1,-1.2
197001,17.7,-7.6
197101,21.1,-4.2
197201,27.9,2.6
197301,28.3,3.0
197401,30.1,4.8
197501,29.2,3.9
197601,20.7,-4.6
197701,12.7,-12.6
197801,20.2,-5.1
197901,22.5,-2.8
198001,25.7,0.4
198101,19.2,-6.1
198201,18.2,-7.1
198301,27.2,1.9
198401,20.9,-4.4
198501,21.2,-4.1
198601,25.9,0.6
198701,24.9,-0.4
198801,21.7,-3.6
198901,30.9,5.6
199001,34.2,8.9
199101,26.6,1.3
199201,28.2,2.9
199301,30.4,5.1
199401,17.8,-7.5
199501,29.8,4.5
199601,23.6,-1.7
199701,25.1,-0.2
199801,34.3,9.0
199901,27.0,1.7
200001,25.6,0.3
200101,26.1,0.8
200201,33.0,7.7
200301,20.6,-4.7
200401,20.0,-5.3
200501,26.3,1.0
200601,35.2,9.9
200701,31.3,6.0
200801,29.2,3.9
200901,20.5,-4.8
201001,25.7,0.4
201101,22.5,-2.8
201201,30.0,4.7
201301,29.0,3.7
201401,19.6,-5.7
201501,22.5,-2.8
201601,25.4,0.1
201701,31.8,6.5
201801,23.1,-2.2
201901,25.9,0.6
