Rhode Island, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,68.8,0.1
189608,69.0,0.3
189708,66.7,-2.0
189808,70.3,1.6
189908,67.6,-1.1
190008,69.8,1.1
190108,69.1,0.4
190208,65.8,-2.9
190308,62.9,-5.8
190408,65.9,-2.8
190508,65.9,-2.8
190608,70.1,1.4
190708,66.5,-2.2
190808,66.6,-2.1
190908,66.5,-2.2
191008,66.1,-2.6
191108,66.9,-1.8
191208,65.5,-3.2
191308,67.4,-1.3
191408,67.9,-0.8
191508,66.2,-2.5
191608,69.2,0.5
191708,70.7,2.0
191808,69.3,0.6
191908,65.5,-3.2
192008,69.6,0.9
192108,65.6,-3.1
192208,67.0,-1.7
192308,65.3,-3.4
192408,67.8,-0.9
192508,67.7,-1.0
192608,68.2,-0.5
192708,64.7,-4.0
192808,71.1,2.4
192908,66.2,-2.5
193008,67.6,-1.1
193108,69.6,0.9
193208,68.9,0.2
193308,68.6,-0.1
193408,65.6,-3.1
193508,68.6,-0.1
193608,68.5,-0.2
193708,72.4,3.7
193808,71.1,2.4
193908,71.9,3.2
194008,65.2,-3.5
194108,67.2,-1.5
194208,67.8,-0.9
194308,68.5,-0.2
194408,71.4,2.7
194508,67.7,-1.0
194608,65.5,-3.2
194708,70.6,1.9
194808,70.6,1.9
194908,71.4,2.7
195008,67.7,-1.0
195108,68.5,-0.2
195208,69.7,1.0
195308,68.8,0.1
195408,66.5,-2.2
195508,71.6,2.9
195608,68.9,0.2
195708,66.6,-2.1
195808,68.6,-0.1
195908,71.6,2.9
196008,68.8,0.1
196108,69.1,0.4
196208,67.0,-1.7
196308,67.3,-1.4
196408,64.7,-4.0
196508,68.9,0.2
196608,69.2,0.5
196708,68.7,0.0
196808,68.6,-0.1
196908,71.6,2.9
197008,70.6,1.9
197108,70.1,1.4
197208,68.4,-0.3
197308,72.5,3.8
197408,70.3,1.6
197508,70.0,1.3
197608,68.4,-0.3
197708,70.2,1.5
197808,70.2,1.5
197908,69.2,0.5
198008,71.6,2.9
198108,68.5,-0.2
198208,66.7,-2.0
198308,70.6,1.9
198408,71.8,3.1
198508,69.2,0.5
198608,67.3,-1.4
198708,67.8,-0.9
198808,72.8,4.1
198908,70.0,1.3
199008,71.8,3.1
199108,71.3,2.6
199208,67.8,-0.9
199308,71.3,2.6
199408,68.5,-0.2
199508,70.7,2.0
199608,69.8,1.1
199708,69.0,0.3
199808,71.6,2.9
199908,70.4,1.7
200008,68.7,0.0
200108,72.7,4.0
200208,72.6,3.9
200308,73.0,4.3
200408,69.8,1.1
200508,73.8,5.1
200608,70.0,1.3
200708,71.0,2.3
200808,68.4,-0.3
200908,72.7,4.0
201008,70.8,2.1
201108,71.3,2.6
201208,72.5,3.8
201308,69.1,0.4
201408,68.6,-0.1
201508,72.6,3.9
201608,73.9,5.2
201708,69.8,1.1
201808,75.1,6.4
201908,71.4,2.7
