Rhode Island, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,25.9,-1.3
189601,23.2,-4.0
189701,25.8,-1.4
189801,27.0,-0.2
189901,26.9,-0.3
190001,27.6,0.4
190101,25.6,-1.6
190201,24.7,-2.5
190301,26.8,-0.4
190401,19.5,-7.7
190501,23.0,-4.2
190601,32.4,5.2
190701,25.6,-1.6
190801,28.3,1.1
190901,28.6,1.4
191001,28.7,1.5
191101,29.4,2.2
191201,18.6,-8.6
191301,35.8,8.6
191401,26.5,-0.7
191501,29.4,2.2
191601,31.0,3.8
191701,27.6,0.4
191801,18.4,-8.8
191901,29.8,2.6
192001,18.8,-8.4
192101,28.4,1.2
192201,23.9,-3.3
192301,23.1,-4.1
192401,28.5,1.3
192501,24.3,-2.9
192601,27.5,0.3
192701,26.5,-0.7
192801,29.4,2.2
192901,25.8,-1.4
193001,28.3,1.1
193101,27.1,-0.1
193201,36.6,9.4
193301,34.8,7.6
193401,28.2,1.0
193501,22.8,-4.4
193601,25.1,-2.1
193701,35.6,8.4
193801,25.4,-1.8
193901,26.2,-1.0
194001,19.9,-7.3
194101,24.5,-2.7
194201,25.7,-1.5
194301,25.0,-2.2
194401,28.8,1.6
194501,22.0,-5.2
194601,27.6,0.4
194701,31.1,3.9
194801,21.6,-5.6
194901,33.9,6.7
195001,35.4,8.2
195101,31.9,4.7
195201,31.5,4.3
195301,32.8,5.6
195401,25.4,-1.8
195501,26.6,-0.6
195601,28.9,1.7
195701,21.7,-5.5
195801,28.8,1.6
195901,26.9,-0.3
196001,27.8,0.6
196101,21.9,-5.3
196201,27.0,-0.2
196301,26.8,-0.4
196401,29.2,2.0
196501,23.9,-3.3
196601,26.9,-0.3
196701,32.5,5.3
196801,23.6,-3.6
196901,27.1,-0.1
197001,19.7,-7.5
197101,22.2,-5.0
197201,29.8,2.6
197301,30.0,2.8
197401,29.8,2.6
197501,32.5,5.3
197601,23.5,-3.7
197701,19.6,-7.6
197801,24.8,-2.4
197901,29.5,2.3
198001,28.6,1.4
198101,19.0,-8.2
198201,20.4,-6.8
198301,28.9,1.7
198401,25.1,-2.1
198501,22.5,-4.7
198601,29.7,2.5
198701,27.3,0.1
198801,24.8,-2.4
198901,32.0,4.8
199001,35.2,8.0
199101,28.2,1.0
199201,29.4,2.2
199301,30.1,2.9
199401,21.3,-5.9
199501,34.1,6.9
199601,27.6,0.4
199701,28.4,1.2
199801,34.3,7.1
199901,29.6,2.4
200001,26.8,-0.4
200101,28.0,0.8
200201,34.7,7.5
200301,23.5,-3.7
200401,20.2,-7.0
200501,26.3,-0.9
200601,36.0,8.8
200701,32.8,5.6
200801,31.7,4.5
200901,23.4,-3.8
201001,28.4,1.2
201101,25.2,-2.0
201201,33.5,6.3
201301,30.4,3.2
201401,26.1,-1.1
201501,25.5,-1.7
201601,31.3,4.1
201701,34.2,7.0
201801,27.6,0.4
201901,29.0,1.8
