South Carolina, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189508,79.4,0.7
189608,80.5,1.8
189708,78.5,-0.2
189808,79.4,0.7
189908,81.4,2.7
190008,83.0,4.3
190108,78.8,0.1
190208,78.7,0.0
190308,80.3,1.6
190408,77.3,-1.4
190508,77.3,-1.4
190608,80.4,1.7
190708,78.7,0.0
190808,78.2,-0.5
190908,78.4,-0.3
191008,78.2,-0.5
191108,79.2,0.5
191208,78.9,0.2
191308,78.4,-0.3
191408,78.6,-0.1
191508,78.2,-0.5
191608,79.3,0.6
191708,78.2,-0.5
191808,79.6,0.9
191908,78.0,-0.7
192008,77.7,-1.0
192108,78.2,-0.5
192208,76.3,-2.4
192308,79.1,0.4
192408,80.1,1.4
192508,79.6,0.9
192608,80.8,2.1
192708,76.3,-2.4
192808,79.4,0.7
192908,78.5,-0.2
193008,77.2,-1.5
193108,78.6,-0.1
193208,78.8,0.1
193308,79.2,0.5
193408,80.0,1.3
193508,79.3,0.6
193608,79.8,1.1
193708,78.8,0.1
193808,80.8,2.1
193908,78.2,-0.5
194008,78.2,-0.5
194108,80.1,1.4
194208,78.3,-0.4
194308,80.1,1.4
194408,77.4,-1.3
194508,77.5,-1.2
194608,76.9,-1.8
194708,79.0,0.3
194808,77.6,-1.1
194908,78.4,-0.3
195008,77.2,-1.5
195108,80.3,1.6
195208,78.6,-0.1
195308,78.8,0.1
195408,81.9,3.2
195508,80.2,1.5
195608,79.8,1.1
195708,77.9,-0.8
195808,79.6,0.9
195908,79.9,1.2
196008,79.2,0.5
196108,77.4,-1.3
196208,78.4,-0.3
196308,79.1,0.4
196408,77.0,-1.7
196508,78.8,0.1
196608,77.6,-1.1
196708,76.4,-2.3
196808,80.6,1.9
196908,76.0,-2.7
197008,78.9,0.2
197108,77.6,-1.1
197208,78.0,-0.7
197308,78.2,-0.5
197408,77.4,-1.3
197508,79.7,1.0
197608,76.5,-2.2
197708,78.9,0.2
197808,79.5,0.8
197908,78.9,0.2
198008,81.2,2.5
198108,76.4,-2.3
198208,77.7,-1.0
198308,81.2,2.5
198408,78.4,-0.3
198508,77.2,-1.5
198608,78.1,-0.6
198708,81.6,2.9
198808,80.6,1.9
198908,77.9,-0.8
199008,79.9,1.2
199108,78.4,-0.3
199208,77.0,-1.7
199308,79.8,1.1
199408,76.9,-1.8
199508,80.1,1.4
199608,77.5,-1.2
199708,77.4,-1.3
199808,79.4,0.7
199908,82.2,3.5
200008,78.8,0.1
200108,79.9,1.2
200208,79.6,0.9
200308,79.7,1.0
200408,77.0,-1.7
200508,80.5,1.8
200608,81.1,2.4
200708,84.0,5.3
200808,79.1,0.4
200908,80.0,1.3
201008,81.6,2.9
201108,81.4,2.7
201208,78.0,-0.7
201308,77.4,-1.3
201408,78.3,-0.4
201508,79.5,0.8
201608,81.9,3.2
201708,79.4,0.7
201808,79.9,1.2
201908,80.3,1.6
