South Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,42.7,-1.9
189601,42.3,-2.3
189701,41.0,-3.6
189801,48.1,3.5
189901,43.8,-0.8
190001,43.6,-1.0
190101,44.1,-0.5
190201,41.5,-3.1
190301,42.3,-2.3
190401,39.4,-5.2
190501,40.0,-4.6
190601,46.3,1.7
190701,52.0,7.4
190801,43.4,-1.2
190901,48.5,3.9
191001,43.8,-0.8
191101,48.2,3.6
191201,38.9,-5.7
191301,52.3,7.7
191401,45.2,0.6
191501,43.6,-1.0
191601,50.7,6.1
191701,48.6,4.0
191801,36.1,-8.5
191901,45.8,1.2
192001,44.9,0.3
192101,45.9,1.3
192201,43.2,-1.4
192301,48.2,3.6
192401,42.8,-1.8
192501,44.2,-0.4
192601,43.5,-1.1
192701,45.3,0.7
192801,44.1,-0.5
192901,46.7,2.1
193001,46.3,1.7
193101,43.6,-1.0
193201,54.0,9.4
193301,51.0,6.4
193401,47.0,2.4
193501,45.8,1.2
193601,40.8,-3.8
193701,55.2,10.6
193801,44.5,-0.1
193901,47.4,2.8
194001,33.5,-11.1
194101,44.0,-0.6
194201,43.8,-0.8
194301,46.6,2.0
194401,44.5,-0.1
194501,44.1,-0.5
194601,46.0,1.4
194701,49.6,5.0
194801,39.2,-5.4
194901,53.6,9.0
195001,55.6,11.0
195101,45.1,0.5
195201,51.3,6.7
195301,48.6,4.0
195401,46.6,2.0
195501,43.4,-1.2
195601,41.6,-3.0
195701,46.9,2.3
195801,38.6,-6.0
195901,43.1,-1.5
196001,44.5,-0.1
196101,40.2,-4.4
196201,43.1,-1.5
196301,40.4,-4.2
196401,42.7,-1.9
196501,45.1,0.5
196601,39.7,-4.9
196701,46.2,1.6
196801,39.6,-5.0
196901,41.3,-3.3
197001,37.5,-7.1
197101,43.9,-0.7
197201,50.0,5.4
197301,43.9,-0.7
197401,56.1,11.5
197501,48.9,4.3
197601,41.5,-3.1
197701,33.6,-11.0
197801,37.4,-7.2
197901,40.9,-3.7
198001,44.8,0.2
198101,38.8,-5.8
198201,40.1,-4.5
198301,40.9,-3.7
198401,41.5,-3.1
198501,39.1,-5.5
198601,42.2,-2.4
198701,42.8,-1.8
198801,38.8,-5.8
198901,49.0,4.4
199001,50.5,5.9
199101,45.7,1.1
199201,45.6,1.0
199301,48.2,3.6
199401,41.2,-3.4
199501,45.1,0.5
199601,42.9,-1.7
199701,46.0,1.4
199801,48.1,3.5
199901,49.0,4.4
200001,43.5,-1.1
200101,43.3,-1.3
200201,47.0,2.4
200301,41.5,-3.1
200401,43.0,-1.6
200501,47.6,3.0
200601,50.6,6.0
200701,48.4,3.8
200801,43.9,-0.7
200901,44.2,-0.4
201001,40.7,-3.9
201101,40.6,-4.0
201201,48.3,3.7
201301,50.2,5.6
201401,39.7,-4.9
201501,43.8,-0.8
201601,43.0,-1.6
201701,51.4,6.8
201801,40.6,-4.0
201901,46.7,2.1
